time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/clip_fraction,train/value_loss,train/n_updates,train/std,train/explained_variance,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
5897,71680,35,12,73.96,-662.49521012,0.00039442944,0.04420572991948575,1207.3776611328126,340,0.2570783793926239,0.0108184814453125,-0.11504932641983032,0.013711334,593.454833984375,-0.0021364614894263667,0.3,,
6086,73728,36,12,71.49,-636.0363042099999,0.0003942656,0.013098958545015194,1159.8101806640625,350,0.25887787342071533,-0.011309266090393066,-0.12754808068275453,0.005439425,571.3719482421875,-0.002414439136627955,0.3,,
6247,75776,37,12,75.29,-679.3420416500002,0.00039410176,0.02480468825669959,1097.1299255371093,360,0.2607942819595337,4.708766937255859e-06,-0.14162842631340028,0.0035764473,540.4258422851562,-0.0026140725950244857,0.3,,
6429,77824,38,12,70.06,-625.95247452,0.00039393792000000003,0.06755208496470004,1088.604962158203,370,0.2624714970588684,4.231929779052734e-06,-0.15676782727241517,0.019618865,534.3251953125,-0.009076640645507617,0.3,,
6600,79872,39,12,67.06,-592.04256577,0.00039377408,0.03868489610613324,1046.0074493408204,380,0.2630373239517212,0.0,-0.16519951820373535,0.011704668,513.05908203125,-0.00418333639974664,0.3,,
,80000,,,,,0.00039361024000000004,0.07545573143288493,1023.7259643554687,390,0.2645069360733032,1.3709068298339844e-06,-0.17150222063064574,0.021125387,500.1365051269531,-0.006484426150564104,0.3,-692.9768023137003,76.0
6847,81920,40,11,71.37,-636.7419923000001,,,,,,,,,,,,,
7016,83968,41,11,72.65,-653.59360601,0.0003934464,0.021106770986807532,986.9092742919922,400,0.2654854953289032,1.9073486328125e-06,-0.18232454657554625,0.010628914,485.6622619628906,-0.0013779075137426932,0.3,,
7185,86016,42,11,72.47,-653.3093863,0.00039328256000000005,0.028984375507570805,950.8273315429688,410,0.2659659683704376,-1.1920928955078125e-07,-0.18727488517761232,0.008995794,465.1467590332031,-0.0015118101815460249,0.3,,
7355,88064,43,11,67.45,-600.63134718,0.00039311872,0.016875000417348927,925.3539825439453,420,0.26766684651374817,-1.1920928955078125e-07,-0.1944105803966522,0.009109519,454.3649597167969,-0.0014776612343030849,0.3,,
