train/learning_rate,time/episodes,time/time_elapsed,train/ent_coef_loss,train/ent_coef,train/actor_loss,train/n_updates,time/fps,train/critic_loss,time/total_timesteps,eval/mean_reward,eval/mean_ep_length
0.0001,4,26,-7.751109600067139,0.099240243434906,0.46668076515197754,77,9,8.895120620727539,256,,
0.0001,8,115,-7.41267204284668,0.09824660420417786,3.006474018096924,180,3,2.5803537368774414,461,,
0.0001,12,130,-7.777695655822754,0.09692884236574173,3.557034492492676,314,5,3.1775598526000977,729,,
0.0001,16,147,-7.860434532165527,0.0957569107413292,3.2917938232421875,435,6,1.8269498348236084,971,,
0.0001,20,161,-7.809537887573242,0.09462203830480576,3.001652240753174,556,7,1.3649256229400635,1214,,
0.0001,24,176,-6.904111862182617,0.09347990900278091,3.466806411743164,678,8,1.8752390146255493,1457,,
0.0001,28,195,-7.593364238739014,0.09233132004737854,3.690849781036377,802,8,2.4748549461364746,1706,,
0.0001,32,208,-6.065674304962158,0.09140445291996002,4.0825514793396,910,9,1.4111027717590332,1921,,
0.0001,36,224,-7.232629776000977,0.09035743772983551,3.8687567710876465,1042,9,1.3606610298156738,2185,,
0.0001,40,235,-7.32063627243042,0.08968459069728851,4.067779541015625,1124,9,1.649135947227478,2349,,
0.0001,44,256,-7.004539489746094,0.088248111307621,4.782184600830078,1297,10,1.081544041633606,2696,,
0.0001,48,282,-7.156067371368408,0.08653830736875534,4.733619213104248,1509,11,2.7030692100524902,3119,,
0.0001,52,302,-7.35649299621582,0.08548733592033386,5.458506107330322,1641,11,2.3002936840057373,3383,,
0.0001,56,317,-6.981286525726318,0.08460966497659683,5.912413597106934,1748,11,1.399935007095337,3597,,
0.0001,60,333,-5.567223072052002,0.0835995301604271,6.515693187713623,1876,11,3.642052173614502,3853,,
0.0001,64,350,-6.9586639404296875,0.08254650980234146,7.034672737121582,2015,11,1.9715189933776855,4132,,
0.0001,68,376,-6.430510997772217,0.08086180686950684,6.671939849853516,2248,12,2.870281219482422,4598,,
0.0001,72,394,-6.132707118988037,0.07977239042520523,6.730903625488281,2401,12,1.4976956844329834,4903,,
0.0001,76,426,-5.826757907867432,0.07860610634088516,6.797279357910156,2573,12,2.542567729949951,5247,,
0.0001,80,455,-5.000823974609375,0.07718021422624588,8.273818969726562,2795,12,1.6065895557403564,5691,,
0.0001,84,461,-4.923455238342285,0.07701845467090607,7.559741497039795,2822,12,2.0903429985046387,5746,,
0.0001,88,494,-5.4113569259643555,0.07544223219156265,8.374288558959961,3075,12,3.8455615043640137,6251,,
0.0001,92,514,-5.579017639160156,0.07458890974521637,8.000916481018066,3214,12,4.930630207061768,6530,,
0.0001,96,556,-5.534209728240967,0.07294481992721558,9.314424514770508,3480,12,3.4229626655578613,7062,,
0.0001,100,585,-5.912077903747559,0.07179924845695496,7.916299819946289,3654,12,3.3449716567993164,7409,,
0.0001,104,603,-4.463046550750732,0.07085356116294861,9.695478439331055,3805,12,1.9790542125701904,7712,,
0.0001,108,631,-4.028820037841797,0.06922189891338348,9.471305847167969,4068,13,3.7633776664733887,8238,,
0.0001,112,646,-4.8051347732543945,0.06847745180130005,9.898824691772461,4190,13,3.5313892364501953,8481,,
0.0001,116,664,-4.238888263702393,0.06769531965255737,10.689682006835938,4328,13,1.3982489109039307,8758,,
0.0001,120,683,-4.100185394287109,0.06690271943807602,10.269107818603516,4468,13,1.7865478992462158,9037,,
0.0001,124,700,-4.902712345123291,0.06635478138923645,9.728515625,4572,13,5.305566787719727,9245,,
0.0001,128,722,-3.55114483833313,0.06580454111099243,10.334659576416016,4684,13,3.6214981079101562,9470,,
0.0001,132,750,-3.089859962463379,0.0650898739695549,10.166929244995117,4839,13,4.535122871398926,9779,,
0.0001,136,784,-4.31801700592041,0.06420164555311203,10.417469024658203,5032,12,1.5951226949691772,10166,,
0.0001,140,807,-2.7827188968658447,0.06365431100130081,9.32902717590332,5156,12,9.297097206115723,10414,,
0.0001,144,830,-2.5828161239624023,0.06301555037498474,9.708696365356445,5324,12,1.9975085258483887,10749,,
0.0001,148,858,-3.4279232025146484,0.06241772696375847,8.664602279663086,5491,12,6.730690002441406,11083,,
0.0001,152,872,-2.5536789894104004,0.06225931644439697,8.959857940673828,5538,12,1.6595933437347412,11178,,
0.0001,156,879,-1.447106122970581,0.06214460730552673,9.819293975830078,5577,12,4.730550765991211,11256,,
0.0001,160,887,-3.67561936378479,0.062033846974372864,9.760895729064941,5619,12,1.4095423221588135,11340,,
0.0001,164,896,-1.99290132522583,0.06188616901636124,8.58227252960205,5667,12,1.8997682332992554,11435,,
0.0001,168,902,-2.8100433349609375,0.0617762990295887,8.795304298400879,5700,12,1.7776811122894287,11501,,
0.0001,172,917,-2.214576244354248,0.061471160501241684,10.18284797668457,5786,12,12.624879837036133,11674,,
0.0001,176,929,-2.153634786605835,0.06134529039263725,10.161703109741211,5826,12,11.360480308532715,11753,,
0.0001,180,942,-2.400524854660034,0.06109170615673065,10.678895950317383,5907,12,4.795161724090576,11916,,
0.0001,184,959,-0.46765244007110596,0.06077287718653679,9.435372352600098,6014,12,4.086429595947266,12129,,
0.0001,188,979,-2.25697922706604,0.060407236218452454,8.027374267578125,6147,12,4.020411491394043,12396,,
0.0001,192,992,-0.5298957228660583,0.06014830991625786,10.390817642211914,6229,12,3.905697822570801,12559,,
0.0001,196,1005,-1.0176539421081543,0.059899162501096725,10.768865585327148,6312,12,3.463362455368042,12725,,
0.0001,200,1027,-2.514040231704712,0.059610284864902496,9.007515907287598,6426,12,7.750704765319824,12953,,
0.0001,204,1044,-0.8443995714187622,0.059285566210746765,9.806319236755371,6538,12,4.5759596824646,13178,,
0.0001,208,1050,-1.3701343536376953,0.05924583598971367,9.348260879516602,6566,12,8.899885177612305,13233,,
0.0001,212,1058,-1.1961807012557983,0.059110626578330994,10.467516899108887,6610,12,2.664658784866333,13321,,
0.0001,216,1066,-1.1200463771820068,0.058968961238861084,8.394370079040527,6653,12,4.571006774902344,13407,,
0.0001,220,1083,-0.5284246206283569,0.05869287997484207,9.504873275756836,6763,12,8.323165893554688,13628,,
0.0001,224,1091,-1.7912715673446655,0.05858316645026207,10.613048553466797,6808,12,3.5528781414031982,13717,,
0.0001,228,1104,-0.732744574546814,0.05841784179210663,8.993073463439941,6849,12,6.2903242111206055,13799,,
0.0001,232,1112,-1.3308011293411255,0.05823700502514839,9.765811920166016,6902,12,4.82680606842041,13906,,
0.0001,236,1121,-1.2460145950317383,0.05804057791829109,8.861053466796875,6953,12,4.385334014892578,14008,,
0.0001,240,1127,-2.012889862060547,0.057953543961048126,9.093500137329102,6983,12,2.8553550243377686,14068,,
0.0001,244,1134,-0.6439052820205688,0.05784839391708374,9.146573066711426,7015,12,2.97062087059021,14131,,
0.0001,248,1140,-0.8687077760696411,0.05772675201296806,8.775968551635742,7052,12,4.902194023132324,14205,,
0.0001,252,1158,-1.940185785293579,0.05747527256608009,8.0731782913208,7130,12,3.7598233222961426,14361,,
0.0001,256,1178,-3.0528903007507324,0.05700071156024933,7.590301513671875,7267,12,4.743922710418701,14636,,
0.0001,260,1190,-0.5139762759208679,0.05672631412744522,9.240287780761719,7334,12,5.624603748321533,14770,,
0.0001,264,1201,-2.72904109954834,0.056495301425457,7.887467861175537,7400,12,10.543018341064453,14902,,
0.0001,268,1209,0.09140008687973022,0.05628678575158119,9.144840240478516,7450,12,4.790863513946533,15001,,
0.0001,272,1223,-0.9174753427505493,0.055905431509017944,9.048910140991211,7539,12,1.713850736618042,15180,,
0.0001,276,1235,-2.689443588256836,0.05576533451676369,7.206586837768555,7579,12,4.243061542510986,15260,,
0.0001,280,1245,-0.4602935016155243,0.0555797703564167,8.172839164733887,7623,12,3.3754825592041016,15347,,
0.0001,284,1251,-2.1401658058166504,0.05549092963337898,8.723018646240234,7657,12,4.244027614593506,15416,,
0.0001,288,1268,-1.897207498550415,0.05507003143429756,8.828871726989746,7761,12,7.943671703338623,15623,,
0.0001,292,1278,-1.3160301446914673,0.05484594404697418,7.4878106117248535,7821,12,2.8954074382781982,15744,,
0.0001,296,1289,-1.1395454406738281,0.05458289384841919,6.968071937561035,7893,12,4.664361953735352,15888,,
0.0001,300,1306,-2.3369202613830566,0.054230984300374985,7.206537246704102,7959,12,4.863981246948242,16019,,
0.0001,304,1316,-2.1638131141662598,0.0539838932454586,7.100846290588379,8010,12,3.7399439811706543,16122,,
0.0001,308,1323,-1.8105590343475342,0.053811121731996536,6.2886881828308105,8047,12,4.118629455566406,16195,,
0.0001,312,1330,-2.935413360595703,0.05369818955659866,7.885946273803711,8080,12,6.735988616943359,16262,,
0.0001,316,1337,-1.7034586668014526,0.0535738430917263,6.701488494873047,8112,12,4.735928535461426,16326,,
0.0001,320,1346,-2.4940757751464844,0.05343728885054588,6.1975603103637695,8157,12,2.776770830154419,16415,,
