time/episodes,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/actor_loss,train/learning_rate,train/n_updates,time/total_timesteps,eval/mean_reward,eval/mean_ep_length
4,95.25,4.7454633712768555,-482.48812025000007,46,8,6.577718734741211,0.0002,280,381,,
8,89.75,2.2525858879089355,-347.66965825,81,8,9.928818702697754,0.0002,617,718,,
12,66.33333333333333,4.714756011962891,-250.48915708333334,90,8,10.23944091796875,0.0002,695,796,,
16,53.6875,4.800275802612305,-193.17251112500003,98,8,9.671918869018555,0.0002,758,859,,
20,46.9,5.186829566955566,-161.97006520000002,108,8,10.757101058959961,0.0002,837,938,,
24,42.125,4.753133296966553,-141.63397791666668,116,8,10.729828834533691,0.0002,910,1011,,
28,38.5,5.08181619644165,-126.00659482142858,130,8,11.950817108154297,0.0002,977,1078,,
32,36.125,4.72813606262207,-115.72481034375,139,8,11.289482116699219,0.0002,1055,1156,,
36,33.861111111111114,4.311953544616699,-107.3216456111111,148,8,11.257930755615234,0.0002,1118,1219,,
40,31.625,3.8105404376983643,-99.442380625,154,8,11.311273574829102,0.0002,1164,1265,,
44,30.272727272727273,3.4535350799560547,-93.88123095454547,163,8,12.006702423095703,0.0002,1231,1332,,
48,28.958333333333332,5.75457763671875,-88.62316022916667,170,8,11.933788299560547,0.0002,1289,1390,,
52,27.903846153846153,3.1048362255096436,-83.98348317307692,185,7,11.636859893798828,0.0002,1350,1451,,
56,26.839285714285715,3.872375011444092,-80.20186805357142,191,7,11.318920135498047,0.0002,1402,1503,,
60,25.966666666666665,4.61099910736084,-75.74575649999998,198,7,12.425919532775879,0.0002,1457,1558,,
64,25.203125,4.531277179718018,-72.4441885625,205,7,11.48244857788086,0.0002,1512,1613,,
68,24.558823529411764,4.528048992156982,-69.95629839705883,212,7,12.783711433410645,0.0002,1569,1670,,
72,24.02777777777778,4.419277191162109,-67.57382770833334,218,7,11.461508750915527,0.0002,1629,1730,,
76,23.486842105263158,5.174820423126221,-65.16237403947369,232,7,11.355644226074219,0.0002,1684,1785,,
80,22.9375,4.610058784484863,-63.0690692625,239,7,11.78919506072998,0.0002,1734,1835,,
84,22.666666666666668,4.626299858093262,-61.834376392857145,248,7,11.668691635131836,0.0002,1803,1904,,
88,22.875,6.13848876953125,-61.46405298863636,260,7,11.838613510131836,0.0002,1912,2013,,
92,22.42391304347826,5.502544403076172,-59.67176923913043,267,7,12.463449478149414,0.0002,1962,2063,,
96,22.020833333333332,6.036898612976074,-57.72854917708332,274,7,10.850990295410156,0.0002,2013,2114,,
100,21.66,4.972233772277832,-56.19598215999999,286,7,12.18263053894043,0.0002,2065,2166,,
104,18.42,5.044981002807617,-38.068591070000004,293,7,11.56879997253418,0.0002,2122,2223,,
108,15.73,4.4159345626831055,-31.425963320000005,301,7,12.573041915893555,0.0002,2190,2291,,
112,15.48,5.086730003356934,-30.944909510000002,309,7,11.378782272338867,0.0002,2243,2344,,
116,15.38,5.020689487457275,-31.609473840000007,316,7,11.399077415466309,0.0002,2296,2397,,
120,15.31,6.8835859298706055,-31.35125684,324,7,11.693857192993164,0.0002,2368,2469,,
124,15.19,5.026705741882324,-31.367811800000005,332,7,12.661226272583008,0.0002,2429,2530,,
128,15.1,4.167028427124023,-31.34208075,344,7,12.710588455200195,0.0002,2487,2588,,
132,14.76,5.441132545471191,-30.31883065,351,7,13.286235809326172,0.0002,2531,2632,,
136,14.74,5.379112243652344,-30.75426216,359,7,11.641718864440918,0.0002,2592,2693,,
140,14.76,4.852819442749023,-30.972316290000002,365,7,11.871528625488281,0.0002,2640,2741,,
144,14.65,7.567398548126221,-30.659751919999998,373,7,12.365913391113281,0.0002,2696,2797,,
148,14.58,5.73081111907959,-31.148515690000004,379,7,11.999192237854004,0.0002,2747,2848,,
152,14.6,5.987285614013672,-31.008928050000005,392,7,12.100011825561523,0.0002,2810,2911,,
156,14.73,5.999027252197266,-30.585964530000002,400,7,12.717554092407227,0.0002,2875,2976,,
160,14.76,5.271068572998047,-30.742966160000005,406,7,12.976585388183594,0.0002,2933,3034,,
164,14.92,5.955577850341797,-30.510751170000002,415,7,12.666360855102539,0.0002,3004,3105,,
168,14.96,6.542230606079102,-30.114766869999997,422,7,13.429600715637207,0.0002,3065,3166,,
172,14.92,4.884494781494141,-29.55919551000001,429,7,12.613948822021484,0.0002,3121,3222,,
176,14.82,5.360237121582031,-29.166864160000003,440,7,12.436756134033203,0.0002,3166,3267,,
180,14.82,4.251862525939941,-28.6514196,447,7,11.980094909667969,0.0002,3216,3317,,
184,14.86,4.3740339279174805,-28.764021309999997,456,7,12.069352149963379,0.0002,3289,3390,,
188,14.28,5.097389221191406,-27.101249969999998,463,7,12.045948028564453,0.0002,3340,3441,,
192,14.38,4.506187438964844,-26.83639736,470,7,12.747480392456055,0.0002,3400,3501,,
196,14.43,5.628945350646973,-27.019216540000002,477,7,13.022281646728516,0.0002,3456,3557,,
200,14.56,5.054037570953369,-27.426235269999996,490,7,11.903077125549316,0.0002,3521,3622,,
204,14.68,7.796799659729004,-27.60979323,498,7,14.069062232971191,0.0002,3590,3691,,
208,14.47,5.121950626373291,-26.3495296,504,7,12.23868179321289,0.0002,3637,3738,,
212,14.58,5.594030857086182,-26.11997678,511,7,11.442476272583008,0.0002,3701,3802,,
216,14.61,4.864795684814453,-25.39404935,517,7,11.483369827270508,0.0002,3757,3858,,
220,14.47,5.2208662033081055,-24.68487721,524,7,11.724869728088379,0.0002,3815,3916,,
224,14.61,5.147280693054199,-24.46005321,532,7,13.337456703186035,0.0002,3890,3991,,
228,14.56,5.011834144592285,-24.247273760000002,544,7,12.313884735107422,0.0002,3943,4044,,
232,14.64,7.116337299346924,-24.405310170000003,551,7,11.649137496948242,0.0002,3995,4096,,
