time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/actor_loss,rollout/ep_rew_mean,train/n_updates,time/fps,time/episodes,eval/mean_ep_length,eval/mean_reward
28,205,51.25,0.0003,2.739025354385376,1.2665305137634277,-87.40774075,104,7,4,,
36,269,33.625,0.0003,5.373593330383301,1.5145609378814697,-61.37765725,168,7,8,,
44,325,27.083333333333332,0.0003,7.108183860778809,1.772477388381958,-48.007155833333336,224,7,12,,
53,393,24.5625,0.0003,5.554197788238525,1.389346957206726,-40.3869454375,292,7,16,,
62,468,23.4,0.0003,5.9955735206604,1.1023695468902588,-33.646035499999996,367,7,20,,
70,534,22.25,0.0003,5.71321964263916,1.7503076791763306,-32.04750704166667,433,7,24,,
86,624,22.285714285714285,0.0003,5.242988586425781,1.569697380065918,-28.29476203571429,523,7,28,,
96,708,22.125,0.0003,5.003591060638428,2.2770490646362305,-29.6968599375,607,7,32,,
106,787,21.86111111111111,0.0003,5.750489711761475,1.9851794242858887,-27.614676166666666,686,7,36,,
115,858,21.45,0.0003,6.085536956787109,2.568204402923584,-28.42755675,757,7,40,,
132,1018,23.136363636363637,0.0003,3.4778122901916504,2.655473232269287,-29.053688136363636,917,7,44,,
144,1113,23.1875,0.0003,4.076048851013184,3.1271276473999023,-31.0527314375,1012,7,48,,
160,1203,23.134615384615383,0.0003,4.8296709060668945,3.367288827896118,-30.77259594230769,1102,7,52,,
180,1412,25.214285714285715,0.0003,4.304039001464844,3.167081117630005,-32.91348323214286,1311,7,56,,
192,1520,25.333333333333332,0.0003,4.169463157653809,3.0749292373657227,-30.474232000000004,1419,7,60,,
201,1599,24.984375,0.0003,4.975569725036621,3.0830469131469727,-29.72576028125,1498,7,64,,
219,1784,26.235294117647058,0.0003,4.335746765136719,3.8437957763671875,-32.78783502941176,1683,8,68,,
255,2139,29.708333333333332,0.0003,4.280511379241943,3.2636806964874268,-42.946586958333334,2038,8,72,,
275,2291,30.144736842105264,0.0003,4.419355392456055,3.9019711017608643,-48.840774552631586,2190,8,76,,
282,2363,29.5375,0.0003,5.534526348114014,2.6548333168029785,-46.9278799625,2262,8,80,,
297,2510,29.88095238095238,0.0003,4.146495819091797,4.015555381774902,-45.777253214285714,2409,8,84,,
307,2599,29.53409090909091,0.0003,3.921098232269287,3.220978260040283,-43.833806261363634,2498,8,88,,
317,2694,29.282608695652176,0.0003,4.654974937438965,3.5235490798950195,-42.80896057608695,2593,8,92,,
329,2795,29.114583333333332,0.0003,4.057444095611572,3.7406158447265625,-41.647526427083335,2694,8,96,,
344,2879,28.79,0.0003,4.289751052856445,3.5137972831726074,-40.86290196,2778,8,100,,
363,3033,28.28,0.0003,4.198173999786377,2.910609245300293,-40.77809046,2932,8,104,,
382,3198,29.29,0.0003,4.9159088134765625,2.7038638591766357,-40.12569398000001,3097,8,108,,
394,3297,29.72,0.0003,4.7606635093688965,3.3954267501831055,-40.90590367,3196,8,112,,
416,3499,31.06,0.0003,4.2749834060668945,3.021580457687378,-41.02967941000001,3398,8,116,,
429,3609,31.41,0.0003,4.646610260009766,2.743917465209961,-41.59259501,3508,8,120,,
441,3709,31.75,0.0003,5.2191057205200195,2.570878028869629,-42.61165683,3608,8,124,,
457,3795,31.71,0.0003,5.831933498382568,2.0616533756256104,-43.475975420000005,3694,8,128,,
523,4353,36.45,0.0003,5.5920610427856445,1.9016897678375244,-62.058233900000005,4252,8,132,,
772,6770,59.83,0.0003,6.2515411376953125,0.11998209357261658,-75.04510232,6669,8,136,,
847,7436,65.78,0.0003,3.3398008346557617,0.2600853443145752,-78.41459396,7335,8,140,,
883,7720,67.02,0.0003,3.924971103668213,-0.7195008993148804,-78.57302605000001,7619,8,144,,
996,8653,75.4,0.0003,4.421955108642578,0.44905582070350647,-97.80935743,8552,8,148,,
1021,8823,76.2,0.0003,4.009575843811035,-0.5138214826583862,-97.36683294000001,8722,8,152,,
1139,9874,84.62,0.0003,3.862449884414673,0.03778146952390671,-96.51846884000001,9773,8,156,,
1166,10133,86.13,0.0003,5.049597263336182,-0.1282328963279724,-97.56293581,10032,8,160,,
1251,10868,92.69,0.0003,4.030880928039551,0.7935001850128174,-98.71385133000001,10767,8,164,,
1333,11563,97.79,0.0003,4.519837379455566,-1.0348386764526367,-93.07661806999998,11462,8,168,,
1368,11903,97.64,0.0003,5.759573936462402,-1.3032541275024414,-82.79046707999998,11802,8,172,,
1384,12000,97.09,0.0003,3.1740810871124268,-0.40386712551116943,-79.37416928,11899,8,176,,
1425,12415,100.52,0.0003,3.6768290996551514,-1.128934621810913,-78.91754759,12314,8,180,,
1478,12991,104.81,0.0003,5.27288818359375,-2.3543238639831543,-78.41226968000002,12890,8,184,,
1543,13669,110.7,0.0003,4.298233985900879,-2.0454721450805664,-69.64985364,13568,8,188,,
1584,14113,114.19,0.0003,2.6472363471984863,-3.3125357627868652,-72.13078224,14012,8,192,,
1623,14529,117.34,0.0003,3.789707899093628,-3.9258742332458496,-72.60276611,14428,8,196,,
1765,16068,131.89,0.0003,3.4354050159454346,-3.6723198890686035,-81.48581805000002,15967,9,200,,
1788,16253,132.2,0.0003,5.029857635498047,-2.6714529991149902,-77.35383711,16152,9,204,,
1889,17267,140.69,0.0003,3.159106492996216,-4.356312274932861,-73.16171182000001,17166,9,208,,
1973,18103,148.06,0.0003,4.57224178314209,-3.383479118347168,-74.15349823000001,18002,9,212,,
2034,18624,151.25,0.0003,7.347815036773682,-4.870845794677734,-73.17334701000001,18523,9,216,,
