time/time_elapsed,train/actor_loss,rollout/ep_len_mean,time/fps,train/n_updates,time/episodes,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,eval/mean_reward,eval/mean_ep_length
23,1.527571439743042,51.75,8,106,4,207,0.0003,-92.53311799999999,6.4589338302612305,,
29,1.7181084156036377,33.875,9,170,8,271,0.0003,-62.181392624999994,11.437297821044922,,
35,2.0119824409484863,27.333333333333332,9,227,12,328,0.0003,-48.95692574999999,8.232076644897461,,
41,2.273881673812866,24.0625,9,284,16,385,0.0003,-41.4507120625,12.869617462158203,,
47,2.1669490337371826,21.75,9,334,20,435,0.0003,-36.20548025000001,9.867513656616211,,
53,2.948152780532837,20.625,9,394,24,495,0.0003,-36.18342725,13.178216934204102,,
64,2.207129955291748,20.071428571428573,8,461,28,562,0.0003,-34.13043703571428,9.134658813476562,,
70,3.602712392807007,19.03125,8,508,32,609,0.0003,-35.73776365625,12.133501052856445,,
76,3.964123010635376,18.666666666666668,8,571,36,672,0.0003,-34.64671527777779,10.970317840576172,,
81,3.882321357727051,18.025,8,620,40,721,0.0003,-35.193278725,10.76390266418457,,
87,4.850431442260742,17.636363636363637,8,675,44,776,0.0003,-34.1248235,11.822565078735352,,
92,5.207169532775879,17.104166666666668,8,720,48,821,0.0003,-34.98789354166667,10.282001495361328,,
106,5.590007781982422,17.673076923076923,8,818,52,919,0.0003,-36.61986086538462,10.369173049926758,,
113,5.921217918395996,17.625,8,886,56,987,0.0003,-37.338838946428574,11.929801940917969,,
119,6.7699294090271,17.383333333333333,8,942,60,1043,0.0003,-36.06989413333334,11.784085273742676,,
126,7.042999267578125,17.375,8,1011,64,1112,0.0003,-34.463302125,10.488873481750488,,
132,7.201818943023682,17.191176470588236,8,1068,68,1169,0.0003,-33.20159092647059,8.763711929321289,,
138,6.5554304122924805,17.02777777777778,8,1125,72,1226,0.0003,-32.12383356944444,9.389995574951172,,
150,7.039863586425781,16.960526315789473,8,1188,76,1289,0.0003,-32.173332447368416,7.567384719848633,,
158,7.746272087097168,17.0,8,1259,80,1360,0.0003,-30.826936549999992,11.670419692993164,,
163,7.269040107727051,16.714285714285715,8,1303,84,1404,0.0003,-30.558864773809518,11.25622272491455,,
169,7.724110126495361,16.568181818181817,8,1357,88,1458,0.0003,-30.628072124999996,8.208791732788086,,
176,7.560117244720459,16.641304347826086,8,1430,92,1531,0.0003,-29.573944173913038,10.125802040100098,,
181,7.5129899978637695,16.510416666666668,8,1484,96,1585,0.0003,-28.88960259375,8.965036392211914,,
194,7.528602123260498,16.53,8,1552,100,1653,0.0003,-28.29584672,8.293707847595215,,
201,7.506505966186523,15.37,8,1643,104,1744,0.0003,-24.87579413,7.947970390319824,,
216,7.576504230499268,16.32,8,1802,108,1903,0.0003,-24.125371320000003,11.150354385375977,,
226,7.235788822174072,17.1,8,1937,112,2038,0.0003,-24.74697052,10.744074821472168,,
235,7.82526969909668,17.46,9,2030,116,2131,0.0003,-24.688124279999997,11.984859466552734,,
243,6.071556091308594,17.86,9,2120,120,2221,0.0003,-24.47622258,8.104225158691406,,
261,7.16386079788208,19.25,9,2319,124,2420,0.0003,-24.313983890000003,12.076770782470703,,
277,7.514430522918701,19.91,9,2452,128,2553,0.0003,-23.62192009,10.252242088317871,,
284,6.988083839416504,20.33,9,2541,132,2642,0.0003,-21.899706479999995,9.446149826049805,,
293,6.58668327331543,20.78,9,2649,136,2750,0.0003,-21.28716884,10.631719589233398,,
304,6.102309226989746,21.88,9,2808,140,2909,0.0003,-20.897124429999998,7.69040584564209,,
315,5.518772125244141,22.72,9,2947,144,3048,0.0003,-20.50940086,12.442001342773438,,
324,5.419375896453857,23.42,9,3062,148,3163,0.0003,-19.029028129999997,10.622705459594727,,
337,4.901588439941406,23.46,9,3164,152,3265,0.0003,-17.207543619999996,8.376636505126953,,
346,6.0112175941467285,23.91,9,3277,156,3378,0.0003,-15.876059500000002,10.095939636230469,,
354,5.14538049697876,24.28,9,3370,160,3471,0.0003,-15.608638979999998,7.759457111358643,,
362,4.8167572021484375,24.61,9,3472,164,3573,0.0003,-15.716599969999999,8.070917129516602,,
370,4.915209770202637,25.1,9,3578,168,3679,0.0003,-15.612502189999997,10.304067611694336,,
382,5.07160758972168,26.25,10,3750,172,3851,0.0003,-20.485923009999997,8.813879013061523,,
401,4.483358860015869,27.4,10,3928,176,4029,0.0003,-22.411420760000002,10.873087882995605,,
409,5.077302932739258,27.61,10,4020,180,4121,0.0003,-22.812277590000004,18.14051055908203,,
419,5.094900131225586,28.18,10,4121,184,4222,0.0003,-25.233021100000002,11.532752990722656,,
442,5.253679275512695,30.51,10,4408,188,4509,0.0003,-33.65868606000001,13.340463638305664,,
454,5.7611589431762695,30.98,10,4528,192,4629,0.0003,-33.40759875,12.975390434265137,,
469,5.963977336883545,32.37,10,4721,196,4822,0.0003,-36.55239195000001,23.630474090576172,,
481,6.703699111938477,32.38,10,4790,200,4891,0.0003,-36.52182275,12.521032333374023,,
496,6.86567497253418,33.25,10,4968,204,5069,0.0003,-39.13524373,14.344786643981934,,
506,6.47886848449707,32.68,10,5070,208,5171,0.0003,-40.054799939999995,14.268104553222656,,
516,5.940009117126465,32.46,10,5183,212,5284,0.0003,-40.49004131,13.434118270874023,,
527,6.513068199157715,32.71,10,5301,216,5402,0.0003,-41.388474699999996,15.497868537902832,,
537,6.292150020599365,33.1,10,5430,220,5531,0.0003,-41.02145028000001,13.502401351928711,,
544,5.969431400299072,31.91,10,5510,224,5611,0.0003,-40.468744990000005,15.897953033447266,,
560,5.037923812866211,31.74,10,5626,228,5727,0.0003,-40.58149988,11.5374174118042,,
572,6.171144485473633,32.14,10,5755,232,5856,0.0003,-41.93570025,22.668312072753906,,
590,5.839470863342285,33.32,10,5981,236,6082,0.0003,-40.447809629999995,11.501983642578125,,
605,5.764867782592773,33.68,10,6176,240,6277,0.0003,-38.80002862,14.465185165405273,,
616,5.340793609619141,33.47,10,6294,244,6395,0.0003,-38.18818799,17.367237091064453,,
632,6.001064300537109,34.36,10,6498,248,6599,0.0003,-37.361175790000004,11.1367769241333,,
654,4.862885475158691,35.52,10,6716,252,6817,0.0003,-36.51715134,12.289634704589844,,
675,4.141500473022461,37.16,10,6993,256,7094,0.0003,-38.979475920000006,22.933521270751953,,
690,4.588352203369141,38.1,10,7180,260,7281,0.0003,-38.16505873,13.419309616088867,,
717,4.8798089027404785,40.53,10,7525,264,7626,0.0003,-42.06088826,20.1336612701416,,
730,4.485918045043945,40.97,10,7675,268,7776,0.0003,-40.68103512000001,20.096420288085938,,
761,2.395583391189575,42.96,10,8046,272,8147,0.0003,-34.31634731,13.146102905273438,,
784,4.419292449951172,43.75,10,8303,276,8404,0.0003,-29.5332634,13.354427337646484,,
796,2.437419891357422,44.27,10,8447,280,8548,0.0003,-29.556759959999994,12.843502044677734,,
816,3.1378698348999023,45.79,10,8700,284,8801,0.0003,-26.554420910000005,14.052125930786133,,
