time/time_elapsed,train/actor_loss,rollout/ep_len_mean,time/fps,train/n_updates,time/episodes,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,eval/mean_reward,eval/mean_ep_length
837,1.8571157455444336,45.96,10,9004,288,9105,0.0003,-15.65118405,13.799745559692383,,
871,0.08720618486404419,49.1,10,9438,292,9539,0.0003,-13.81083784,11.99494743347168,,
885,2.431899070739746,48.93,10,9614,296,9715,0.0003,-10.04347885,13.315469741821289,,
912,0.9069199562072754,51.22,10,9912,300,10013,0.0003,-8.958581589999998,9.880001068115234,,
932,0.6524937748908997,51.81,10,10149,304,10250,0.0003,-4.671707009999999,14.461729049682617,,
972,0.4398126006126404,55.38,11,10608,308,10709,0.0003,-0.6522024499999994,10.96133804321289,,
985,-0.5769332647323608,55.57,11,10740,312,10841,0.0003,0.3574887899999995,16.0739803314209,,
1040,-0.4038581848144531,61.63,11,11464,316,11565,0.0003,10.32424888,14.378239631652832,,
1134,-2.2395429611206055,73.75,11,12805,320,12906,0.0003,15.72608249,14.042092323303223,,
1177,-2.106354236602783,79.2,11,13430,324,13531,0.0003,18.35978606,16.4929256439209,,
1217,-3.656430244445801,82.37,11,13863,328,13964,0.0003,19.43823316,16.169240951538086,,
1242,-3.493896007537842,84.65,11,14220,332,14321,0.0003,22.95839559,15.241657257080078,,
1289,-5.202822685241699,88.15,11,14796,336,14897,0.0003,27.704063619999996,11.438368797302246,,
1310,-3.615400552749634,89.06,11,15082,340,15183,0.0003,27.021369170000003,14.61029052734375,,
1439,-4.965695381164551,106.8,11,16974,344,17075,0.0003,41.76428474,10.744804382324219,,
1580,-6.8542070388793945,124.4,12,18938,348,19039,0.0003,65.76894209000001,10.355069160461426,,
1684,-6.945188045501709,134.97,12,20213,352,20314,0.0003,68.26034102,10.62038516998291,,
1758,-7.537320613861084,142.23,12,21216,356,21317,0.0003,76.27743613000001,13.13272476196289,,
1801,-7.144936561584473,145.77,12,21757,360,21858,0.0003,79.02777298,10.535337448120117,,
1917,-8.755813598632812,158.92,12,23417,364,23518,0.0003,96.45725708,14.579893112182617,,
2002,-8.031027793884277,169.34,12,24609,368,24710,0.0003,85.44602716,13.558361053466797,,
2042,-7.321682929992676,171.45,12,25191,372,25292,0.0003,84.47964382000002,18.774768829345703,,
2106,-8.079434394836426,176.67,12,25970,376,26071,0.0003,86.00214647000001,8.819771766662598,,
2166,-7.45335578918457,184.98,12,26945,380,27046,0.0003,87.48749728000001,10.234637260437012,,
2219,-6.85271692276001,190.12,12,27712,384,27813,0.0003,90.32382622000002,13.002081871032715,,
2243,-7.7521209716796875,190.73,12,28077,388,28178,0.0003,91.64065754,11.550504684448242,,
2255,-7.796766757965088,188.12,12,28250,392,28351,0.0003,89.23090289000001,15.806406021118164,,
2307,-8.341644287109375,194.94,12,29108,396,29209,0.0003,94.00955034,8.188425064086914,,
2334,-7.985532760620117,195.48,12,29460,400,29561,0.0003,95.10336841000002,13.191036224365234,,
2407,-8.819107055664062,203.16,12,30465,404,30566,0.0003,101.38350787000002,11.075740814208984,,
2499,-7.884450912475586,210.99,12,31707,408,31808,0.0003,112.68751945,11.545560836791992,,
2544,-8.114133834838867,216.37,12,32377,412,32478,0.0003,122.13723029,9.402871131896973,,
2598,-7.785143852233887,216.59,12,33123,416,33224,0.0003,118.28673287999999,10.517576217651367,,
2670,-9.945127487182617,212.77,12,34082,420,34183,0.0003,127.02233927000002,11.122820854187012,,
2701,-9.772790908813477,210.56,12,34486,424,34587,0.0003,130.31556283,12.048612594604492,,
2732,-8.571392059326172,210.21,12,34884,428,34985,0.0003,130.47583690000002,14.498652458190918,,
2773,-8.927189826965332,212.86,12,35506,432,35607,0.0003,136.76840388,10.572881698608398,,
2790,-9.068225860595703,209.53,12,35749,436,35850,0.0003,131.42350564000003,17.188865661621094,,
2806,-9.040231704711914,209.02,12,35984,440,36085,0.0003,127.24682592999997,12.811898231506348,,
2840,-9.75757122039795,195.22,12,36496,444,36597,0.0003,116.80757098,14.300975799560547,,
2851,-9.498822212219238,176.97,12,36635,448,36736,0.0003,91.92805389000002,13.159296035766602,,
2913,-9.094294548034668,172.44,12,37457,452,37558,0.0003,98.68317377,9.966744422912598,,
2984,-9.90798282623291,171.77,12,38393,456,38494,0.0003,108.10418981000001,9.540376663208008,,
3106,-9.158575057983398,183.21,12,40078,460,40179,0.0003,123.05365609000002,13.107749938964844,,
3124,-10.001694679260254,168.89,12,40306,464,40407,0.0003,110.38366437,18.202468872070312,,
3253,-11.286406517028809,176.74,13,42283,468,42384,0.0003,149.92839312,12.613018989562988,,
3310,-10.889152526855469,178.28,13,43019,472,43120,0.0003,157.80115329999998,8.553339958190918,,
3360,-10.982303619384766,176.17,12,43587,476,43688,0.0003,163.26869127,10.722620010375977,,
3398,-12.798351287841797,172.58,13,44203,480,44304,0.0003,163.95235601000002,8.483209609985352,,
3422,-11.021547317504883,168.62,13,44574,484,44675,0.0003,163.39648641,14.585593223571777,,
3462,-11.246524810791016,171.32,13,45209,488,45310,0.0003,166.20748065,9.253423690795898,,
3479,-9.777414321899414,172.01,13,45451,492,45552,0.0003,166.45453350000003,14.282892227172852,,
3534,-9.431425094604492,172.26,13,46334,496,46435,0.0003,171.30075336000002,7.295215129852295,,
3576,-12.156133651733398,174.07,13,46867,500,46968,0.0003,173.15146631,10.046730041503906,,
3626,-11.070527076721191,171.23,13,47588,504,47689,0.0003,175.59730156999998,14.775014877319336,,
3656,-9.630926132202148,162.32,13,47939,508,48040,0.0003,160.68090841,9.339336395263672,,
3721,-11.363080978393555,165.71,13,48948,512,49049,0.0003,164.54156382999997,13.111284255981445,,
3759,-10.792337417602539,163.2,13,49443,516,49544,0.0003,164.89132413000004,15.147788047790527,,
3770,-11.994138717651367,154.95,13,49577,520,49678,0.0003,150.53719415,11.401018142700195,,
3841,-12.431707382202148,160.83,13,50569,524,50670,0.0003,154.63647072,9.57320785522461,,
3966,-11.616111755371094,173.2,13,52204,528,52305,0.0003,172.0106573,14.391080856323242,,
4055,-11.650604248046875,179.97,13,53503,532,53604,0.0003,184.87637404,12.962928771972656,,
4089,-12.709234237670898,182.27,13,53976,536,54077,0.0003,186.38842144999998,11.441848754882812,,
4144,-11.139570236206055,187.92,13,54776,540,54877,0.0003,199.51271125,8.208672523498535,,
4209,-9.758230209350586,192.0,13,55696,544,55797,0.0003,206.94984445000003,7.505017280578613,,
4306,-10.778291702270508,205.2,13,57155,548,57256,0.0003,226.02792283,10.591545104980469,,
4405,-12.421438217163086,210.13,13,58470,552,58571,0.0003,233.20170559,10.689648628234863,,
4427,-12.48610782623291,203.69,13,58762,556,58863,0.0003,221.65129382999996,10.189287185668945,,
4465,-12.94200325012207,191.82,13,59260,560,59361,0.0003,208.80649969,9.98940372467041,,
4547,-12.313142776489258,199.59,13,60265,564,60366,0.0003,215.57422484000003,13.506284713745117,,
4608,-11.882270812988281,188.35,13,61118,568,61219,0.0003,190.74437147,9.425054550170898,,
4698,-10.649674415588379,195.1,13,62529,572,62630,0.0003,203.66297051000004,14.428565979003906,,
4718,-11.103870391845703,191.5,13,62737,576,62838,0.0003,195.98858054999997,10.791938781738281,,
4768,-11.682199478149414,191.93,13,63396,580,63497,0.0003,200.75200025999996,10.469300270080566,,
4788,-13.246196746826172,190.89,13,63663,584,63764,0.0003,197.50900275000004,9.24708080291748,,
4805,-11.825102806091309,186.69,13,63878,588,63979,0.0003,190.17094065999999,14.471291542053223,,
4876,-12.039374351501465,194.0,13,64851,592,64952,0.0003,205.20920323,9.544111251831055,,
4911,-12.912294387817383,189.99,13,65333,596,65434,0.0003,196.90356912000004,9.423476219177246,,
4996,-12.103418350219727,196.19,13,66486,600,66587,0.0003,204.30377521000003,11.432035446166992,,
5054,-12.43120002746582,197.56,13,67344,604,67445,0.0003,192.12449761,11.214876174926758,,
5110,-11.461997985839844,202.01,13,68140,608,68241,0.0003,202.69288293000002,11.13244342803955,,
5184,-12.494422912597656,202.65,13,69213,612,69314,0.0003,207.82696888,11.28065299987793,,
5222,-12.724108695983887,203.34,13,69777,616,69878,0.0003,210.42656254999997,12.13386058807373,,
5272,-11.676969528198242,209.17,13,70494,620,70595,0.0003,214.38276312999994,10.694604873657227,,
5313,-14.089802742004395,204.55,13,71024,624,71125,0.0003,209.33651727999998,9.650890350341797,,
5354,-13.154229164123535,193.89,13,71593,628,71694,0.0003,195.05933323000002,8.238361358642578,,
5408,-13.356184005737305,189.38,13,72441,632,72542,0.0003,182.56910802999994,13.073014259338379,,
5467,-12.649698257446289,193.86,13,73362,636,73463,0.0003,191.66055428999996,10.03148078918457,,
5519,-11.500057220458984,193.97,13,74173,640,74274,0.0003,193.70870046999997,8.447139739990234,,
5548,-12.412712097167969,189.36,13,74632,644,74733,0.0003,185.33613578,11.776427268981934,,
5663,-12.302475929260254,192.86,13,76441,648,76542,0.0003,196.25213082,9.538951873779297,,
5794,-11.693487167358398,199.38,13,78408,652,78509,0.0003,206.43808535999997,6.4659295082092285,,
5821,-13.166640281677246,200.55,13,78817,656,78918,0.0003,206.59044073,10.524900436401367,,
5859,-12.396093368530273,201.38,13,79398,660,79499,0.0003,203.71517477999998,10.084186553955078,,
5924,-14.491253852844238,201.48,13,80413,664,80514,0.0003,201.96414521,7.166731834411621,,
5962,-13.46319580078125,199.36,13,81054,668,81155,0.0003,197.98385403999998,7.7541046142578125,,
5986,-13.478671073913574,188.99,13,81428,672,81529,0.0003,180.27866474,8.747222900390625,,
6041,-12.779826164245605,193.27,13,82064,676,82165,0.0003,183.84147255999997,13.964746475219727,,
6201,-12.867063522338867,210.41,13,84437,680,84538,0.0003,211.47978772999994,11.7366943359375,,
6235,-13.51772689819336,212.93,13,84956,684,85057,0.0003,215.50100621,8.746627807617188,,
6262,-12.946756362915039,215.1,13,85388,688,85489,0.0003,220.15582951999997,8.56971549987793,,
6290,-12.82069206237793,209.67,13,85818,692,85919,0.0003,205.47593194000004,8.28964614868164,,
6312,-13.797954559326172,208.17,13,86150,696,86251,0.0003,205.54789241000003,7.126882076263428,,
6449,-14.537110328674316,216.59,13,88145,700,88246,0.0003,222.78717518000005,9.156050682067871,,
6538,-14.455148696899414,220.63,13,89407,704,89508,0.0003,241.75233540000005,9.784061431884766,,
6602,-12.77822208404541,222.25,13,90365,708,90466,0.0003,244.47697666999997,8.651987075805664,,
6661,-12.931173324584961,219.17,13,91130,712,91231,0.0003,235.20923359999998,7.149711608886719,,
6678,-12.806081771850586,215.67,13,91344,716,91445,0.0003,227.03761629000005,7.709932804107666,,
6722,-13.530961990356445,213.92,13,91886,720,91987,0.0003,226.73101631000006,9.39700984954834,,
6819,-13.02426528930664,222.86,13,93310,724,93411,0.0003,232.17270960000002,8.632726669311523,,
6906,-13.71963119506836,229.1,13,94503,728,94604,0.0003,236.57127002,11.718263626098633,,
7011,-14.841129302978516,236.3,13,96071,732,96172,0.0003,256.55250465,7.758754730224609,,
7116,-13.127298355102539,243.63,13,97725,736,97826,0.0003,267.6376376,11.092521667480469,,
7173,-13.793882369995117,244.59,13,98632,740,98733,0.0003,263.69265195,7.21811580657959,,
,-13.096466064453125,,,99899,,100000,0.0003,,8.328225135803223,1003.7591636000001,632.8
7504,-13.791942596435547,260.56,13,100688,744,100789,0.0003,291.69131009,9.602306365966797,,
7560,-13.572193145751953,250.7,13,101511,748,101612,0.0003,269.66148735999997,9.780891418457031,,
7665,-13.186944007873535,245.78,13,102986,752,103087,0.0003,266.63100225,15.772582054138184,,
7708,-13.664493560791016,247.26,13,103543,756,103644,0.0003,271.35295752999997,5.714278221130371,,
7787,-14.088876724243164,252.59,13,104657,760,104758,0.0003,283.55091483999996,9.517669677734375,,
7839,-15.430582046508789,249.62,13,105375,764,105476,0.0003,287.63345234,5.7386064529418945,,
7938,-14.256227493286133,256.66,13,106720,768,106821,0.0003,309.07700642,7.467726230621338,,
8005,-14.197196960449219,257.45,13,107173,772,107274,0.0003,314.03027020999997,7.348747253417969,,
8051,-13.968111991882324,256.89,13,107753,776,107854,0.0003,316.94147616000004,9.608591079711914,,
8095,-13.988094329833984,238.98,13,108335,780,108436,0.0003,287.24224682,9.472583770751953,,
8218,-14.75281810760498,250.58,13,110014,784,110115,0.0003,312.84205237000003,8.212882995605469,,
8314,-13.911277770996094,259.04,13,111292,788,111393,0.0003,326.97139517,9.32859992980957,,
8452,-15.042289733886719,271.54,13,112972,792,113073,0.0003,354.3496797700001,9.556840896606445,,
8536,-15.542709350585938,279.7,13,114120,796,114221,0.0003,372.15163353,9.70431900024414,,
8607,-14.853240013122559,268.72,13,115017,800,115118,0.0003,353.72173437000004,8.323108673095703,,
8728,-13.799592971801758,273.27,13,116734,804,116835,0.0003,369.96371057000005,9.917131423950195,,
8791,-15.441563606262207,272.28,13,117593,808,117694,0.0003,368.8456669600001,10.771690368652344,,
8903,-14.688066482543945,279.64,13,119094,812,119195,0.0003,383.16699852,7.670928001403809,,
9010,-15.253334045410156,293.2,13,120664,816,120765,0.0003,412.16015074,6.947409152984619,,
9054,-16.172821044921875,292.92,13,121178,820,121279,0.0003,414.2244788699999,6.093622207641602,,
9155,-14.96030044555664,292.23,13,122533,824,122634,0.0003,430.08547893,5.081717491149902,,
9215,-15.863744735717773,289.32,13,123435,828,123536,0.0003,433.92172794999993,8.03282356262207,,
9353,-15.82372760772705,293.36,13,125407,832,125508,0.0003,435.80607576,8.3558349609375,,
9445,-15.3621187210083,290.34,13,126759,836,126860,0.0003,429.66045440999994,13.274419784545898,,
9506,-15.514662742614746,289.05,13,127537,840,127638,0.0003,424.76151426999996,5.614440441131592,,
9606,-14.525554656982422,280.97,13,128785,844,128886,0.0003,417.99985625,8.204977035522461,,
9654,-15.442924499511719,279.6,13,129471,848,129572,0.0003,416.3514201299999,7.169773578643799,,
9726,-15.32164192199707,275.46,13,130532,852,130633,0.0003,405.53984625,6.9494171142578125,,
9865,-15.562738418579102,289.12,13,132455,856,132556,0.0003,436.14995943,7.000831604003906,,
9954,-14.451438903808594,290.78,13,133735,860,133836,0.0003,440.92030907000003,6.412735939025879,,
10071,-16.91413116455078,299.56,13,135331,864,135432,0.0003,459.6822014699999,11.888518333435059,,
10190,-17.13155746459961,303.74,13,137094,868,137195,0.0003,468.0415400799999,11.474611282348633,,
10239,-14.990684509277344,304.87,13,137660,872,137761,0.0003,470.41055783999997,8.480022430419922,,
10384,-17.819665908813477,320.0,13,139753,876,139854,0.0003,498.85038268000005,5.836724281311035,,
10425,-16.706356048583984,319.94,13,140329,880,140430,0.0003,492.73572024000003,4.9956254959106445,,
10487,-15.946237564086914,311.48,13,141162,884,141263,0.0003,469.9630328799999,6.418069839477539,,
10550,-16.200719833374023,307.58,13,142050,888,142151,0.0003,467.19224981,5.849337100982666,,
10628,-17.360639572143555,302.19,13,143191,892,143292,0.0003,452.0250189099999,7.492995262145996,,
10684,-17.421178817749023,297.56,13,143876,896,143977,0.0003,440.21689616000003,10.499248504638672,,
10801,-16.404333114624023,305.95,13,145612,900,145713,0.0003,463.2232176700001,9.453452110290527,,
10843,-16.322200775146484,295.09,13,146243,904,146344,0.0003,437.46341585000005,6.18753719329834,,
10904,-17.350418090820312,296.39,13,147232,908,147333,0.0003,432.27409393999994,7.631799697875977,,
10997,-17.025094985961914,296.36,13,148730,912,148831,0.0003,432.0405108299999,5.812781810760498,,
11100,-17.053607940673828,296.75,13,150339,916,150440,0.0003,421.0437800699999,11.830718994140625,,
11214,-17.812801361083984,307.76,13,151954,920,152055,0.0003,437.19027828000003,5.2037153244018555,,
11261,-14.64737606048584,300.61,13,152594,924,152695,0.0003,422.58819869,6.968245506286621,,
11315,-18.016197204589844,299.11,13,153346,928,153447,0.0003,418.49360480999997,5.005208969116211,,
11448,-16.966054916381836,297.58,13,155165,932,155266,0.0003,417.37791641999996,5.60513162612915,,
11505,-17.018598556518555,291.99,13,155958,936,156059,0.0003,408.39728617000003,6.356391906738281,,
11570,-17.46002197265625,293.1,13,156847,940,156948,0.0003,420.55108698000004,7.370194911956787,,
11603,-15.631102561950684,284.67,13,157252,944,157353,0.0003,402.03289107999996,9.764274597167969,,
11673,-16.686382293701172,287.41,13,158212,948,158313,0.0003,412.48238409999993,5.498268127441406,,
11749,-17.401670455932617,288.14,13,159346,952,159447,0.0003,415.28780568,9.712230682373047,,
11813,-17.309520721435547,278.56,13,160311,956,160412,0.0003,392.82088364,6.206687927246094,,
11894,-16.55787467956543,277.08,13,161443,960,161544,0.0003,375.4226242699999,7.697129726409912,,
11951,-15.7493257522583,269.32,13,162263,964,162364,0.0003,360.08582241,10.178336143493652,,
12031,-17.605445861816406,263.76,13,163470,968,163571,0.0003,352.63820043999993,5.664759159088135,,
12104,-17.73583221435547,267.22,13,164382,972,164483,0.0003,360.62117183999993,10.581326484680176,,
12134,-17.591581344604492,250.28,13,164781,976,164882,0.0003,327.84896132,7.572729587554932,,
12192,-16.141563415527344,252.82,13,165611,980,165712,0.0003,334.8667084,9.646685600280762,,
12250,-16.657032012939453,253.38,13,166500,984,166601,0.0003,345.18743587999995,7.160301685333252,,
12338,-17.265167236328125,257.29,13,167779,988,167880,0.0003,359.32788547,6.345520973205566,,
12429,-16.270586013793945,259.75,13,169166,992,169267,0.0003,367.57776227999994,5.474391937255859,,
12464,-17.82817840576172,257.51,13,169627,996,169728,0.0003,361.12103973999996,11.312408447265625,,
12538,-17.522289276123047,250.71,13,170683,1000,170784,0.0003,342.14789552,6.6148681640625,,
12632,-17.69347381591797,258.44,13,172087,1004,172188,0.0003,357.64673877999996,5.395298957824707,,
12723,-17.10175895690918,261.26,13,173358,1008,173459,0.0003,373.9518351899999,5.752622604370117,,
12841,-18.305522918701172,263.21,13,175051,1012,175152,0.0003,380.34345396,5.53007173538208,,
12918,-17.28522491455078,258.87,13,176226,1016,176327,0.0003,376.2580014300001,6.084205150604248,,
13024,-16.576454162597656,257.9,13,177744,1020,177845,0.0003,378.20953256,6.549559593200684,,
13118,-16.67612075805664,264.5,13,179044,1024,179145,0.0003,393.0761558800001,6.523040771484375,,
13185,-17.406909942626953,266.95,13,180041,1028,180142,0.0003,403.01548396,5.815525531768799,,
13203,-18.036449432373047,251.12,13,180277,1032,180378,0.0003,372.74549095000003,7.227696895599365,,
13293,-18.131484985351562,254.63,13,181421,1036,181522,0.0003,380.7060171200001,7.678916931152344,,
13328,-17.454021453857422,250.6,13,181907,1040,182008,0.0003,370.70067623999995,6.654644012451172,,
13455,-17.879817962646484,263.23,13,183575,1044,183676,0.0003,396.43180003000003,5.685640811920166,,
13527,-17.456974029541016,263.71,13,184583,1048,184684,0.0003,394.0004590599999,9.373307228088379,,
13616,-19.099105834960938,265.37,13,185883,1052,185984,0.0003,391.81111551999993,4.648715972900391,,
13689,-17.225814819335938,265.05,13,186816,1056,186917,0.0003,386.89724913,5.165126323699951,,
13724,-17.565868377685547,258.86,13,187329,1060,187430,0.0003,390.17091306000003,4.599185943603516,,
13799,-16.383329391479492,261.79,13,188442,1064,188543,0.0003,390.88740219000016,9.285477638244629,,
13965,-18.773700714111328,271.66,13,190636,1068,190737,0.0003,415.74772894999995,6.66091251373291,,
14027,-16.496368408203125,271.33,13,191515,1072,191616,0.0003,406.28519503,5.292234897613525,,
14053,-18.92483139038086,271.48,13,191929,1076,192030,0.0003,404.7907320300001,8.684453964233398,,
14113,-18.34756088256836,272.57,13,192868,1080,192969,0.0003,410.3110242700001,7.6612372398376465,,
14218,-18.429637908935547,279.17,13,194417,1084,194518,0.0003,416.48127388,5.125618934631348,,
14294,-18.712841033935547,277.51,13,195530,1088,195631,0.0003,406.26026802,16.242305755615234,,
14386,-17.224477767944336,278.36,13,197002,1092,197103,0.0003,408.90748869,4.874361991882324,,
14441,-17.93836784362793,281.76,13,197803,1096,197904,0.0003,417.64578112,5.620218276977539,,
14509,-17.41297149658203,281.74,13,198857,1100,198958,0.0003,414.06289627999996,6.901659965515137,,
14558,-17.668392181396484,274.6,13,199547,1104,199648,0.0003,396.54377886000003,4.540199279785156,,
14579,-18.191560745239258,265.0,13,199858,1108,199959,0.0003,373.03812514,8.481111526489258,,
,-17.5599422454834,,,199899,,200000,0.0003,,7.63755989074707,2286.0659614,1000.0
14938,-18.899520874023438,258.18,13,200869,1112,200970,0.0003,356.95464066,4.645505905151367,,
15034,-17.10675621032715,259.81,13,202207,1116,202308,0.0003,362.66571075,5.256136894226074,,
15154,-18.402015686035156,261.67,13,203911,1120,204012,0.0003,362.88381732,6.322581768035889,,
15248,-18.177520751953125,262.05,13,205249,1124,205350,0.0003,355.71230132999995,4.086243629455566,,
15356,-16.8621826171875,266.62,13,206703,1128,206804,0.0003,360.94190489,6.975691795349121,,
15393,-18.233314514160156,268.4,13,207117,1132,207218,0.0003,359.565687,9.240827560424805,,
