rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/clip_range,train/value_loss,train/std,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/loss,eval/mean_reward,eval/mean_ep_length
-144.7947036176471,1,136,15,60.1764705882353,2048,,,,,,,,,,,,,
-201.15144230769232,2,287,14,62.49230769230769,4096,-0.0023179048865859643,0.01028645854385104,-1.4429239928722382,0.25,509.5904541015625,0.49918073415756226,0.0001894831657409668,0.00029987712,0.0025296998,10,212.2086639404297,,
-195.588126375,3,439,13,63.729166666666664,6144,-0.002542006114308659,0.013164062867872417,-1.4535851716995238,0.25,826.1068939208984,0.5019114017486572,-0.000489354133605957,0.00029975423999999997,0.004193483,20,393.37335205078125,,
-195.87743729000002,4,608,13,60.64,8192,-0.002938377543177939,0.025807292317040265,-1.464766538143158,0.25,403.3226943969727,0.5048319697380066,0.0004788637161254883,0.00029963136,0.0026065733,30,191.90745544433594,,
-151.88774715000002,5,758,13,58.27,10240,-0.004602463671471923,0.05075520954560488,-1.47524853348732,0.25,479.17052459716797,0.5069780349731445,0.00038689374923706055,0.00029950847999999996,0.005458325,40,226.42022705078125,,
-180.64647233999992,6,915,13,60.72,12288,-0.003984020332864024,0.037968750702566466,-1.4831549167633056,0.25,270.9292274475098,0.5090651512145996,8.869171142578125e-05,0.0002993856,0.009115031,50,131.48231506347656,,
-184.48591536,7,1064,13,68.72,14336,-0.00012231456625162452,0.0009114583575865254,-1.4911928296089172,0.25,608.7271606445313,0.510926365852356,-1.9550323486328125e-05,0.00029926272,0.0013723897,60,286.97357177734375,,
-200.01834395999998,8,1264,12,74.15,16384,-0.0036341970054491134,0.05858072996197734,-1.5002180814743042,0.25,160.85460891723633,0.5139338970184326,-4.76837158203125e-06,0.00029913984,0.012168215,70,80.89907836914062,,
-194.34919058,9,1418,12,70.84,18432,-0.0032940486184088514,0.05540364650078118,-1.5116178393363953,0.25,227.03854370117188,0.5165256261825562,-1.5139579772949219e-05,0.00029901696,0.004247724,80,120.63577270507812,,
,,,,,20000,-0.0027930408101383363,0.03365885496896226,-1.5196555733680726,0.25,475.4183059692383,0.5178954005241394,-3.4928321838378906e-05,0.00029889407999999997,0.011167711,90,248.5293426513672,-390.06251320026206,112.4
-162.53728936999997,10,1621,12,67.65,20480,,,,,,,,,,,,,
-182.91368515999994,11,1775,12,70.08,22528,-0.004998917866032571,0.048281251243315636,-1.5294508695602418,0.25,179.00444564819335,0.5224975347518921,0.0019698143005371094,0.0002987712,0.0054867286,100,86.53079223632812,,
-184.65259418999997,12,1949,12,70.84,24576,0.014154392378404735,0.2745182359591126,-1.5464409947395326,0.25,300.39154357910155,0.5256434679031372,-1.430511474609375e-05,0.00029864831999999996,0.021105463,110,157.1925811767578,,
-176.30938457999997,13,2102,12,69.62,26624,-0.0014863460531341854,0.014739583537448198,-1.5595405161380769,0.25,197.03084259033204,0.5309287309646606,-2.7418136596679688e-05,0.00029852544,0.004482803,120,95.12217712402344,,
-207.36589362000004,14,2260,12,73.61,28672,0.003446983330068176,0.12622396093793214,-1.578892707824707,0.25,274.4392288208008,0.5340281128883362,2.580881118774414e-05,0.00029840255999999995,0.0053719142,130,136.9248504638672,,
-241.28565708999997,15,2417,12,78.04,30720,-0.0020394539601693573,0.005403645933256485,-1.5846526563167571,0.25,373.4891891479492,0.5347317457199097,6.198883056640625e-06,0.00029827968,0.0061012586,140,174.4730224609375,,
-255.64418631999996,16,2563,12,81.98,32768,0.0006860414077527466,0.00016927083779592068,-1.5866580545902251,0.25,418.5912628173828,0.5351293683052063,1.6987323760986328e-05,0.00029815679999999994,0.001384993,150,227.23480224609375,,
-268.71722652000005,17,2710,12,85.02,34816,-0.0020008434047121605,0.01923177146818489,-1.588845133781433,0.25,183.82674865722657,0.5360700488090515,6.079673767089844e-06,0.00029803391999999997,0.004836305,160,92.55577850341797,,
-229.19712331,18,2883,12,73.5,36864,-0.0006080789987026769,0.0017447917081881315,-1.5927617490291595,0.25,529.9575210571289,0.5369450449943542,1.4007091522216797e-05,0.00029791104,0.0029521193,170,277.75445556640625,,
-241.26365932000002,19,3058,12,67.93,38912,-0.000536325716166175,0.00031250001047737895,-1.5950852751731872,0.25,367.2208084106445,0.5374783873558044,1.0788440704345703e-05,0.00029778816,0.002461543,180,178.45677185058594,,
,,,,,40000,-0.0028644001879001733,0.016184896082268096,-1.5967923700809479,0.25,477.95335845947267,0.5377898216247559,0.00031960010528564453,0.00029766528,0.010144629,190,228.58706665039062,-418.53113771223724,91.6
-185.95786090000001,20,3269,12,57.84,40960,,,,,,,,,,,,,
-185.1284963,21,3445,12,61.28,43008,-0.0008894669807341437,0.1096223992004525,-1.6020320117473603,0.25,342.2463134765625,0.5408666133880615,1.3053417205810547e-05,0.0002975424,0.011016402,200,174.7488250732422,,
-172.67482595999994,22,3616,12,63.36,45056,-0.0011918722803239135,0.006093750073341652,-1.6134524464607238,0.25,145.86389846801757,0.5431864857673645,3.719329833984375e-05,0.00029741952,0.00711275,210,73.44953155517578,,
-221.12138068000004,23,3795,12,68.78,47104,-0.0036281199105724247,0.024882812835858203,-1.6220595479011535,0.25,186.73855590820312,0.5464272499084473,4.398822784423828e-05,0.00029729664,0.0069612702,220,95.2336654663086,,
-208.51731814000001,24,3956,12,68.93,49152,0.0011376419874432387,0.037526042401441376,-1.633635950088501,0.25,438.2484786987305,0.5484142303466797,3.5881996154785156e-05,0.00029717375999999997,0.009076774,230,216.37477111816406,,
-197.93990128999997,25,4120,12,67.8,51200,-0.0014928476369823307,0.002526041679084301,-1.637822824716568,0.25,156.49392318725586,0.5492594242095947,6.532669067382812e-05,0.00029705088,0.0040837117,240,81.05594635009766,,
