train/actor_loss,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,time/fps,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
6.5223588943481445,71.75,33,5.541735649108887,8,287,4,-446.40726225000003,186,0.00035,,
8.29086685180664,79.875,64,2.3640389442443848,9,639,8,-478.9716195,538,0.00035,,
10.135568618774414,82.0,96,3.492711067199707,10,984,12,-402.0017190833333,883,0.00035,,
12.801076889038086,89.125,135,4.549717903137207,10,1426,16,-361.130794875,1325,0.00035,,
14.44334602355957,84.0,157,3.765247344970703,10,1680,20,-351.77801915,1579,0.00035,,
15.594964981079102,88.75,195,7.234136581420898,10,2130,24,-370.63644358333335,2029,0.00035,,
16.67409896850586,88.07142857142857,228,2.8246994018554688,10,2466,28,-336.0324041071429,2365,0.00035,,
16.826614379882812,90.75,262,7.389113426208496,11,2904,32,-331.98441409375,2803,0.00035,,
19.052528381347656,90.25,291,17.213869094848633,11,3249,36,-317.07780075000005,3148,0.00035,,
17.40322494506836,87.45,311,7.782927513122559,11,3498,40,-302.903751575,3397,0.00035,,
19.98619270324707,87.18181818181819,338,3.8312788009643555,11,3836,44,-286.0737093409091,3735,0.00035,,
22.91219139099121,89.16666666666667,371,16.79410171508789,11,4280,48,-297.87120577083334,4179,0.00035,,
22.087047576904297,90.67307692307692,410,6.018604755401611,11,4715,52,-306.0390986923077,4614,0.00035,,
23.023910522460938,90.25,440,53.66489028930664,11,5054,56,-307.06787366071427,4953,0.00035,,
27.160171508789062,90.18333333333334,470,17.511037826538086,11,5411,60,-330.55320216666667,5310,0.00035,,
29.56855010986328,86.75,483,16.313751220703125,11,5552,64,-317.353710125,5451,0.00035,,
28.02277946472168,85.23529411764706,505,10.168516159057617,11,5796,68,-317.13931435294126,5695,0.00035,,
29.114295959472656,86.63888888888889,542,17.63124656677246,11,6238,72,-340.05928104166674,6137,0.00035,,
28.428279876708984,86.64473684210526,577,94.5821533203125,11,6585,76,-333.39753855263166,6484,0.00035,,
