rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/value_loss,train/clip_fraction,train/std,train/approx_kl,train/loss,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
-186.70160658999998,26624,10,13,74.62,2621,120,198.8222770690918,0.02871093794819899,0.5233253836631775,0.006103334,96.95294952392578,0.2,-1.540140414237976,0.00019592046737670898,0.00029852544,-0.0019063082442517087,,
-210.36310923000002,28672,10,14,78.28,2821,130,385.0287612915039,0.00016927083779592068,0.523888111114502,0.00092398864,193.9015655517578,0.2,-1.54408158659935,6.753206253051758e-05,0.00029840255999999995,-0.0003252524188064321,,
-226.33927633,30720,10,15,77.99,3013,140,403.75746154785156,0.0,0.5240991115570068,0.0012229435,191.35516357421875,0.2,-1.5453082203865052,5.418062210083008e-05,0.00029827968,-0.0010728953172385758,,
-246.94702678,32768,10,16,79.65,3227,150,537.4450439453125,0.0,0.5245648622512817,0.0001195465,266.0390625,0.2,-1.5464552998542787,4.89354133605957e-05,0.00029815679999999994,-0.00025154655871120204,,
-184.94510920000002,34816,10,17,70.73,3428,160,306.0131317138672,0.001471354192472063,0.5250867605209351,0.0028742529,143.5940704345703,0.2,-1.548494130373001,3.790855407714844e-05,0.00029803391999999997,-0.0011231957859126674,,
-190.7877343,36864,10,18,68.2,3654,170,189.69177856445313,0.049127605409012176,0.5254562497138977,0.0041582515,93.13654327392578,0.2,-1.5502175986766815,7.092952728271484e-06,0.00029791104,-0.004371107834740542,,
-126.66982878000003,38912,10,19,69.61,3830,180,579.2068725585938,0.028242188406875358,0.5255223512649536,0.0035101215,283.07855224609375,0.2,-1.5511510610580443,6.216764450073242e-05,0.00029778816,-0.0015564044874918138,,
,40000,,,,,190,128.86635665893556,0.0,0.525623619556427,3.2039556e-05,61.089595794677734,0.2,-1.551267832517624,0.00016695261001586914,0.00029766528,0.00012230348110744415,112.2,-353.1404864516109
-166.49689888000003,40960,10,20,70.6,4092,,,,,,,,,,,,,
-194.52056631,43008,10,21,78.65,4289,200,339.0423324584961,0.0,0.525890052318573,0.00038367911,162.24462890625,0.2,-1.5519799888134003,0.00013500452041625977,0.0002975424,-0.0003002031307551056,,
-219.75268653999998,45056,10,22,74.41,4499,210,441.65550537109374,0.01368489592568949,0.526093602180481,0.0056821723,215.3165740966797,0.2,-1.5529655277729035,0.00020438432693481445,0.00029741952,-0.0019698116817016944,,
-297.42432042999997,47104,10,23,78.84,4691,220,433.8183532714844,0.0,0.526319146156311,0.00027288782,214.9533233642578,0.2,-1.553703284263611,8.678436279296875e-05,0.00029729664,-0.0003471333405559829,,
-308.30694085999994,49152,10,24,77.91,4891,230,805.6320373535157,0.0,0.5265083909034729,5.2586867e-05,386.69921875,0.2,-1.5545482695102693,5.179643630981445e-05,0.00029717375999999997,1.6011878942667756e-05,,
-319.3719966,51200,10,25,77.72,5091,240,267.70278015136716,0.008151041733799502,0.5269051790237427,0.0053265328,135.96905517578125,0.2,-1.5555222868919372,2.485513687133789e-05,0.00029705088,-0.0026277856090746177,,
-288.62637844999995,53248,10,26,75.53,5290,250,517.9901138305664,7.812500116415322e-05,0.5272160768508911,0.0016575849,266.4598083496094,0.2,-1.5570482850074767,2.7060508728027344e-05,0.00029692799999999996,-0.0004089242863119846,,
-246.76986502000008,55296,10,27,75.92,5465,260,260.3035087585449,0.07959635651204736,0.5289913415908813,0.008647688,130.65496826171875,0.2,-1.5596218764781953,2.8252601623535156e-05,0.00029680512,-0.004548126743175085,,
-191.40033314999997,57344,10,28,76.67,5641,270,418.08997650146483,0.0907421916606836,0.5313649773597717,0.0063159643,204.28057861328125,0.2,-1.5695759236812592,2.491474151611328e-05,0.00029668223999999995,0.0028073607454280115,,
-195.29936857,59392,10,29,74.61,5844,280,117.63087997436523,0.0,0.5320332050323486,0.0003496011,54.52559280395508,0.2,-1.5746960878372191,6.431341171264648e-05,0.00029655936,-1.2468124798559189e-05,,
,60000,,,,,290,381.2998977661133,0.0,0.5321678519248962,0.00031327095,199.46591186523438,0.2,-1.5761388182640075,0.00024372339248657227,0.00029643648,-0.0002879366863544952,35.4,-44.264912905544044
-220.44166581000002,61440,10,30,76.1,6090,,,,,,,,,,,,,
-222.20816868000003,63488,10,31,72.9,6280,300,274.52766571044924,0.0,0.5321952104568481,3.4136552e-05,129.2056884765625,0.2,-1.5763176143169404,4.392862319946289e-05,0.00029631359999999997,-9.746290196857021e-05,,
-235.80449194000005,65536,10,32,69.42,6475,310,286.60734405517576,0.04065104218898341,0.5374159812927246,0.00806597,146.30921936035156,0.2,-1.5845918774604797,8.422136306762695e-05,0.00029619072,-0.0017282188320314252,,
-228.05290861999998,67584,10,33,72.12,6694,320,453.1713119506836,0.006263020960614085,0.5399842262268066,0.0036461137,236.37942504882812,0.2,-1.6015039682388306,0.0017029643058776855,0.00029606783999999996,-0.0008710377071110998,,
-187.61366540999998,69632,10,34,70.72,6892,330,228.6068000793457,0.0006119791796663776,0.5412169694900513,0.0015626955,104.97110748291016,0.2,-1.607692301273346,0.002232968807220459,0.00029594496,-0.0005595687928490634,,
-167.87000475999997,71680,10,35,66.95,7099,340,133.56092910766603,0.0,0.5416182279586792,0.00022352536,59.856895446777344,0.2,-1.6109500110149384,0.06938111782073975,0.00029582207999999995,7.869901422963288e-05,,
-201.91047203999997,73728,10,36,69.85,7296,350,195.44609298706055,0.0,0.5416817665100098,0.00018371167,82.46680450439453,0.2,-1.61162987947464,0.17518043518066406,0.0002956992,-0.0002061828781097619,,
-209.28439927000002,75776,10,37,73.63,7488,360,260.62479095458986,0.0,0.5417542457580566,3.4402226e-05,131.3175506591797,0.2,-1.6118264317512512,0.08849179744720459,0.00029557631999999994,0.00020707477394350527,,
-214.57734622999996,77824,10,38,75.34,7692,370,343.45436401367186,0.0,0.5418332815170288,2.5345518e-05,169.0248565673828,0.2,-1.6121376037597657,0.16989386081695557,0.00029545343999999997,-0.00010834279206449193,,
-240.59987556000004,79872,10,39,80.42,7895,380,214.4293014526367,0.0,0.5419057011604309,2.5063047e-05,105.91665649414062,0.2,-1.6124011754989624,0.139079749584198,0.00029533055999999994,-0.00013178318757582906,,
,80000,,,,,390,324.76441192626953,0.0,0.5419601202011108,0.00024934945,169.9279327392578,0.2,-1.6126567006111145,0.26086342334747314,0.00029520768,-0.00044707564679697943,37.6,-26.92271450408007
-235.30835059,81920,10,40,83.82,8139,,,,,,,,,,,,,
-220.61978573999997,83968,10,41,82.04,8322,400,229.49213027954102,0.0,0.5420253276824951,6.768491e-05,116.30986785888672,0.2,-1.612855851650238,0.08062636852264404,0.0002950848,2.710799867373659e-05,,
-217.26256773999998,86016,10,42,86.74,8506,410,297.95341033935546,0.0,0.5421077013015747,4.1094332e-05,151.95457458496094,0.2,-1.613130784034729,0.27701419591903687,0.00029496192,-0.00015499830422414096,,
-173.93358902000003,88064,10,43,82.49,8700,420,66.16335010528564,0.0,0.5422635078430176,0.0010199205,29.206953048706055,0.2,-1.6135696768760681,0.2776258587837219,0.00029483904,-0.0013196038281785062,,
-152.19846946,90112,10,44,75.44,8921,430,96.36385574340821,0.0,0.5423518419265747,0.00012644131,36.32649230957031,0.2,-1.6140142917633056,0.20550262928009033,0.00029471616,-0.0002764487960484896,,
-148.11587933,92160,10,45,74.1,9106,440,157.8137077331543,0.0,0.5424714088439941,8.9243e-05,78.02391052246094,0.2,-1.6144422709941864,0.31481969356536865,0.00029459327999999997,-4.5766750877263004e-05,,
-167.83167009000002,94208,10,46,71.01,9314,450,101.27424201965331,0.0,0.5425188541412354,0.0002217828,51.68417739868164,0.2,-1.6147391974925995,0.35216575860977173,0.0002944704,-0.0002631653783942145,,
-173.52230298000003,96256,10,47,72.94,9498,460,193.80161514282227,0.0,0.5425426959991455,0.00010078287,95.92574310302734,0.2,-1.6148187696933747,0.35653936862945557,0.00029434751999999996,-0.00023658864865865324,,
-171.79750593999998,98304,10,48,76.18,9695,470,246.75159606933593,0.0,0.5426974296569824,0.0003778335,118.21450805664062,0.2,-1.615132611989975,0.38259071111679077,0.00029422464,-0.0003251289902709731,,
,100000,,,,,480,160.51501235961913,0.0,0.5427892208099365,6.944954e-05,80.12654113769531,0.2,-1.615664941072464,0.3845704197883606,0.00029410175999999995,-0.00010999579595590835,60.6,-253.3867320024694
-167.77480816000002,100352,10,49,71.98,9934,,,,,,,,,,,,,
-142.53892456000003,102400,10,50,70.39,10152,490,226.79337539672852,0.0,0.5428487062454224,2.1343027e-05,108.98973846435547,0.2,-1.615900593996048,0.3505430817604065,0.00029397888,-3.129401713522495e-05,,
-151.99389297000002,104448,10,51,75.77,10350,500,193.96717681884766,0.0,0.5428688526153564,0.00015526226,95.1575927734375,0.2,-1.6160934805870055,0.529944896697998,0.00029385599999999995,-0.00029637718390631564,,
-144.82474595,106496,10,52,78.65,10549,510,109.26774368286132,0.0,0.542876660823822,0.00013308611,53.726558685302734,0.2,-1.6161268711090089,-0.374698281288147,0.00029373311999999997,-0.0001597411412876504,,
-177.74611206000006,108544,10,53,85.23,10725,520,188.82415924072265,0.0,0.5429947376251221,0.00074458134,98.587890625,0.2,-1.6162878572940826,0.2330176830291748,0.00029361024,-0.0007858184864198758,,
-200.55450361999996,110592,10,54,84.9,10900,530,247.9571319580078,0.0,0.5431016683578491,0.0001876574,116.49879455566406,0.2,-1.6167536616325378,0.4491052031517029,0.00029348735999999996,-4.3347108664237856e-05,,
-257.37905386,112640,10,55,83.11,11095,540,291.7149353027344,0.0,0.5431973934173584,7.37949e-05,134.5168914794922,0.2,-1.6171409964561463,0.53916797041893,0.00029336448,-4.8169983083434786e-05,,
-256.1474641,114688,10,56,79.35,11296,550,428.4443832397461,0.0,0.5432490706443787,9.631272e-06,206.81443786621094,0.2,-1.6174115777015685,0.335193932056427,0.00029324159999999995,-5.411893837621306e-05,,
-252.51383476000004,116736,10,57,80.5,11483,560,317.7597396850586,0.0,0.5432813167572021,1.1107566e-05,139.73365783691406,0.2,-1.6175651371479034,0.38906657695770264,0.00029311872,-5.4147882842725535e-05,,
-221.07872962,118784,10,58,73.32,11680,570,203.5790252685547,0.0,0.5433574318885803,9.21342e-06,101.97465515136719,0.2,-1.617708933353424,0.3014235496520996,0.00029299583999999995,-2.2544985149020035e-05,,
,120000,,,,,580,281.92418212890624,0.0,0.5433937311172485,0.00030963213,148.27699279785156,0.2,-1.6180083572864532,0.4808943271636963,0.00029287295999999997,-0.0005278004875958863,69.2,-170.465951676487
-179.00193663000002,120832,10,59,68.87,11914,,,,,,,,,,,,,
-166.45741462,122880,10,60,65.64,12106,590,300.9544937133789,0.0,0.543448805809021,7.553047e-05,140.1720428466797,0.2,-1.618108195066452,0.3292897343635559,0.00029275007999999994,-0.00013844417118889508,,
-176.67439588000002,124928,10,61,63.63,12315,600,125.9745319366455,0.0,0.5435819029808044,3.5792465e-05,54.57141876220703,0.2,-1.6184649765491486,0.4407259225845337,0.00029262719999999996,-3.4157217605779165e-05,,
-185.16831663999997,126976,10,62,69.02,12513,610,312.5252487182617,0.0,0.5436662435531616,0.00025379064,148.3548126220703,0.2,-1.6188861310482026,0.24300295114517212,0.00029250432,-0.00021673885336896958,,
-179.73044620000002,129024,10,63,69.44,12707,620,222.37374954223634,0.0,0.5437437891960144,0.00031433106,108.32159423828125,0.2,-1.6191651821136475,0.37186288833618164,0.00029238144,-0.0003730016447571316,,
-170.51200072,131072,10,64,67.12,12893,630,118.72869415283203,0.0,0.5438728332519531,0.00018861218,58.50104522705078,0.2,-1.6195077419281005,0.44012635946273804,0.00029225856,-0.00018270697337356977,,
-206.15472561999997,133120,10,65,72.51,13097,640,165.1067741394043,0.0,0.543971836566925,0.00028421884,84.85293579101562,0.2,-1.62000253200531,0.5759449601173401,0.00029213568,-0.0005884454843999798,,
-231.12109006000003,135168,10,66,74.45,13315,650,344.30159454345704,0.0,0.5440367460250854,7.635573e-06,166.625244140625,0.2,-1.6202685415744782,0.41063737869262695,0.00029201279999999997,2.5084435501376846e-05,,
-260.57815195,137216,10,67,76.97,13526,660,261.9904136657715,0.0,0.5441501140594482,2.8377042e-05,129.89569091796875,0.2,-1.6205729961395263,0.36997753381729126,0.00029188992,-8.535752436271693e-05,,
-231.23706623,139264,10,68,71.69,13758,670,157.51536331176757,0.0,0.5442466735839844,5.080534e-05,76.50061798095703,0.2,-1.620995420217514,0.273332417011261,0.00029176703999999996,-0.00015884750818941085,,
,140000,,,,,680,163.4069679260254,0.0,0.5443742275238037,4.558976e-05,72.45658111572266,0.2,-1.6213674247264862,0.32099807262420654,0.00029164416,-4.265324659172842e-05,53.0,-204.5811356512364
-216.78365413,141312,10,69,65.49,14032,,,,,,,,,,,,,
-208.86275547000005,143360,10,70,66.67,14238,690,371.4809066772461,0.0,0.5445374250411987,0.0007397775,177.99044799804688,0.2,-1.6219506442546845,0.31268978118896484,0.00029152127999999995,-0.001115702035240318,,
-207.17014886,145408,10,71,71.78,14457,700,371.9235580444336,0.0,0.5445748567581177,0.0001313177,188.26715087890625,0.2,-1.622344172000885,0.38685929775238037,0.0002913984,-0.0002517117141815239,,
-190.45951693999996,147456,10,72,71.36,14672,710,156.9743553161621,0.0,0.5446300506591797,0.00068175554,72.1117172241211,0.2,-1.6224413573741914,0.48343199491500854,0.00029127551999999995,-0.0005177177796485966,,
-207.04388571000004,149504,10,73,77.47,14892,720,120.70773735046387,0.0,0.5446887612342834,0.0006055619,51.91590881347656,0.2,-1.6227055609226226,0.4696251153945923,0.00029115263999999997,-0.0008225118291738887,,
-198.96450732000002,151552,10,74,76.57,15086,730,278.6579444885254,0.0,0.5446724891662598,4.3847926e-05,146.89993286132812,0.2,-1.6227868020534515,0.2320399284362793,0.00029102976,-2.5003189921335434e-05,,
-224.19761817999995,153600,10,75,79.28,15280,740,156.16264419555665,0.0,0.5446915626525879,0.00014718465,79.54877471923828,0.2,-1.6227263033390045,0.6293233335018158,0.00029090687999999996,-0.00017679301851796224,,
-250.72106136999994,155648,10,76,84.61,15485,750,336.5307357788086,0.0,0.5447742938995361,6.066308e-05,158.71099853515625,0.2,-1.6229484975337982,0.5909987986087799,0.000290784,-0.00011477264654793373,,
-266.18735421,157696,10,77,83.1,15713,760,330.80635223388674,0.0,0.5449272394180298,1.9149924e-05,170.51551818847656,0.2,-1.6233148634433747,0.4787667393684387,0.00029066111999999996,-8.12335001023623e-05,,
-267.80729436999997,159744,10,78,85.92,15905,770,285.9526672363281,0.0,0.5450870990753174,0.00012852352,139.3930206298828,0.2,-1.6239791691303254,0.32576239109039307,0.00029053824,-0.0001536302657541455,,
,160000,,,,,780,223.2413642883301,0.0,0.5451709628105164,0.00042221224,102.04888916015625,0.2,-1.6244363009929657,0.4664997458457947,0.00029041536,-0.0003793693714761126,69.2,-82.79036335310374
-242.88787518,161792,10,79,83.42,16143,,,,,,,,,,,,,
-221.34175664999998,163840,10,80,80.04,16359,790,151.02214660644532,0.0,0.5452510118484497,8.0604776e-05,80.62572479248047,0.2,-1.6246781766414642,0.5149134993553162,0.00029029247999999997,-8.72244170216252e-05,,
-192.93700472000003,165888,10,81,81.8,16583,800,272.0712066650391,0.0,0.5453665852546692,9.000431e-05,142.77435302734375,0.2,-1.6250400781631469,0.3201196789741516,0.0002901696,-0.0001455487424300461,,
-200.85310209000002,167936,9,82,78.57,16802,810,246.18056030273436,0.0,0.5455099940299988,7.57954e-05,130.1392059326172,0.2,-1.6255230486392975,0.3430638313293457,0.00029004671999999996,-9.923530389643886e-05,,
-189.96340883000002,169984,9,83,71.91,17044,820,286.97119293212893,0.0,0.5455749034881592,0.00016016203,124.9730453491211,0.2,-1.625959312915802,0.22010070085525513,0.00028992384,-0.00015245956832359296,,
-214.67431642999998,172032,9,84,76.06,17246,830,82.15516586303711,0.0,0.5455995798110962,0.00021171333,38.209686279296875,0.2,-1.6260789275169372,0.44918400049209595,0.00028980095999999996,-0.00021862444667926085,,
-234.10921587,174080,9,85,76.15,17440,840,310.7191192626953,0.0,0.5456432700157166,0.00012141181,147.3028106689453,0.2,-1.6262174546718597,0.5990482866764069,0.00028967808,-0.0003031460637249239,,
-240.94700287,176128,9,86,79.27,17630,850,287.03724517822263,0.0,0.5457208752632141,0.00023061849,147.28526306152344,0.2,-1.6264122009277344,0.62437903881073,0.0002895552,-0.00032670708311126616,,
-237.45745343000007,178176,9,87,81.23,17823,860,290.39208221435547,0.0,0.5457744002342224,0.00014159364,138.20828247070312,0.2,-1.626679039001465,0.5469171404838562,0.00028943231999999997,-7.20430759611368e-05,,
,180000,,,,,870,124.61610412597656,0.0,0.5458829402923584,0.0012086201,59.05633544921875,0.2,-1.6269055962562562,0.48843568563461304,0.00028930944,-0.0009763755529093032,43.4,-31.907997074232878
-209.15339062999996,180224,9,88,73.34,18073,,,,,,,,,,,,,
-186.57343065999999,182272,9,89,68.95,18267,880,386.88367767333983,0.0002343750064028427,0.5460085868835449,0.0012430411,175.03370666503906,0.2,-1.6274299323558807,0.4399823546409607,0.00028918655999999996,-0.0006421265016252065,,
-194.77947271000002,184320,9,90,72.05,18478,890,196.59283752441405,0.0,0.5460562705993652,5.973666e-05,94.9375228881836,0.2,-1.6277316808700562,0.5433763861656189,0.00028906368,-0.00010046175288151993,,
-201.51633341000002,186368,9,91,75.14,18678,900,144.80530548095703,0.0,0.5461078882217407,7.089154e-05,77.10160827636719,0.2,-1.6278958201408387,0.6168637871742249,0.00028894079999999996,-0.00017060275002447333,,
-233.28278348000003,188416,9,92,77.34,18896,910,228.80370635986327,0.0,0.5461465120315552,0.00044697712,103.95166778564453,0.2,-1.6280611157417297,0.41883736848831177,0.00028881792,-0.000581619154017976,,
-226.26883397999998,190464,9,93,80.29,19089,920,391.3763824462891,0.0,0.5461780428886414,0.00026242755,194.99864196777344,0.2,-1.628210687637329,0.3523677587509155,0.00028869503999999995,0.000940294573083511,,
-248.51274956000006,192512,9,94,78.47,19307,930,159.3656967163086,0.0,0.5461962223052979,0.00016989771,74.34220886230469,0.2,-1.628285253047943,0.6058295667171478,0.00028857215999999997,-0.00028889556630025127,,
-291.77379873999996,194560,9,95,79.08,19513,940,245.53741455078125,0.0,0.5461676716804504,0.0014835605,116.73970794677734,0.2,-1.6282850861549378,0.6363301873207092,0.00028844927999999994,-0.0004636790667428059,,
-297.19117459,196608,9,96,84.79,19711,950,387.54784088134767,0.0001953125,0.5461361408233643,0.0019599304,193.5053253173828,0.2,-1.628167587518692,0.45258939266204834,0.00028832639999999996,-0.0010168516428348262,,
-347.26407492,198656,9,97,90.48,19921,960,249.4747802734375,0.0,0.5461080074310303,0.00065213017,120.34868621826172,0.2,-1.6280398786067962,0.4565349221229553,0.00028820352,-0.00025560505609973917,,
,200000,,,,,970,379.00677490234375,0.0,0.5461497902870178,1.0366381e-05,181.44825744628906,0.2,-1.628044354915619,0.4452162981033325,0.00028808064,-2.4492492609629048e-05,93.0,-546.330289008841
-405.75529592000004,200704,9,98,99.04,20187,,,,,,,,,,,,,
-417.47456407000004,202752,9,99,104.22,20387,980,322.3885131835938,0.0,0.5462225079536438,0.0006434299,153.19931030273438,0.2,-1.628273457288742,0.19590967893600464,0.00028795776,-0.0007573994630951208,,
-413.91823829000003,204800,9,100,107.13,20610,990,256.2310417175293,0.004166666758828796,0.5462923049926758,0.003939631,114.3023452758789,0.2,-1.628535759449005,0.6046302318572998,0.00028783488,-0.0019268842621386283,,
-443.63260976000015,206848,9,101,114.22,20833,1000,378.2426467895508,0.0023437500436557456,0.5462895631790161,0.0032863526,175.7821044921875,0.2,-1.6286998808383941,0.5122920274734497,0.00028771199999999997,-0.0016886075632646768,,
-390.27704530999995,208896,9,102,108.47,21070,1010,210.28331832885743,0.03826823083800264,0.5462486743927002,0.010416836,100.18217468261719,0.2,-1.6285846889019013,0.4255250096321106,0.00028758912,-0.005296000145026491,,
-258.34144798,210944,9,103,89.5,21277,1020,263.27712631225586,0.10894531506928615,0.5462244153022766,0.015650447,137.8958282470703,0.2,-1.6284811437129973,0.5129722356796265,0.00028746623999999996,-0.010117823253385705,,
-111.28587792999997,212992,9,104,58.11,21497,1030,260.3346405029297,0.053151042654644695,0.5461871027946472,0.014624616,126.09842681884766,0.2,-1.628365558385849,0.16925638914108276,0.00028734336,-0.009107288716477346,,
-36.99331766,215040,9,105,38.32,21732,1040,168.96142501831054,0.12305989814922214,0.546022891998291,0.0064063016,70.47500610351562,0.2,-1.6280234634876252,0.19438695907592773,0.00028722047999999996,-0.00690929309464991,,
-38.03636899,217088,9,106,35.35,21974,1050,86.07605209350587,0.08611979316920042,0.5459619164466858,0.008400304,39.88091278076172,0.2,-1.627583956718445,0.07809007167816162,0.0002870976,-0.0067057108791777845,,
-32.34818437,219136,9,107,29.11,22237,1060,106.40984878540038,0.03852864677319303,0.5454102754592896,0.0052724127,47.50959396362305,0.2,-1.6267722845077515,-0.4314502477645874,0.00028697472,-0.0029472710538538836,,
,220000,,,,,1070,61.513656044006346,0.1306380250491202,0.5445969700813293,0.015237728,26.683801651000977,0.2,-1.6241320848464966,0.021532177925109863,0.00028685183999999997,-0.006269949827110421,73.4,-0.689495334867388
-19.23818533,221184,9,108,29.55,22537,,,,,,,,,,,,,
-10.47616494,223232,9,109,26.9,22800,1080,56.28452072143555,0.014531250568688847,0.5438792109489441,0.0014362747,23.434829711914062,0.2,-1.6212294816970825,-0.029451608657836914,0.00028672896,-0.0017441314299139643,,
-17.93986375,225280,9,110,27.59,23056,1090,40.46758670806885,0.04709635516337585,0.5438040494918823,0.0029274677,19.94069480895996,0.2,-1.6191959738731385,0.10214889049530029,0.00028660607999999996,-0.0029396226740209474,,
-17.613861560000004,227328,9,111,27.13,23346,1100,54.642424774169925,0.04527343860827386,0.5439172983169556,0.010495348,27.839691162109375,0.2,-1.6199208974838257,0.0642656683921814,0.0002864832,-0.0039565697906073,,
-11.821935870000003,229376,9,112,27.14,23599,1110,58.66538848876953,0.04660156391619239,0.54365074634552,0.005384908,27.641199111938477,0.2,-1.619472724199295,0.12196993827819824,0.00028636031999999996,-0.003031296309991377,,
-16.794420690000003,231424,9,113,27.38,23851,1120,65.7624116897583,0.015572916940436698,0.5433925986289978,0.00047958968,27.75130844116211,0.2,-1.6183858275413514,0.29723238945007324,0.00028623744,-0.001097117262797842,,
-16.911546159999997,233472,9,114,26.64,24111,1130,35.47695379257202,0.05160156351048499,0.5428345203399658,0.0068071494,16.831714630126953,0.2,-1.6170494258403778,0.19187277555465698,0.00028611455999999995,-0.004458276185869181,,
-20.7178325,235520,9,115,26.2,24361,1140,47.903642082214354,0.05658854334615171,0.5421941876411438,0.004839219,19.597402572631836,0.2,-1.6146228671073914,0.26197248697280884,0.00028599168,-0.0042575342769850975,,
-22.50371634,237568,9,116,26.54,24613,1150,57.53580112457276,0.022213542187819256,0.5425761938095093,0.002227371,26.567737579345703,0.2,-1.6135956525802613,0.4326903820037842,0.00028586879999999994,-0.003978712173411636,,
-17.358872489999996,239616,9,117,24.73,24871,1160,46.46917991638183,0.0711588554782793,0.5425511598587036,0.017594036,22.048067092895508,0.2,-1.6154259085655212,0.2019023895263672,0.00028574591999999997,-0.000722249633690808,,
,240000,,,,,1170,36.864801216125485,0.08475260563427582,0.5419775247573853,0.00312808,19.393230438232422,0.2,-1.6137512147426605,0.2009921669960022,0.00028562303999999993,-0.004902909315424031,20.6,-15.874319202639162
-16.868716319999997,241664,9,118,22.45,25154,,,,,,,,,,,,,
-12.24919823,243712,9,119,23.84,25387,1180,35.72413854598999,0.08054687604308128,0.5414288640022278,0.005896874,18.337646484375,0.2,-1.6117473781108855,0.22410619258880615,0.00028550016,-0.0048416531208204105,,
-10.866680350000001,245760,9,120,26.38,25651,1190,20.277663135528563,0.1671354205114767,0.5402466058731079,0.019731466,9.292007446289062,0.2,-1.6087730348110199,0.2957795262336731,0.00028537728,-0.005319385568145663,,
-7.706077780000002,247808,9,121,28.61,25889,1200,39.519350624084474,0.08240885621635244,0.5393650531768799,0.008565415,18.607582092285156,0.2,-1.6044236242771148,0.2612125873565674,0.0002852544,-0.006054623504169276,,
-20.802664809999996,249856,9,122,29.45,26146,1210,30.17653121948242,0.06071614756365307,0.538452684879303,0.008464903,13.685230255126953,0.2,-1.6016532719135284,0.2752474546432495,0.00028513152,-0.004970664113643597,,
-14.472571789999996,251904,9,123,31.09,26392,1220,39.13055839538574,0.03576822993927635,0.5373651385307312,0.0067073824,18.02699089050293,0.2,-1.5979566156864167,0.22787398099899292,0.00028500864,-0.0037191136353794674,,
-7.0277375200000005,253952,9,124,35.07,26626,1230,32.73499927520752,0.06717448093695566,0.5362135767936707,0.009866732,15.735250473022461,0.2,-1.5935943186283112,0.2346014380455017,0.00028488575999999997,-0.006727381433156587,,
