rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/value_loss,train/clip_fraction,train/std,train/approx_kl,train/loss,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
-189.34731941176472,2048,9,1,57.3235294117647,212,,,,,,,,,,,,,
-160.29781325,4096,10,2,64.0,406,10,472.4664993286133,0.04205729272216559,0.498685359954834,0.004896581,185.52452087402344,0.2,-1.4419667363166808,-0.0016838312149047852,0.00029987712,-0.003894071015966105,,
-153.6826172043011,6144,10,3,65.91397849462365,603,20,247.33572998046876,0.03320312602445483,0.5018367767333984,0.0033733256,123.82728576660156,0.2,-1.4520534932613374,-0.0012534856796264648,0.00029975423999999997,-0.0025992990986559938,,
-136.63539473,8192,10,4,67.0,812,30,267.5574378967285,0.01621093795984052,0.5042915940284729,0.002618175,134.5148162841797,0.2,-1.4640395104885102,0.00018036365509033203,0.00029963136,-0.0009949206591227278,,
-137.12932078999998,10240,10,5,70.34,984,40,373.4365707397461,0.015807291911914944,0.5063062310218811,0.001371288,180.87399291992188,0.2,-1.4725294053554534,5.364418029785156e-05,0.00029950847999999996,-0.0009947775121327052,,
-152.15572668000001,12288,10,6,71.66,1174,50,286.90039978027346,0.03019531335448846,0.5082762241363525,0.0047803996,135.88751220703125,0.2,-1.4803476810455323,8.887052536010742e-05,0.0002993856,-0.0017617303767474724,,
-210.07349725,14336,10,7,76.29,1379,60,341.96097564697266,0.025507812984869815,0.510077953338623,0.0030762875,178.45912170410156,0.2,-1.4879507422447205,-6.61611557006836e-05,0.00029926272,-0.002087107295519708,,
-241.87462024999996,16384,10,8,77.87,1596,70,613.3807647705078,0.000846354171517305,0.5114713907241821,0.0020433795,295.56378173828125,0.2,-1.494218075275421,3.933906555175781e-05,0.00029913984,-0.0005402668516398812,,
-216.00743516000006,18432,10,9,72.56,1787,80,332.7624786376953,0.009192708591581323,0.5129855871200562,0.0039116,172.84194946289062,0.2,-1.4997270584106446,3.30805778503418e-05,0.00029901696,-0.0008565136059769607,,
,20000,,,,,90,237.17819061279297,0.04848958419170231,0.5180851221084595,0.0046499353,119.70743560791016,0.2,-1.5119195699691772,-1.1324882507324219e-05,0.00029889407999999997,-0.0014740925995829323,52.4,-141.77608974946787
-169.38657435999997,20480,10,10,69.14,2026,,,,,,,,,,,,,
-139.81062896999998,22528,10,11,68.62,2207,100,204.3914321899414,0.055156251444714144,0.5205691456794739,0.0011037211,99.7037353515625,0.2,-1.5282096683979034,0.0002351999282836914,0.0002987712,0.002354953601097809,,
-125.46894534,24576,10,12,70.87,2404,110,206.66907958984376,0.020442708575865255,0.5219628810882568,0.002269607,103.5961685180664,0.2,-1.5346558213233947,0.0003184080123901367,0.00029864831999999996,-0.0017123811495185048,,
