train/learning_rate,time/fps,train/ent_coef,train/actor_loss,time/time_elapsed,time/episodes,time/total_timesteps,train/n_updates,train/ent_coef_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
0.0001,11,0.07477612048387527,17.387149810791016,2013,584,23270,11584,1.5610597133636475,24.78443145751953,,
0.0001,11,0.07499153912067413,16.802520751953125,2021,588,23358,11628,1.3623610734939575,28.358802795410156,,
0.0001,11,0.07515168190002441,16.452011108398438,2028,592,23435,11667,1.7318607568740845,29.078981399536133,,
0.0001,11,0.07528457790613174,17.17218589782715,2034,596,23491,11695,0.649850070476532,23.456989288330078,,
0.0001,11,0.07546187937259674,16.00841522216797,2048,600,23591,11745,1.3924782276153564,15.498631477355957,,
0.0001,11,0.0755651667714119,14.893908500671387,2054,604,23650,11774,1.5556836128234863,19.01939582824707,,
0.0001,11,0.07575256377458572,15.739127159118652,2062,608,23746,11822,1.6281580924987793,21.544818878173828,,
0.0001,11,0.07592137157917023,13.829261779785156,2073,612,23845,11872,1.1617343425750732,23.104677200317383,,
0.0001,11,0.07610007375478745,16.61956024169922,2081,616,23936,11917,-0.19615918397903442,29.200634002685547,,
0.0001,11,0.07624480128288269,15.19843864440918,2093,620,24063,11981,0.4810132086277008,24.850418090820312,,
0.0001,11,0.07636350393295288,14.335834503173828,2101,624,24152,12025,-0.06880402565002441,21.007553100585938,,
0.0001,11,0.07642579823732376,14.876593589782715,2114,628,24244,12071,0.3854707181453705,19.514358520507812,,
0.0001,11,0.07647333294153214,15.490466117858887,2124,632,24347,12123,0.2285444736480713,19.827430725097656,,
0.0001,11,0.07646378129720688,14.42044734954834,2133,636,24448,12173,0.6659411787986755,23.991252899169922,,
0.0001,11,0.07650070637464523,15.378730773925781,2141,640,24534,12216,0.7808139324188232,23.607845306396484,,
0.0001,11,0.07651424407958984,13.782003402709961,2148,644,24601,12250,0.5867537260055542,21.387584686279297,,
0.0001,11,0.07647570222616196,13.923425674438477,2155,648,24682,12290,-0.9436129927635193,20.80225372314453,,
0.0001,11,0.07631021738052368,14.223649978637695,2169,652,24790,12344,-0.8927052021026611,22.408796310424805,,
0.0001,11,0.07610265165567398,13.743609428405762,2180,656,24915,12407,0.1056402176618576,21.4072265625,,
0.0001,11,0.07608354836702347,14.349894523620605,2187,660,24984,12441,-0.5188709497451782,21.76573944091797,,
0.0001,11,0.07590629905462265,13.743191719055176,2197,664,25108,12503,-1.4077842235565186,24.76525115966797,,
0.0001,11,0.07571248710155487,12.88841438293457,2205,668,25188,12543,-1.2945280075073242,22.932235717773438,,
