train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
0.00035,3,387,13.96,1396,-35.18379876000001,100,4.889301300048828,1295,8.690977096557617,,
0.00035,3,398,13.03,1452,-30.118109219999997,104,5.81710958480835,1351,8.92984390258789,,
0.00035,3,408,13.04,1507,-30.26206901,108,8.241777420043945,1406,8.350236892700195,,
0.00035,3,426,13.41,1608,-32.445431770000006,112,7.740692138671875,1507,9.165868759155273,,
0.00035,3,456,14.72,1788,-37.94860053,116,6.792551040649414,1687,8.692010879516602,,
0.00035,3,472,14.83,1853,-38.5894619,120,8.224985122680664,1752,8.786863327026367,,
0.00035,3,485,14.99,1922,-38.3537163,124,6.839539051055908,1821,8.159782409667969,,
0.00035,4,506,15.8,2052,-41.31543003000001,128,6.172640800476074,1951,8.81123161315918,,
0.00035,4,516,15.83,2103,-41.575121149999994,132,7.614702224731445,2002,7.993300914764404,,
0.00035,4,525,15.68,2155,-41.50872976000001,136,6.9123430252075195,2054,8.265339851379395,,
0.00035,4,536,15.72,2213,-41.07836141,140,6.665411949157715,2112,7.380863189697266,,
0.00035,4,552,15.83,2270,-41.37221985,144,7.694411754608154,2169,8.410314559936523,,
0.00035,4,564,15.9,2335,-41.336927530000004,148,8.95644474029541,2234,8.965208053588867,,
0.00035,4,575,16.04,2393,-41.340242829999994,152,7.017850399017334,2292,7.5239081382751465,,
0.00035,4,588,16.16,2468,-41.162765179999994,156,8.989858627319336,2367,8.734498023986816,,
0.00035,4,599,16.41,2534,-41.61290852,160,9.993657112121582,2433,7.8270368576049805,,
0.00035,4,611,16.58,2597,-41.471404199999995,164,9.003988265991211,2496,8.474748611450195,,
0.00035,4,628,16.78,2668,-41.670648140000004,168,6.979090213775635,2567,6.531259536743164,,
0.00035,4,642,17.1,2749,-42.23710222,172,8.708597183227539,2648,8.025659561157227,,
0.00035,4,654,17.27,2813,-42.7223249,176,7.750784873962402,2712,7.910058498382568,,
0.00035,4,672,17.87,2921,-43.68654334,180,8.423500061035156,2820,7.580893516540527,,
0.00035,4,686,18.24,3008,-44.60985414999999,184,6.228134632110596,2907,7.00665283203125,,
0.00035,4,697,18.29,3064,-44.824814829999994,188,8.698934555053711,2963,7.716090679168701,,
0.00035,4,716,18.64,3145,-45.56070924999999,192,8.539798736572266,3044,7.362182140350342,,
0.00035,4,729,18.76,3213,-45.799973439999995,196,7.573884010314941,3112,7.6938066482543945,,
0.00035,4,740,18.79,3275,-45.676570600000005,200,6.158778190612793,3174,7.70072078704834,,
0.00035,4,750,18.72,3324,-45.77766156,204,8.513721466064453,3223,5.8665771484375,,
0.00035,4,760,18.72,3379,-46.00804872,208,6.00916862487793,3278,6.873069763183594,,
0.00035,4,773,18.4,3448,-43.94178425999999,212,7.750670433044434,3347,6.905527114868164,,
0.00035,4,786,17.34,3522,-38.36234861,216,5.317021369934082,3421,7.279656410217285,,
0.00035,4,820,18.44,3697,-42.51921920000001,220,7.728872299194336,3596,6.463147163391113,,
0.00035,4,835,18.54,3776,-41.6325098,224,7.727577209472656,3675,5.734792709350586,,
0.00035,4,848,17.94,3846,-38.97776953,228,7.452266693115234,3745,6.644042015075684,,
0.00035,4,868,18.62,3965,-38.56210795,232,6.887906074523926,3864,5.863137245178223,,
0.00035,4,887,19.22,4077,-40.13576659,236,5.932201385498047,3976,5.556791305541992,,
0.00035,4,921,20.71,4284,-43.86945016999999,240,7.561845779418945,4183,5.932419776916504,,
0.00035,4,968,22.77,4547,-49.77850139,244,6.751781463623047,4446,4.8758544921875,,
0.00035,4,1003,24.2,4755,-53.33454977999999,248,7.509726524353027,4654,6.231048107147217,,
0.00035,4,1062,27.16,5109,-63.523037990000006,252,8.203859329223633,5008,3.457768678665161,,
0.00035,4,1105,28.75,5343,-70.19130233,256,6.015475273132324,5242,2.7671403884887695,,
0.00035,4,1121,28.92,5426,-69.42829827999999,260,8.816871643066406,5325,3.1550207138061523,,
0.00035,4,1150,29.9,5587,-68.57907658,264,7.626913547515869,5486,3.2492284774780273,,
