train/ent_coef,time/total_timesteps,time/episodes,train/learning_rate,train/ent_coef_loss,train/critic_loss,time/fps,time/time_elapsed,train/actor_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
0.09924145042896271,256,4,0.0001,-7.742801666259766,17.51018714904785,11,22,0.5508868098258972,77,,
0.09804003685712814,501,8,0.0001,-7.653254508972168,4.558427810668945,12,39,4.177573204040527,200,,
0.09643272310495377,841,12,0.0001,-7.540079593658447,2.802000045776367,12,68,4.779763221740723,370,,
0.0942867249250412,1297,16,0.0001,-7.128676891326904,1.9066261053085327,12,105,5.641453742980957,598,,
0.09256596863269806,1674,20,0.0001,-7.450927257537842,1.9394659996032715,12,133,6.006566047668457,786,,
0.09147012233734131,1920,24,0.0001,-7.027828693389893,2.8935790061950684,12,149,6.619453430175781,909,,
0.08957522362470627,2356,28,0.0001,-7.4642415046691895,3.437368392944336,12,189,7.843544960021973,1127,,
0.08669334650039673,3032,32,0.0001,-7.299371719360352,3.503594398498535,12,235,9.623250961303711,1465,,
0.08499614149332047,3438,36,0.0001,-6.788273334503174,3.52231502532959,12,267,10.757946014404297,1668,,
0.08271343261003494,4004,40,0.0001,-7.209016799926758,3.9593706130981445,12,313,12.426493644714355,1951,,
0.08140774816274643,4338,44,0.0001,-7.552434921264648,5.76371955871582,12,337,13.5725679397583,2118,,
0.08045055717229843,4585,48,0.0001,-7.233407020568848,3.162003755569458,12,354,14.220102310180664,2242,,
0.07811066508293152,5240,52,0.0001,-5.959071636199951,5.75684928894043,12,406,15.972452163696289,2569,,
0.07572575658559799,5967,56,0.0001,-6.151806831359863,2.6543049812316895,12,485,17.069499969482422,2933,,
0.0742030143737793,6436,60,0.0001,-5.6859822273254395,3.6383159160614014,12,525,18.799232482910156,3167,,
0.07330983877182007,6709,64,0.0001,-5.7777299880981445,4.624863624572754,12,549,18.815406799316406,3304,,
0.07243431359529495,6985,68,0.0001,-5.366100311279297,5.697292327880859,12,575,19.442760467529297,3442,,
0.07198172062635422,7133,72,0.0001,-5.222661972045898,11.480270385742188,12,588,19.8499698638916,3516,,
0.06899487972259521,8159,76,0.0001,-5.0967607498168945,5.408700942993164,12,666,21.819019317626953,4029,,
0.06829625368118286,8411,80,0.0001,-4.715867519378662,6.062459468841553,12,687,22.743982315063477,4155,,
0.06687813997268677,8954,84,0.0001,-4.668243885040283,4.856505870819092,12,729,24.003761291503906,4426,,
0.06546293199062347,9520,88,0.0001,-3.3755080699920654,4.402471542358398,12,764,24.243925094604492,4709,,
0.06402824819087982,10120,92,0.0001,-2.8266162872314453,4.264469146728516,12,804,25.09380531311035,5009,,
0.06278055906295776,10665,96,0.0001,-3.72607421875,12.778024673461914,12,839,25.879352569580078,5282,,
0.061843425035476685,11098,100,0.0001,-3.587693691253662,18.0582275390625,12,890,25.650754928588867,5498,,
0.0613899901509285,11326,104,0.0001,-3.184018135070801,16.15167236328125,12,917,25.45688247680664,5612,,
0.06106738746166229,11499,108,0.0001,-2.177154064178467,16.31396484375,12,941,26.320180892944336,5699,,
0.06095196679234505,11572,112,0.0001,-2.7272377014160156,19.253280639648438,12,952,26.635244369506836,5735,,
0.06041596829891205,11888,116,0.0001,-1.8844650983810425,7.59420108795166,12,978,25.99658203125,5893,,
0.060190871357917786,12031,120,0.0001,-2.476642370223999,11.518525123596191,12,991,26.319007873535156,5965,,
0.060035258531570435,12140,124,0.0001,-1.55227530002594,17.5594425201416,12,1003,26.206375122070312,6019,,
0.059883493930101395,12261,128,0.0001,-1.8534058332443237,10.053974151611328,12,1018,26.532459259033203,6080,,
0.059779975563287735,12358,132,0.0001,-1.3570772409439087,14.290404319763184,12,1026,26.592103958129883,6128,,
0.05967135354876518,12467,136,0.0001,-1.64894437789917,4.893572807312012,12,1035,26.715845108032227,6183,,
0.05954131856560707,12616,140,0.0001,-0.3424932360649109,12.682058334350586,12,1046,26.100051879882812,6257,,
0.059511177241802216,12681,144,0.0001,-1.2964884042739868,12.649725914001465,12,1052,25.828399658203125,6290,,
0.05937352403998375,12983,148,0.0001,0.9579958915710449,12.209080696105957,11,1086,26.545116424560547,6441,,
0.05934806168079376,13068,152,0.0001,-0.808996856212616,15.063626289367676,11,1102,25.377094268798828,6483,,
0.05935860425233841,13136,156,0.0001,-0.03905762732028961,14.474322319030762,11,1112,25.68610954284668,6517,,
0.059356722980737686,13213,160,0.0001,-1.1981552839279175,10.991279602050781,11,1122,26.157197952270508,6556,,
0.05937070772051811,13334,164,0.0001,1.0920820236206055,21.795455932617188,11,1138,24.576406478881836,6616,,
0.05943262204527855,13433,168,0.0001,1.4164568185806274,15.688505172729492,11,1151,25.627059936523438,6666,,
0.05948292091488838,13515,172,0.0001,0.4937286376953125,9.713811874389648,11,1161,25.773927688598633,6707,,
0.05958491563796997,13622,176,0.0001,0.25873708724975586,13.351325035095215,11,1178,25.64482879638672,6760,,
0.05966707319021225,13706,180,0.0001,0.07918240129947662,12.846908569335938,11,1187,26.037269592285156,6802,,
0.05972042679786682,13763,184,0.0001,1.0699604749679565,8.595161437988281,11,1193,26.385604858398438,6831,,
0.0598050095140934,13859,188,0.0001,3.51517915725708,14.327412605285645,11,1201,24.30874252319336,6879,,
0.05997311323881149,13970,192,0.0001,0.8550235629081726,21.13580322265625,11,1210,25.590072631835938,6934,,
0.06018586456775665,14093,196,0.0001,0.9187749624252319,16.501502990722656,11,1218,24.617034912109375,6996,,
0.060328856110572815,14182,200,0.0001,1.775464653968811,16.095170974731445,11,1231,24.392864227294922,7040,,
