train/actor_loss,rollout/ep_rew_mean,train/critic_loss,time/time_elapsed,time/total_timesteps,train/n_updates,time/fps,train/learning_rate,rollout/ep_len_mean,time/episodes,eval/mean_reward,eval/mean_ep_length
-7.673838138580322,-65.24413808,11.379871368408203,676,7573,7472,11,0.00035,60.53,156,,
-9.899696350097656,-64.32223832999999,11.0972261428833,721,8163,8062,11,0.00035,65.42,160,,
-10.435749053955078,-61.33077832000001,8.361700057983398,761,8627,8526,11,0.00035,68.98,164,,
-8.28653335571289,-61.19658036000001,8.801809310913086,805,9217,9116,11,0.00035,73.94,168,,
-10.245949745178223,-51.165657900000014,9.739665985107422,862,9927,9826,11,0.00035,80.02,172,,
-10.537210464477539,-49.63396839000001,9.476491928100586,930,10625,10524,11,0.00035,85.89,176,,
-11.855195999145508,-48.998547849999994,11.405216217041016,960,11014,10913,11,0.00035,87.9,180,,
-11.178157806396484,-55.37557768,8.678825378417969,1017,11690,11589,11,0.00035,92.49,184,,
-12.57099437713623,-51.01514955999999,12.573026657104492,1030,11836,11735,11,0.00035,91.87,188,,
-11.270671844482422,-47.114749599999996,8.789871215820312,1045,12036,11935,11,0.00035,93.08,192,,
-11.280256271362305,-42.140738899999995,12.134788513183594,1062,12248,12147,11,0.00035,90.14,196,,
-10.840921401977539,-41.577400729999994,8.326841354370117,1106,12729,12628,11,0.00035,92.48,200,,
-10.600333213806152,-28.69444996,9.756269454956055,1156,13345,13244,11,0.00035,94.33,204,,
-12.828051567077637,-23.42461189,11.324004173278809,1186,13730,13629,11,0.00035,94.78,208,,
-12.334236145019531,-24.097276059999995,7.620677947998047,1221,14199,14098,11,0.00035,97.58,212,,
-11.001158714294434,-22.727738929999997,14.07837200164795,1249,14559,14458,11,0.00035,100.28,216,,
-12.814737319946289,-22.89772522,12.65946102142334,1264,14726,14625,11,0.00035,100.65,220,,
-11.020242691040039,-23.89272865,9.226049423217773,1294,15110,15009,11,0.00035,102.95,224,,
-11.20219612121582,-14.933834980000002,6.856513023376465,1326,15445,15344,11,0.00035,103.13,228,,
-12.204813003540039,-19.91775438,9.850568771362305,1380,16165,16064,11,0.00035,107.21,232,,
-12.150290489196777,-17.98087228,7.444280624389648,1400,16417,16316,11,0.00035,108.0,236,,
-12.678021430969238,-11.231325159999999,8.064465522766113,1448,17007,16906,11,0.00035,112.74,240,,
-12.835731506347656,-11.496935170000002,9.848038673400879,1462,17183,17082,11,0.00035,109.76,244,,
-12.89834976196289,-8.00407778,8.500041007995605,1490,17508,17407,11,0.00035,110.36,248,,
-14.213214874267578,6.369808660000003,10.583688735961914,1554,18237,18136,11,0.00035,113.01,252,,
-13.04320240020752,13.430959549999995,13.546579360961914,1573,18458,18357,11,0.00035,108.85,256,,
-14.384943008422852,17.43312037999999,7.307326793670654,1623,19158,19057,11,0.00035,109.95,260,,
-10.925182342529297,15.805748499999995,9.993693351745605,1643,19376,19275,11,0.00035,107.49,264,,
-14.966230392456055,16.738391959999998,5.811758518218994,1700,20090,19989,11,0.00035,108.73,268,,
-13.099544525146484,11.096747950000001,8.175024032592773,1736,20511,20410,11,0.00035,105.84,272,,
-12.773576736450195,12.555029589999997,11.414961814880371,1774,20864,20763,11,0.00035,102.39,276,,
-14.996146202087402,15.206214709999994,7.440631866455078,1803,21246,21145,11,0.00035,102.32,280,,
-13.796274185180664,20.05958319999999,8.179115295410156,1867,22066,21965,11,0.00035,103.76,284,,
-13.362421989440918,11.414003939999994,7.484763145446777,1913,22633,22532,11,0.00035,107.97,288,,
-15.065948486328125,24.018176349999994,7.046457290649414,2016,23951,23850,11,0.00035,119.15,292,,
-15.14773941040039,24.086782679999995,5.240756034851074,2128,25352,25251,11,0.00035,131.04,296,,
-14.143718719482422,28.226420989999998,8.00234317779541,2162,25744,25643,11,0.00035,130.15,300,,
-14.97935676574707,36.75299983,8.978833198547363,2264,27077,26976,11,0.00035,137.32,304,,
-14.471640586853027,49.02908031,9.546918869018555,2310,27677,27576,11,0.00035,139.47,308,,
-14.81100082397461,47.359306190000005,5.741568565368652,2345,28132,28031,11,0.00035,139.33,312,,
-16.43465805053711,49.83147949999999,10.822750091552734,2397,28780,28679,12,0.00035,142.21,316,,
-15.836957931518555,55.73746468,8.112306594848633,2450,29453,29352,12,0.00035,147.27,320,,
-15.621064186096191,64.03720442,7.2881975173950195,2571,30925,30824,12,0.00035,158.15,324,,
-14.911043167114258,76.13375654000001,5.080704212188721,2731,32805,32704,12,0.00035,173.6,328,,
-15.363659858703613,86.85321209,7.038140296936035,2828,34088,33987,12,0.00035,179.23,332,,
