train/n_updates,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length
14774,272,4350,3,-38.49026537,0.00035,109.48,14875,6.502801895141602,-6.804348945617676,,
16175,276,4614,3,-27.418142980000002,0.00035,122.27,16276,6.861018657684326,-7.957304000854492,,
16577,280,4693,3,-25.843190029999995,0.00035,125.22,16678,7.421846866607666,-7.919720649719238,,
18419,284,5021,3,-2.1743523799999975,0.00035,142.5,18520,4.0436577796936035,-7.922651290893555,,
20776,288,5412,3,28.831762330000007,0.00035,164.72,20877,3.4906322956085205,-13.571660995483398,,
22919,292,5752,4,40.08478757000001,0.00035,184.87,23020,5.035608768463135,-11.48486042022705,,
25789,296,6212,4,75.71265362,0.00035,212.27,25890,4.641929626464844,-9.602648735046387,,
28130,300,6593,4,103.04208788,0.00035,233.77,28231,3.495450258255005,-13.13614559173584,,
30448,304,6989,4,150.34310407,0.00035,254.16,30549,3.8382270336151123,-13.667306900024414,,
31868,308,7219,4,168.32018216999998,0.00035,266.18,31969,2.794062614440918,-13.690112113952637,,
34621,312,7689,4,208.59350268999998,0.00035,292.22,34722,6.351980209350586,-14.601935386657715,,
37528,316,8212,4,243.92271215999997,0.00035,318.13,37629,6.74259090423584,-13.959882736206055,,
39823,320,8630,4,277.55652907,0.00035,337.81,39924,3.8814916610717773,-15.106807708740234,,
42314,324,9068,4,304.72348495,0.00035,359.85,42415,6.402176380157471,-15.073848724365234,,
44571,328,9455,4,333.50426637,0.00035,379.93,44672,5.1146392822265625,-15.77206802368164,,
46261,332,9764,4,362.85087878999997,0.00035,393.32,46362,5.962194442749023,-14.822725296020508,,
48452,336,10159,4,402.15954125999997,0.00035,411.91,48553,5.054763317108154,-16.098834991455078,,
51271,340,10626,4,451.03326903999994,0.00035,435.64,51372,2.5399889945983887,-18.038469314575195,,
55271,344,11287,4,539.14008554,0.00035,471.04,55372,2.5901870727539062,-17.603389739990234,,
57923,348,11722,4,584.01912207,0.00035,492.08,58024,3.7203750610351562,-18.10763931274414,,
60358,352,12112,4,636.6300721399999,0.00035,510.36,60459,3.7814595699310303,-18.489212036132812,,
63607,356,12652,5,697.2009236499999,0.00035,536.02,63708,4.375120162963867,-19.10150146484375,,
66714,360,13168,5,760.68646864,0.00035,560.84,66815,2.7692317962646484,-19.180042266845703,,
69635,364,13675,5,803.7744324199999,0.00035,579.94,69736,4.128094673156738,-18.53042221069336,,
72362,368,14151,5,842.3096049899999,0.00035,590.73,72463,2.5118980407714844,-19.576290130615234,,
74643,372,14554,5,876.8396688800001,0.00035,598.69,74744,5.431363105773926,-19.866863250732422,,
77892,376,15121,5,916.342144,0.00035,617.17,77993,3.399784564971924,-20.72207260131836,,
80650,380,15602,5,961.34515319,0.00035,640.73,80751,2.256995439529419,-19.06020736694336,,
81605,384,15772,5,951.5998602800001,0.00035,631.86,81706,1.949112892150879,-18.167495727539062,,
84709,388,16330,5,974.9747377800002,0.00035,639.33,84810,1.8196659088134766,-19.552959442138672,,
88709,392,17003,5,1045.98273765,0.00035,657.9,88810,2.261018991470337,-21.175090789794922,,
92709,396,17663,5,1106.428439,0.00035,669.2,92810,4.236448287963867,-20.578739166259766,,
95842,400,18196,5,1159.2891743000002,0.00035,677.12,95943,2.898972511291504,-19.310222625732422,,
98073,404,18558,5,1173.32833363,0.00035,676.25,98174,2.2497801780700684,-21.924755096435547,,
99899,,,,,0.00035,,100000,7.208972454071045,-22.755268096923828,1980.7167729999996,831.6
102006,408,19938,5,1242.7036634800002,0.00035,701.38,102107,2.289283037185669,-23.471702575683594,,
104400,412,20361,5,1251.79692478,0.00035,697.79,104501,2.071629285812378,-20.79618263244629,,
107246,416,20868,5,1283.2243348999998,0.00035,697.18,107347,1.8110791444778442,-24.5814208984375,,
109790,420,21309,5,1305.98895494,0.00035,699.67,109891,2.4377169609069824,-23.00162124633789,,
113026,424,21906,5,1342.25302945,0.00035,707.12,113127,3.2372894287109375,-24.003780364990234,,
116914,428,22557,5,1401.0687937500002,0.00035,723.43,117015,0.9869043231010437,-25.10047149658203,,
119202,432,22948,5,1428.111462,0.00035,729.41,119303,1.6978561878204346,-25.149429321289062,,
122207,436,23478,5,1450.0068108900002,0.00035,737.55,122308,2.413306474685669,-24.589515686035156,,
124448,440,23857,5,1447.8131302200002,0.00035,731.77,124549,1.4926602840423584,-26.53885269165039,,
127638,444,24414,5,1424.2207579399997,0.00035,723.67,127739,1.6896557807922363,-27.0023193359375,,
131638,448,25087,5,1474.09917812,0.00035,737.15,131739,5.822546005249023,-25.321693420410156,,
133932,452,25500,5,1468.5114330099998,0.00035,735.74,134033,1.7333343029022217,-26.378177642822266,,
137222,456,26086,5,1486.5444793000001,0.00035,736.15,137323,2.997244119644165,-26.423431396484375,,
141222,460,26756,5,1538.16495254,0.00035,745.08,141323,1.7078064680099487,-27.18108367919922,,
144268,464,27258,5,1571.7255623299998,0.00035,746.33,144369,1.4248251914978027,-26.884151458740234,,
148268,468,27901,5,1639.4197607799997,0.00035,759.06,148369,1.7316566705703735,-27.187320709228516,,
151067,472,28363,5,1671.6766629300002,0.00035,764.24,151168,5.3315558433532715,-27.52412223815918,,
154205,476,28879,5,1704.3539616599999,0.00035,763.13,154306,2.145927906036377,-27.46333885192871,,
158205,480,29530,5,1775.3590936299997,0.00035,775.55,158306,4.3429694175720215,-27.947532653808594,,
161254,484,30093,5,1832.9722281900001,0.00035,796.49,161355,2.106760263442993,-27.434362411499023,,
164277,488,30672,5,1849.9415086400002,0.00035,795.68,164378,1.7066084146499634,-29.185169219970703,,
166859,492,31165,5,1824.85173064,0.00035,781.5,166960,1.46404230594635,-27.680980682373047,,
169882,496,31727,5,1795.7814649000002,0.00035,771.73,169983,0.8171811103820801,-28.265487670898438,,
172167,500,32170,5,1770.7340191900003,0.00035,763.25,172268,1.2769007682800293,-27.15052032470703,,
173952,504,32510,5,1752.27567935,0.00035,758.79,174053,1.5919506549835205,-29.518314361572266,,
176513,508,32970,5,1727.91890633,0.00035,745.07,176614,1.5902824401855469,-27.886314392089844,,
180513,512,33663,5,1778.15516852,0.00035,761.13,180614,1.7720551490783691,-27.18381118774414,,
182996,516,34109,5,1773.1672233900003,0.00035,757.5,183097,0.7792602777481079,-29.228713989257812,,
186998,520,34800,5,1819.8188185700003,0.00035,772.08,187099,4.476122856140137,-27.385894775390625,,
190087,524,35313,5,1835.79085205,0.00035,770.61,190188,1.312273621559143,-28.474327087402344,,
192399,528,35711,5,1802.6455188900002,0.00035,754.85,192500,1.0926532745361328,-27.791879653930664,,
195190,532,36193,5,1815.8957943500004,0.00035,759.88,195291,5.276825428009033,-27.873870849609375,,
196731,536,36451,5,1784.81943982,0.00035,745.24,196832,1.043972373008728,-29.75516700744629,,
198475,540,36745,5,1779.7293203299998,0.00035,740.27,198576,0.5892517566680908,-29.486162185668945,,
198553,544,36760,5,1713.65503222,0.00035,709.15,198654,1.3276093006134033,-28.172046661376953,,
199763,548,36976,5,1645.50950735,0.00035,681.25,199864,0.9943782091140747,-27.229183197021484,,
199899,,,,,0.00035,,200000,1.184603214263916,-26.42038917541504,2206.3309642,776.8
201792,552,37963,5,1647.33351329,0.00035,678.6,201893,1.0147960186004639,-28.018817901611328,,
204289,556,38374,5,1629.5103963800002,0.00035,670.67,204390,1.0510519742965698,-27.89665985107422,,
206451,560,38724,5,1580.4680655700004,0.00035,652.29,206552,1.0696760416030884,-28.42220115661621,,
