train/n_updates,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length
172,4,29,9,-308.85311175,0.00035,68.25,273,3.126129627227783,4.336577415466309,,
261,8,37,9,-185.51352475,0.00035,45.25,362,3.439237117767334,4.242682933807373,,
337,12,44,9,-138.37222141666663,0.00035,36.5,438,3.700686454772949,4.847790718078613,,
417,16,53,9,-115.58523593749999,0.00035,32.375,518,3.8163838386535645,5.072823524475098,,
487,20,60,9,-101.44760475,0.00035,29.4,588,3.509343147277832,5.820023059844971,,
562,24,68,9,-91.88550550000001,0.00035,27.625,663,3.057027816772461,6.207521438598633,,
632,28,135,5,-86.0350774642857,0.00035,26.178571428571427,733,2.7041759490966797,6.139029502868652,,
704,32,159,5,-80.85003109374999,0.00035,25.15625,805,3.41994047164917,6.406464576721191,,
828,36,231,4,-83.69218624999999,0.00035,25.805555555555557,929,3.0495452880859375,7.736000061035156,,
915,40,266,3,-81.037216825,0.00035,25.4,1016,4.235371112823486,7.840695381164551,,
993,44,324,3,-78.4326320909091,0.00035,24.863636363636363,1094,5.093742370605469,8.058270454406738,,
1072,48,344,3,-75.61040262499999,0.00035,24.4375,1173,4.167211055755615,7.874809265136719,,
1151,52,383,3,-73.57614176923076,0.00035,24.076923076923077,1252,6.155816078186035,10.253911018371582,,
1218,56,1182,1,-71.86000560714285,0.00035,23.553571428571427,1319,6.557918071746826,9.391945838928223,,
1294,60,1218,1,-70.2708404,0.00035,23.25,1395,5.982010841369629,10.097532272338867,,
1366,64,1231,1,-69.088181109375,0.00035,22.921875,1467,8.934891700744629,10.853175163269043,,
1440,68,1244,1,-67.2189006617647,0.00035,22.66176470588235,1541,10.431206703186035,10.899530410766602,,
1523,72,1259,1,-65.75598259722223,0.00035,22.555555555555557,1624,11.489544868469238,9.942493438720703,,
1604,76,1274,1,-65.26993418421053,0.00035,22.43421052631579,1705,12.466854095458984,10.633523941040039,,
1681,80,1288,1,-64.16304488749999,0.00035,22.275,1782,12.659527778625488,11.290334701538086,,
1774,84,1305,1,-63.83535741666666,0.00035,22.321428571428573,1875,14.143061637878418,11.399911880493164,,
1873,88,1327,1,-64.32236875,0.00035,22.431818181818183,1974,8.458427429199219,12.080778121948242,,
1954,92,1348,1,-63.96614398913044,0.00035,22.33695652173913,2055,11.659577369689941,13.819537162780762,,
2027,96,1361,1,-63.33750453125,0.00035,22.166666666666668,2128,16.67275619506836,13.910158157348633,,
2104,100,1375,1,-62.703046619999995,0.00035,22.05,2205,11.580679893493652,13.555630683898926,,
2181,104,1389,1,-52.428890009999996,0.00035,20.09,2282,10.693608283996582,14.915733337402344,,
2257,108,1402,1,-51.81979985000001,0.00035,19.96,2358,16.324979782104492,13.345135688781738,,
2331,112,1420,1,-51.93473213,0.00035,19.94,2432,15.375648498535156,13.860607147216797,,
2403,116,2082,1,-51.88646061,0.00035,19.86,2504,16.26259422302246,14.08258056640625,,
2485,120,2100,1,-52.117952990000006,0.00035,19.98,2586,14.89508056640625,13.078235626220703,,
2572,124,2117,1,-52.36291174000001,0.00035,20.1,2673,18.008888244628906,12.62380599975586,,
2652,128,2134,1,-52.104215409999995,0.00035,20.2,2753,11.76932144165039,12.45164680480957,,
2736,132,2152,1,-51.85405080999999,0.00035,20.32,2837,16.365903854370117,11.740641593933105,,
2843,136,2179,1,-49.22450825000001,0.00035,20.15,2944,13.325424194335938,11.547164916992188,,
2997,140,2209,1,-48.286272340000004,0.00035,20.82,3098,12.307201385498047,11.831043243408203,,
3104,144,2230,1,-47.93886166,0.00035,21.11,3205,13.280887603759766,11.927263259887695,,
3244,148,2257,1,-48.52163275,0.00035,21.72,3345,12.211090087890625,11.58296012878418,,
3342,152,2278,1,-48.068843779999995,0.00035,21.91,3443,9.122133255004883,9.697439193725586,,
3423,156,2296,1,-47.95753645,0.00035,22.05,3524,12.491520881652832,11.409744262695312,,
3498,160,2312,1,-47.95321632,0.00035,22.04,3599,14.327834129333496,10.309743881225586,,
3603,164,2338,1,-47.62679619000001,0.00035,22.37,3704,12.562543869018555,10.663972854614258,,
3712,168,2358,1,-48.18078305000001,0.00035,22.72,3813,14.42600154876709,9.972187995910645,,
3826,172,2380,1,-47.968045450000005,0.00035,23.03,3927,8.944246292114258,10.061176300048828,,
3948,176,2401,1,-47.87475643999999,0.00035,23.44,4049,11.445228576660156,12.20508098602295,,
4055,180,2419,1,-48.159677480000006,0.00035,23.74,4156,8.62695598602295,10.206596374511719,,
4169,184,2440,1,-48.192291350000005,0.00035,23.95,4270,11.86040210723877,11.660913467407227,,
4304,188,2471,1,-46.972744600000006,0.00035,24.31,4405,13.063518524169922,10.277556419372559,,
4432,192,2497,1,-45.42711249,0.00035,24.78,4533,13.734928131103516,11.155115127563477,,
4562,196,2523,1,-45.20130158999999,0.00035,25.35,4663,16.09088134765625,10.251916885375977,,
4753,200,2559,1,-47.108523,0.00035,26.49,4854,11.597286224365234,8.322575569152832,,
5032,204,2613,1,-53.42964594000001,0.00035,28.51,5133,18.29937744140625,8.98527717590332,,
5250,208,2658,2,-55.12908047000002,0.00035,29.93,5351,12.895319938659668,8.368791580200195,,
5399,212,2693,2,-54.3458091,0.00035,30.68,5500,13.286762237548828,6.777195453643799,,
5715,216,2748,2,-60.56463845000001,0.00035,33.12,5816,11.882790565490723,6.856569290161133,,
6042,220,2805,2,-60.91633495000001,0.00035,35.57,6143,14.342084884643555,6.051356315612793,,
6329,224,2854,2,-60.14543295000001,0.00035,37.57,6430,12.582633018493652,4.0611701011657715,,
6578,228,2897,2,-60.06470236,0.00035,39.26,6679,8.022807121276855,2.534444808959961,,
6929,232,2955,2,-63.65143265,0.00035,41.93,7030,11.891670227050781,2.8944501876831055,,
7261,236,3017,2,-61.56212364,0.00035,44.18,7362,10.635045051574707,0.7766183614730835,,
7707,240,3092,2,-60.08058440000001,0.00035,47.1,7808,5.478130340576172,0.716264009475708,,
8167,244,3167,2,-58.487085830000005,0.00035,50.63,8268,5.986756324768066,-1.9776254892349243,,
8715,248,3258,2,-56.48104927,0.00035,54.71,8816,7.092412948608398,-2.065047025680542,,
9322,252,3359,2,-55.48099761,0.00035,59.8,9423,7.088623523712158,-1.078665018081665,,
10005,256,3472,2,-49.876964310000005,0.00035,65.82,10106,9.985210418701172,-2.717130661010742,,
10630,260,3574,3,-51.58196476,0.00035,71.32,10731,9.678252220153809,-3.7742605209350586,,
11641,264,3762,3,-50.839439090000006,0.00035,80.38,11742,9.508864402770996,-4.267352104187012,,
13289,268,4072,3,-42.07791364,0.00035,95.77,13390,5.708899021148682,-7.69006872177124,,
