time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/clip_fraction,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/std,train/clip_range,eval/mean_ep_length,eval/mean_reward
9,1,205,2048,-325.53477653571434,73.03571428571429,,,,,,,,,,,,,
9,2,410,4096,-302.33732061016946,68.72881355932203,0.00021767616271972656,0.08274739850312471,-1.6417882561683654,10,680.0864624023437,275.2429504394531,-0.01090376074891548,0.017583909,0.00039983616,0.5508195161819458,0.3,,
10,3,610,6144,-328.03757396385544,73.28915662650603,0.0018650293350219727,0.015052083902992308,-1.6481849253177643,20,576.3390228271485,266.8638610839844,-0.0016767966546467506,0.007784855,0.00039967232,0.5522566437721252,0.3,,
10,4,809,8192,-340.9888168700001,75.88,1.615285873413086e-05,0.01881510451203212,-1.6546078503131867,30,577.9924011230469,273.6347351074219,-0.00185842928298392,0.011170356,0.00039950848,0.5551007986068726,0.3,,
10,5,1008,10240,-358.86962639999996,78.95,0.0014612078666687012,0.0015755209082271905,-1.6672370254993438,40,534.2925628662109,256.4812927246094,-0.0014789195638151397,0.0040219533,0.00039934464,0.559162974357605,0.3,,
10,6,1201,12288,-383.6866612,83.85,0.0028442740440368652,0.039244792380486615,-1.622420072555542,50,502.6168685913086,242.64459228515625,-0.0028934462126926517,0.006660566,0.0003991808,0.5467555522918701,0.3,,
10,7,1384,14336,-416.75689357999994,90.55,0.0011211633682250977,0.002864583412883803,-1.6381010830402374,60,480.0019500732422,231.05661010742188,-0.0013562444412670515,0.0047282595,0.00039901696000000004,0.5511504411697388,0.3,,
10,8,1593,16384,-391.4955551699999,85.65,9.179115295410156e-06,0.03584635516745038,-1.6536879241466522,70,459.06023559570315,222.01333618164062,-0.0035245689665316603,0.0067187743,0.00039885312,0.5553780794143677,0.3,,
10,9,1791,18432,-382.43094540000016,84.38,0.004249274730682373,0.044401042093522844,-1.6674573302268982,80,400.9580932617188,190.85800170898438,-0.006714677635900656,0.007104952,0.00039868928000000005,0.5583239793777466,0.3,,
,,,20000,,,0.006576120853424072,0.08455729275592602,-1.6778264939785004,90,367.9680114746094,171.97300720214844,-0.008852855664808779,0.013302296,0.00039852544000000003,0.5617989301681519,0.3,33.6,-126.30801569819451
10,10,2017,20480,-376.98812438999994,83.86,,,,,,,,,,,,,
10,11,2214,22528,-341.85269639000006,78.63,8.64267349243164e-06,0.09937500192027074,-1.6330962955951691,100,351.11887512207034,167.15625,-0.01024017047984671,0.019055732,0.0003983616,0.5502849817276001,0.3,,
10,12,2419,24576,-281.92064697999996,72.85,4.231929779052734e-06,0.1650260434311349,-1.651234644651413,110,289.9589324951172,139.57237243652344,-0.022865226618014135,0.024464834,0.00039819776000000004,0.5543596744537354,0.3,,
10,13,2644,26624,-102.25149807,41.19,0.00019991397857666016,0.19867187961935998,-1.6507746994495391,120,167.55058212280272,80.29409790039062,-0.025205241050571203,0.021025732,0.00039803392,0.548425018787384,0.3,,
9,14,2876,28672,-47.263626720000005,28.25,0.0015666484832763672,0.16596354600042104,-1.6284498393535614,130,162.15919494628906,83.7013931274414,-0.02153562369756403,0.03459379,0.00039787008,0.5454461574554443,0.3,,
9,15,3117,30720,-27.644025619999997,22.49,0.001986086368560791,0.10467448256677017,-1.6251059174537659,140,200.16683349609374,94.2040023803711,-0.014211807080428152,0.009114752,0.00039770624,0.5453760027885437,0.3,,
9,16,3386,32768,-23.154099639999995,23.13,-0.0031517744064331055,0.05954427238903008,-1.5646137535572051,150,215.815193939209,104.82936096191406,-0.009206010214984416,0.015266544,0.0003975424,0.5290987491607666,0.3,,
9,17,3630,34816,-22.76450314,19.85,-0.001413583755493164,0.05415364648797549,-1.565720796585083,160,209.36742248535157,95.30170440673828,-0.004524687661614735,0.01786309,0.00039737856,0.5299909114837646,0.3,,
9,18,3887,36864,-24.671671259999997,18.42,-0.00988006591796875,0.009596354351378978,-1.5695619523525237,170,172.73977813720703,79.70169067382812,-0.001510023446262565,0.0077293105,0.00039721472000000006,0.5310347080230713,0.3,,
9,19,4142,38912,-24.578755060000002,18.47,-0.0021189451217651367,0.028763021275517532,-1.575765746831894,180,99.60562705993652,33.823936462402344,-0.0030810993256453756,0.011309883,0.00039705088000000004,0.5343248248100281,0.3,,
,,,40000,,,0.008255839347839355,0.054218751241569406,-1.588798850774765,190,53.50624446868896,25.41670799255371,1.5177556779244484e-05,0.007779369,0.00039688704,0.5365153551101685,0.3,13.6,-22.35212341248989
9,20,4409,40960,-25.882669269999994,17.71,,,,,,,,,,,,,
9,21,4668,43008,-24.329677840000002,18.24,0.12094199657440186,0.04199218893190846,-1.542892336845398,200,48.25034790039062,24.414369583129883,-0.0030396592599572616,0.008273748,0.00039672320000000004,0.5278462171554565,0.3,,
9,22,4918,45056,-21.39615945,19.43,0.1579381823539734,0.022955729864770548,-1.5690761029720306,210,49.643275833129884,23.727027893066406,-0.00165481011441444,0.006577111,0.00039655936,0.5325609445571899,0.3,,
9,23,5168,47104,-19.81505154,19.96,0.14703404903411865,0.015273437841096893,-1.5835209965705872,220,59.77617645263672,30.344032287597656,-0.0008661795920488658,0.0076995734,0.00039639552,0.5362943410873413,0.3,,
9,24,5418,49152,-20.12862748,20.9,0.21102195978164673,0.0322005215974059,-1.595020490884781,230,52.89469318389892,27.385986328125,-0.0029768201737897515,0.010148356,0.00039623168000000003,0.5383509397506714,0.3,,
9,25,5664,51200,-19.38290451,20.69,0.2506948709487915,0.0406250009778887,-1.5985867202281951,240,54.565315055847165,27.67241859436035,0.0017671616002189693,0.014209507,0.00039606784,0.5382199883460999,0.3,,
8,26,5936,53248,-18.215181039999997,21.01,0.22846001386642456,0.05069010584265925,-1.5387891471385955,250,54.516096687316896,27.420902252197266,-0.001213010230276268,0.018704046,0.000395904,0.5234057307243347,0.3,,
8,27,6168,55296,-17.59551436,21.86,0.25463950634002686,0.022877605000394395,-1.5473024189472198,260,58.975929260253906,27.23006248474121,-0.0007934636727441102,0.0009925866,0.00039574016,0.5260910987854004,0.3,,
8,28,6410,57344,-19.800992060000002,20.7,0.2982427477836609,0.004322916798992082,-1.554988306760788,270,57.200269508361814,29.46043586730957,-0.0013281147627185685,0.010381607,0.00039557632,0.5271509289741516,0.3,,
8,29,6649,59392,-27.848649140000003,23.19,0.31047922372817993,0.04424479225708637,-1.5578973472118378,280,48.508837127685545,22.212371826171875,-0.0029932512319646777,0.0091898665,0.00039541248,0.5278774499893188,0.3,,
,,,60000,,,0.3298215866088867,0.042864584262133576,-1.5605954766273498,290,93.09495429992675,44.22340774536133,-0.006530011679278691,0.012246973,0.00039524864000000005,0.5286700129508972,0.3,18.8,-15.551444659382105
8,30,6890,61440,-17.01306655,22.69,,,,,,,,,,,,,
8,31,7128,63488,-18.10792733,21.52,0.313770055770874,0.024049479991663247,-1.5034904062747956,300,51.69750289916992,25.338947296142578,-0.0029731459195318165,0.007983437,0.00039508480000000003,0.5137985944747925,0.3,,
