train/ent_coef_loss,train/learning_rate,time/fps,time/time_elapsed,time/episodes,time/total_timesteps,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef,eval/mean_ep_length,eval/mean_reward
-0.05152931809425354,0.0001,11,148,4,1662,1.3757274150848389,300678,-14.167095184326172,0.06964606791734695,,
-0.5361301898956299,0.0001,12,303,8,3670,7.020931720733643,301682,-18.108600616455078,0.06747264415025711,,
-0.4538531005382538,0.0001,12,381,12,4739,0.8343722820281982,302217,-17.317495346069336,0.06743606179952621,,
0.2693548798561096,0.0001,12,424,16,5300,1.7363953590393066,302497,-16.986614227294922,0.06723844259977341,,
0.21314848959445953,0.0001,12,461,20,5790,3.927107810974121,302742,-13.840572357177734,0.06791000813245773,,
0.4137747883796692,0.0001,12,487,24,6040,5.128346920013428,302867,-12.3616943359375,0.06816166639328003,,
0.23264721035957336,0.0001,12,548,28,6746,6.092573165893555,303220,-12.161459922790527,0.06745751202106476,,
0.6003187894821167,0.0001,12,574,32,7009,5.384346961975098,303352,-13.413772583007812,0.06765785068273544,,
-0.06058180332183838,0.0001,12,673,36,8231,3.4176511764526367,303963,-14.054869651794434,0.06897461414337158,,
0.8363508582115173,0.0001,12,782,40,9616,6.957823753356934,304655,-13.290349006652832,0.07205259799957275,,
0.10278144478797913,0.0001,12,885,44,10773,9.385931015014648,305234,-11.863489151000977,0.07389418035745621,,
0.9739343523979187,0.0001,12,955,48,11596,3.7178125381469727,305645,-13.151259422302246,0.07538335025310516,,
0.6815943121910095,0.0001,12,1213,52,14994,5.323812484741211,307344,-14.801623344421387,0.07857953757047653,,
-0.109034463763237,0.0001,12,1415,56,18006,2.125300407409668,308850,-20.24564552307129,0.08061433583498001,,
-0.7423617839813232,0.0001,12,1588,60,20627,1.0530083179473877,310161,-25.163105010986328,0.07925252616405487,,
0.605603814125061,0.0001,13,1689,64,22163,2.48819637298584,310929,-22.257183074951172,0.07864183932542801,,
-0.2757266163825989,0.0001,13,1833,68,24274,2.275158643722534,311984,-22.74968147277832,0.08292892575263977,,
-0.4682547152042389,0.0001,13,1962,72,26295,0.9418704509735107,312995,-23.758281707763672,0.08286324143409729,,
0.3797129690647125,0.0001,13,2121,76,28413,4.69122838973999,314054,-20.04141616821289,0.08362600952386856,,
0.4751817286014557,0.0001,13,2346,80,31422,1.3428618907928467,315558,-20.288057327270508,0.0852733850479126,,
0.28727203607559204,0.0001,13,2538,84,33904,1.7388405799865723,316799,-23.6855411529541,0.08246483653783798,,
