train/n_updates,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/ent_coef,train/critic_loss,time/fps,time/time_elapsed,train/learning_rate,time/episodes,eval/mean_reward,eval/mean_ep_length
1670,5.618724822998047,-0.5314246416091919,3442,0.07758472114801407,4.695616245269775,8,397,0.0003,116,,
1713,5.586756706237793,-0.8619834780693054,3527,0.07709221541881561,3.10886812210083,8,406,0.0003,120,,
1757,6.017927169799805,-0.3457489609718323,3616,0.07658085972070694,3.9297170639038086,8,416,0.0003,124,,
1812,6.060970306396484,-1.3761241436004639,3726,0.07596408575773239,5.259030342102051,8,436,0.0003,128,,
1829,5.914525985717773,-1.4340717792510986,3760,0.07580626755952835,4.934049129486084,8,441,0.0003,132,,
1867,5.612647533416748,-1.2690211534500122,3836,0.07526116073131561,3.8316924571990967,8,450,0.0003,136,,
1894,6.04478645324707,-2.2239856719970703,3890,0.07483413815498352,3.9336962699890137,8,459,0.0003,140,,
1923,6.462701797485352,-3.3690130710601807,3947,0.07434728741645813,3.2712550163269043,8,467,0.0003,144,,
1950,6.021445274353027,-2.903064250946045,4002,0.07388331741094589,4.040472984313965,8,473,0.0003,148,,
1980,5.823703765869141,-1.4364140033721924,4062,0.07343114912509918,4.903281211853027,8,487,0.0003,152,,
2008,6.553934574127197,-2.3661446571350098,4117,0.07312940061092377,4.580712795257568,8,494,0.0003,156,,
2040,6.664799690246582,-2.3442482948303223,4182,0.072760209441185,5.784588813781738,8,501,0.0003,160,,
2069,6.393428802490234,-2.0862412452697754,4239,0.07241339236497879,4.210979461669922,8,509,0.0003,164,,
2103,6.494955062866211,-1.8954359292984009,4307,0.07204192876815796,4.311840057373047,8,517,0.0003,168,,
2145,7.040277481079102,-1.8641674518585205,4392,0.07155461609363556,3.8439083099365234,8,526,0.0003,172,,
2179,6.851197242736816,-0.9506680965423584,4460,0.07122137397527695,5.960544586181641,8,540,0.0003,176,,
2201,6.9809160232543945,-0.8676114678382874,4503,0.07111123949289322,4.825839042663574,8,546,0.0003,180,,
2235,6.187602996826172,0.06776748597621918,4571,0.07082702964544296,6.465867042541504,8,555,0.0003,184,,
2268,6.762052059173584,-0.6015011668205261,4637,0.07055823504924774,5.162287712097168,8,563,0.0003,188,,
2299,7.127378463745117,-0.3958680033683777,4700,0.07035896927118301,5.037333011627197,8,571,0.0003,192,,
2330,7.544912338256836,-1.2796686887741089,4762,0.0700434222817421,4.9236836433410645,8,579,0.0003,196,,
2369,6.19417667388916,-1.001892328262329,4839,0.06965327262878418,4.923384666442871,8,593,0.0003,200,,
2407,6.713910102844238,-0.43421173095703125,4916,0.06929273158311844,3.7012860774993896,8,601,0.0003,204,,
2440,6.881706714630127,0.15731438994407654,4982,0.06909649819135666,4.9159417152404785,8,609,0.0003,208,,
2487,7.1943745613098145,-1.5805141925811768,5076,0.06873643398284912,5.236087799072266,8,620,0.0003,212,,
2519,6.642722129821777,-0.6217246055603027,5140,0.06848493963479996,5.101790428161621,8,628,0.0003,216,,
2602,7.137732028961182,-0.9232673645019531,5306,0.06815667450428009,5.640694618225098,8,645,0.0003,220,,
2632,6.561223030090332,-1.6830418109893799,5366,0.06800433993339539,4.948057174682617,8,653,0.0003,224,,
2673,6.981440544128418,-0.11690255999565125,5447,0.06792877614498138,7.565756320953369,8,668,0.0003,228,,
2709,6.947248458862305,0.17390479147434235,5520,0.06777942925691605,4.631954669952393,8,678,0.0003,232,,
2747,7.044468879699707,-0.934215784072876,5595,0.0677342414855957,4.229676246643066,8,687,0.0003,236,,
2781,6.6327433586120605,-0.2939630150794983,5663,0.0676194578409195,3.727590799331665,8,695,0.0003,240,,
2821,6.46919584274292,-0.13543833792209625,5744,0.0675806924700737,4.551950931549072,8,704,0.0003,244,,
2938,7.42341423034668,0.7343189716339111,5977,0.06754180788993835,8.465301513671875,8,728,0.0003,248,,
2969,7.0485382080078125,0.5939711332321167,6040,0.06769631803035736,5.555157661437988,8,741,0.0003,252,,
3011,7.311563491821289,-0.1243925392627716,6124,0.06788848340511322,6.026203632354736,8,751,0.0003,256,,
3064,7.57305908203125,-0.09061485528945923,6229,0.0679331049323082,6.795827865600586,8,761,0.0003,260,,
3101,7.894815921783447,1.6290100812911987,6303,0.0679241418838501,5.2740254402160645,8,769,0.0003,264,,
3147,7.282858848571777,0.2054089903831482,6396,0.06826417148113251,4.655524730682373,8,781,0.0003,268,,
3192,6.929958343505859,0.7532957792282104,6486,0.06849180161952972,4.544710159301758,8,790,0.0003,272,,
3228,7.367120742797852,0.6444475650787354,6558,0.06867968291044235,5.987150192260742,8,803,0.0003,276,,
3269,7.699407577514648,0.35723286867141724,6640,0.06877546012401581,5.5001726150512695,8,813,0.0003,280,,
3306,7.421544075012207,0.07561126351356506,6713,0.06884470582008362,5.035053253173828,8,821,0.0003,284,,
3339,7.614230155944824,-0.7713289856910706,6779,0.0691266730427742,5.343997955322266,8,829,0.0003,288,,
3385,7.801414489746094,0.16263079643249512,6872,0.06946010887622833,7.415827751159668,8,838,0.0003,292,,
3423,7.499015808105469,0.08449652791023254,6948,0.06971482932567596,6.559615135192871,8,848,0.0003,296,,
3458,8.11445426940918,-0.05980268120765686,7018,0.06988272070884705,7.885455131530762,8,861,0.0003,300,,
3500,7.363670825958252,0.2572200894355774,7101,0.07006249576807022,6.067749977111816,8,870,0.0003,304,,
3532,7.698590278625488,-0.536109447479248,7165,0.0702206939458847,4.608899116516113,8,878,0.0003,308,,
3567,7.994085788726807,1.015364170074463,7236,0.070459745824337,6.470863342285156,8,887,0.0003,312,,
3607,7.827244281768799,0.0030462294816970825,7315,0.07081903517246246,6.616858959197998,8,897,0.0003,316,,
3634,7.37980318069458,1.407235860824585,7369,0.07093209028244019,7.781312465667725,8,904,0.0003,320,,
3673,8.410072326660156,1.0341304540634155,7447,0.07116200029850006,5.6486077308654785,8,913,0.0003,324,,
3786,6.980144500732422,0.4616183042526245,7674,0.07218626886606216,5.758733749389648,8,941,0.0003,328,,
3840,7.560575485229492,0.9787571430206299,7782,0.07262574881315231,8.604369163513184,8,952,0.0003,332,,
3865,8.312066078186035,0.00898386538028717,7831,0.07281691581010818,5.025007247924805,8,958,0.0003,336,,
3900,7.487017631530762,0.8795052766799927,7901,0.07297689467668533,4.774983882904053,8,966,0.0003,340,,
3964,7.621433734893799,0.8187863230705261,8029,0.07351502031087875,6.047145843505859,8,978,0.0003,344,,
4027,8.631043434143066,0.49333280324935913,8155,0.074187271296978,7.753473281860352,8,992,0.0003,348,,
4130,7.804675579071045,0.1493341326713562,8362,0.075258269906044,4.096916198730469,8,1017,0.0003,352,,
4175,8.059814453125,0.6664071083068848,8452,0.07583004981279373,5.29890251159668,8,1029,0.0003,356,,
