time/time_elapsed,time/episodes,train/actor_loss,train/n_updates,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/critic_loss,time/fps,eval/mean_reward,eval/mean_ep_length
263,88,3.5490756034851074,1688,1789,0.0003,-24.091191363636366,20.329545454545453,4.601899147033691,6,,
278,92,3.0943541526794434,1835,1936,0.0003,-22.876823097826083,21.043478260869566,3.9866151809692383,6,,
287,96,2.3873186111450195,1924,2025,0.0003,-22.540574000000003,21.09375,4.069744110107422,7,,
304,100,2.7813711166381836,2014,2115,0.0003,-21.99051229,21.15,3.5268096923828125,6,,
318,104,2.06498384475708,2170,2271,0.0003,-17.50293152,20.64,4.673990249633789,7,,
329,108,1.5947823524475098,2262,2363,0.0003,-16.39743154,20.92,5.008296489715576,7,,
344,112,2.638213634490967,2433,2534,0.0003,-15.459599919999999,22.06,4.58107328414917,7,,
354,116,1.7199976444244385,2516,2617,0.0003,-16.101319020000002,22.31,4.6754679679870605,7,,
374,120,0.8532460927963257,2738,2839,0.0003,-17.3799886,24.03,4.7742018699646,7,,
389,124,0.7863457202911377,2867,2968,0.0003,-18.85626697,24.73,4.563239574432373,7,,
417,128,0.1340271234512329,3111,3212,0.0003,-16.986520830000003,26.5,5.332712650299072,7,,
431,132,0.32698309421539307,3262,3363,0.0003,-15.053191800000002,27.54,6.651451587677002,7,,
440,136,0.34158456325531006,3341,3442,0.0003,-13.60015092,27.67,4.739462852478027,7,,
455,140,-0.6997557878494263,3502,3603,0.0003,-12.713427909999998,28.75,4.14149284362793,7,,
467,144,-0.7577545642852783,3618,3719,0.0003,-11.25607121,29.25,4.1771321296691895,7,,
496,148,-1.5593180656433105,3946,4047,0.0003,-10.883252579999999,31.2,6.444726943969727,8,,
529,152,-2.703789710998535,4230,4331,0.0003,-16.01181427,32.85,6.272304534912109,8,,
565,156,-3.300656318664551,4652,4753,0.0003,-11.115342369999999,36.1,5.735546112060547,8,,
595,160,-4.541349411010742,4979,5080,0.0003,-18.04265479,38.56,6.415791988372803,8,,
612,164,-4.270964622497559,5141,5242,0.0003,-17.75384838,39.44,6.134267807006836,8,,
633,168,-5.706552505493164,5362,5463,0.0003,-17.521761710000003,40.82,5.558718204498291,8,,
659,172,-6.5738420486450195,5640,5741,0.0003,-16.934817000000002,42.89,7.36276388168335,8,,
692,176,-5.277649402618408,5959,6060,0.0003,-16.604944590000002,45.31,6.760961532592773,8,,
709,180,-5.574775695800781,6144,6245,0.0003,-16.03247151,46.42,6.163804531097412,8,,
736,184,-5.30600643157959,6461,6562,0.0003,-15.176948349999998,49.05,6.70787239074707,8,,
764,188,-5.448451519012451,6789,6890,0.0003,-15.698500059999999,51.01,7.085928440093994,9,,
793,192,-6.398915767669678,7142,7243,0.0003,-14.802650080000001,53.07,9.819220542907715,9,,
897,196,-7.0834856033325195,8475,8576,0.0003,-32.54548617,65.51,7.022003173828125,9,,
1098,200,-6.522994041442871,10732,10833,0.0003,-90.88710837999999,87.18,9.060535430908203,9,,
1123,204,-7.570521354675293,11011,11112,0.0003,-95.83999064,88.41,8.121795654296875,9,,
1272,208,-7.535157203674316,12667,12768,0.0003,-97.50352650999999,104.05,8.291013717651367,10,,
1412,212,-8.962468147277832,14191,14292,0.0003,-101.95875032999999,117.58,7.054230690002441,10,,
1487,216,-9.89278793334961,15001,15102,0.0003,-112.48082783000001,124.85,6.685513973236084,10,,
1543,220,-8.424739837646484,15604,15705,0.0003,-108.26300620000002,128.66,6.65841007232666,10,,
1595,224,-9.26301097869873,16135,16236,0.0003,-111.29150146000002,132.68,8.080131530761719,10,,
1626,228,-7.860239505767822,16396,16497,0.0003,-112.29955086999999,132.85,7.720877647399902,10,,
1653,232,-7.671115875244141,16671,16772,0.0003,-113.18126802,134.09,7.766689300537109,10,,
1699,236,-8.763742446899414,17110,17211,0.0003,-114.88418933999999,137.69,6.997559547424316,10,,
1738,240,-8.069990158081055,17541,17642,0.0003,-112.07941683000003,140.39,6.983955383300781,10,,
1791,244,-8.052002906799316,18057,18158,0.0003,-112.99013367000002,144.39,6.344983100891113,10,,
1863,248,-8.575490951538086,18775,18876,0.0003,-106.25885452000003,148.29,7.322216987609863,10,,
1930,252,-8.2606201171875,19456,19557,0.0003,-91.69973635999999,152.26,4.312369346618652,10,,
2029,256,-7.815639019012451,20514,20615,0.0003,-87.08536007999999,158.62,5.586967945098877,10,,
2148,260,-8.989396095275879,21778,21879,0.0003,-75.05988542,167.99,6.025300979614258,10,,
2206,264,-10.698457717895508,22470,22571,0.0003,-68.89823242,173.29,4.4523749351501465,10,,
2297,268,-9.503050804138184,23481,23582,0.0003,-66.95491855,181.19,4.430774688720703,10,,
2356,272,-10.837592124938965,24117,24218,0.0003,-79.56937236,184.77,4.926984786987305,10,,
2488,276,-9.43330192565918,25439,25540,0.0003,-67.2719595,194.8,6.308524131774902,10,,
2604,280,-9.856647491455078,26547,26648,0.0003,-67.33108559,204.03,5.762341022491455,10,,
2645,284,-10.778038024902344,26941,27042,0.0003,-70.54470893,204.8,6.215402603149414,10,,
2766,288,-10.196317672729492,28114,28215,0.0003,-73.51839583999998,213.25,5.654857635498047,10,,
2808,292,-11.029064178466797,28549,28650,0.0003,-77.61064391999999,214.07,4.462013244628906,10,,
2896,296,-11.425249099731445,29491,29592,0.0003,-56.748548409999984,210.16,4.768597602844238,10,,
2975,300,-10.185946464538574,30288,30389,0.0003,1.4182250799999991,195.56,5.992433071136475,10,,
3036,304,-11.379459381103516,30916,31017,0.0003,10.30439715,199.05,5.691763877868652,10,,
3081,308,-11.245891571044922,31390,31491,0.0003,13.114904209999994,187.23,5.580880165100098,10,,
3126,312,-10.559820175170898,31888,31989,0.0003,16.98821131,176.97,5.625490665435791,10,,
3215,316,-11.540441513061523,32835,32936,0.0003,29.283137500000006,178.34,5.704494476318359,10,,
3268,320,-10.09598159790039,33362,33463,0.0003,32.1862715,177.58,4.417135238647461,10,,
3298,324,-11.207275390625,33646,33747,0.0003,35.77083682000001,175.11,5.382648468017578,10,,
3412,328,-9.5839262008667,34789,34890,0.0003,43.94905619,183.93,6.776331901550293,10,,
3443,332,-10.633658409118652,35093,35194,0.0003,44.152116750000005,184.22,5.693167686462402,10,,
3505,336,-12.695866584777832,35719,35820,0.0003,52.109910530000015,186.09,4.531774520874023,10,,
3570,340,-9.418863296508789,36416,36517,0.0003,40.370530529999996,188.75,7.479983329772949,10,,
3589,344,-11.897565841674805,36587,36688,0.0003,39.27623228,185.3,7.162239074707031,10,,
3670,348,-11.423626899719238,37432,37533,0.0003,30.72324443,186.57,4.980202674865723,10,,
3694,352,-11.677450180053711,37639,37740,0.0003,20.032196549999995,181.83,8.74589729309082,10,,
3831,356,-11.4246244430542,39275,39376,0.0003,35.09164072000001,187.61,5.885580062866211,10,,
3862,360,-12.512083053588867,39638,39739,0.0003,29.127308860000003,178.6,6.415450096130371,10,,
4002,364,-13.033754348754883,41274,41375,0.0003,34.27209272,188.04,6.009582042694092,10,,
4051,368,-11.945562362670898,41817,41918,0.0003,38.67972616000001,183.36,4.701871871948242,10,,
4136,372,-11.833586692810059,42810,42911,0.0003,64.72224724000002,186.93,5.724229335784912,10,,
4206,376,-13.002891540527344,43570,43671,0.0003,52.39302801000001,181.31,6.7129082679748535,10,,
4301,380,-11.821767807006836,44701,44802,0.0003,68.11070679000001,181.54,5.731967926025391,10,,
4340,384,-12.971665382385254,45116,45217,0.0003,74.42833934000001,181.75,3.224846839904785,10,,
4416,388,-13.127427101135254,46023,46124,0.0003,83.82548054,179.09,6.0175981521606445,10,,
4534,392,-13.465964317321777,47356,47457,0.0003,110.86964245000001,188.07,4.019323825836182,10,,
4565,396,-13.138158798217773,47729,47830,0.0003,111.67657215000001,182.38,3.5157012939453125,10,,
4621,400,-12.795404434204102,48327,48428,0.0003,114.49144846999998,180.39,6.194023132324219,10,,
4651,404,-11.491119384765625,48660,48761,0.0003,109.1388962,177.44,4.006371974945068,10,,
4671,408,-12.348739624023438,48891,48992,0.0003,106.64815496000001,175.01,3.908569097518921,10,,
4700,412,-11.182361602783203,49250,49351,0.0003,107.25658008,173.62,5.2271647453308105,10,,
4840,416,-12.454350471496582,50845,50946,0.0003,125.21146739,180.1,4.526797294616699,10,,
4873,420,-13.76878547668457,51253,51354,0.0003,119.79064856000001,178.91,4.333003044128418,10,,
4918,424,-14.01119327545166,51790,51891,0.0003,120.94256037,181.44,4.389551639556885,10,,
4988,428,-13.274837493896484,52482,52583,0.0003,114.99174457000001,176.93,7.8347907066345215,10,,
5038,432,-12.840238571166992,53006,53107,0.0003,120.55762084,179.13,5.179009914398193,10,,
5098,436,-13.452211380004883,53635,53736,0.0003,117.57413769,179.16,5.924737930297852,10,,
5179,440,-12.345965385437012,54416,54517,0.0003,130.9109497,180.0,6.022650241851807,10,,
5226,444,-13.220501899719238,54901,55002,0.0003,130.94480148,183.14,4.280669212341309,10,,
5313,448,-13.709439277648926,55697,55798,0.0003,139.34148912999999,182.65,4.5239715576171875,10,,
5385,452,-13.603511810302734,56404,56505,0.0003,141.13733846000002,187.65,4.240318775177002,10,,
5406,456,-12.609626770019531,56640,56741,0.0003,115.35010618,173.65,3.6215388774871826,10,,
5476,460,-13.345437049865723,57505,57606,0.0003,123.1299213,178.67,6.022490978240967,10,,
5502,464,-13.936615943908691,57779,57880,0.0003,109.26729300000002,165.05,5.539106369018555,10,,
5585,468,-11.008624076843262,58741,58842,0.0003,105.51082213000001,169.24,6.3153276443481445,10,,
5681,472,-13.34898567199707,59846,59947,0.0003,100.79407806,170.36,4.41952657699585,10,,
5762,476,-14.18592643737793,60694,60795,0.0003,111.32114994,171.24,3.379875421524048,10,,
5886,480,-13.602497100830078,62077,62178,0.0003,116.55392045999999,173.76,4.336956977844238,10,,
5927,484,-14.013311386108398,62523,62624,0.0003,119.32776931000001,174.07,4.426881313323975,10,,
6058,488,-13.484723091125488,63868,63969,0.0003,130.29528055000003,178.45,4.815783977508545,10,,
6144,492,-12.977994918823242,64865,64966,0.0003,123.11658676000003,175.09,8.721531867980957,10,,
6324,496,-14.386578559875488,66708,66809,0.0003,147.78934481,189.79,8.974813461303711,10,,
6429,500,-14.801782608032227,67767,67868,0.0003,158.72991435,194.4,6.975152015686035,10,,
6463,504,-13.231977462768555,68126,68227,0.0003,154.48806332,194.66,4.352642059326172,10,,
6545,508,-14.531698226928711,68987,69088,0.0003,164.79405893999999,200.96,5.022594451904297,10,,
6585,512,-13.935266494750977,69505,69606,0.0003,167.17525320000001,202.55,3.1721575260162354,10,,
6650,516,-13.591132164001465,70333,70434,0.0003,156.40883366999998,194.88,2.637561798095703,10,,
6774,520,-14.96728801727295,71895,71996,0.0003,158.20809459,206.42,4.858029365539551,10,,
6839,524,-14.588024139404297,72717,72818,0.0003,158.32847937999998,209.27,4.283507347106934,10,,
6884,528,-14.903748512268066,73154,73255,0.0003,152.19445278,206.72,3.863678455352783,10,,
6990,532,-12.568835258483887,74348,74449,0.0003,154.81415544,213.42,5.231647491455078,10,,
7042,536,-13.50210189819336,74938,75039,0.0003,151.05616642,213.03,5.610701084136963,10,,
7100,540,-13.205127716064453,75635,75736,0.0003,149.53208517000002,212.19,6.827250003814697,10,,
7141,544,-12.11867904663086,76143,76244,0.0003,148.93624448999998,212.42,6.027764320373535,10,,
7196,548,-12.84065055847168,76735,76836,0.0003,143.82868485999998,210.38,3.229269027709961,10,,
7233,552,-14.661006927490234,77126,77227,0.0003,143.32747993,207.22,3.382012367248535,10,,
7266,556,-14.270309448242188,77511,77612,0.0003,147.08741244000004,208.71,3.9007039070129395,10,,
7299,560,-12.95553970336914,77898,77999,0.0003,139.75815255999998,203.93,9.242729187011719,10,,
7347,564,-13.656402587890625,78469,78570,0.0003,147.89987821,206.9,5.567221164703369,10,,
7390,568,-12.493436813354492,78954,79055,0.0003,147.15993206000002,202.13,7.517414093017578,10,,
7511,572,-12.91130256652832,80249,80350,0.0003,157.65415362000002,204.03,5.647279262542725,10,,
7573,576,-12.584219932556152,80973,81074,0.0003,149.88852271,202.79,5.115128517150879,10,,
7617,580,-13.53053092956543,81543,81644,0.0003,133.71301108,194.66,4.749325752258301,10,,
7643,584,-12.666226387023926,81827,81928,0.0003,130.48540265000003,193.04,5.020697593688965,10,,
7675,588,-13.205401420593262,82205,82306,0.0003,113.32050648999999,183.37,4.0012311935424805,10,,
7762,592,-12.844611167907715,83219,83320,0.0003,112.37847821999999,183.54,3.623774766921997,10,,
7810,596,-13.586017608642578,83814,83915,0.0003,81.85127924999999,171.06,5.16304874420166,10,,
7863,600,-14.958555221557617,84376,84477,0.0003,72.17051530999998,166.09,4.760311126708984,10,,
8101,604,-13.27623176574707,86742,86843,0.0003,102.49166083,186.16,6.813135147094727,10,,
8189,608,-13.462687492370605,87701,87802,0.0003,95.41660137,187.14,4.201624870300293,10,,
8265,612,-14.545991897583008,88505,88606,0.0003,88.79421875,190.0,3.3811416625976562,10,,
8319,616,-14.68741226196289,89081,89182,0.0003,88.98530972,187.48,8.090414047241211,10,,
8419,620,-13.384936332702637,90148,90249,0.0003,91.33819951000001,182.53,5.0000128746032715,10,,
8456,624,-14.043476104736328,90520,90621,0.0003,94.51535207,178.03,4.2219319343566895,10,,
8518,628,-13.135967254638672,91088,91189,0.0003,95.42898894999999,179.34,4.719651222229004,10,,
8573,632,-14.508943557739258,91769,91870,0.0003,91.4258455,174.21,4.023946285247803,10,,
8616,636,-14.359819412231445,92281,92382,0.0003,99.61031745999999,173.43,5.793903350830078,10,,
8696,640,-13.72472858428955,93174,93275,0.0003,98.77536921000001,175.39,2.6658265590667725,10,,
8736,644,-13.041055679321289,93634,93735,0.0003,104.23620438,174.91,7.451725006103516,10,,
8815,648,-11.565206527709961,94542,94643,0.0003,113.90502732,178.07,7.810846328735352,10,,
8868,652,-13.42661190032959,95105,95206,0.0003,118.10654009,179.79,5.534459114074707,10,,
8973,656,-13.79878044128418,96190,96291,0.0003,129.39698359,186.79,7.2908549308776855,10,,
9049,660,-12.480424880981445,96942,97043,0.0003,143.268085,190.44,4.422039031982422,10,,
9157,664,-14.24674129486084,98195,98296,0.0003,151.68934975000002,197.26,3.773200511932373,10,,
9226,668,-12.598149299621582,98889,98990,0.0003,159.33996448,199.35,4.551278591156006,10,,
,,-12.272642135620117,99899,100000,0.0003,,,3.9076271057128906,,747.5196852000001,463.6
9552,672,-12.27297592163086,100082,100183,0.0003,155.18315832,198.33,5.383914947509766,10,,
9621,676,-11.687566757202148,100719,100820,0.0003,159.28058739,197.46,4.041319370269775,10,,
9669,680,-14.599103927612305,101213,101314,0.0003,158.94552026999997,196.7,3.2410099506378174,10,,
9708,684,-13.436758041381836,101598,101699,0.0003,158.29687639,197.71,5.432466506958008,10,,
9814,688,-14.009428024291992,102567,102668,0.0003,171.28593082,203.62,2.7583680152893066,10,,
9861,692,-14.175521850585938,102997,103098,0.0003,149.27528283,197.78,4.41457462310791,10,,
9969,696,-13.061068534851074,104139,104240,0.0003,165.09043731000003,203.25,2.7210683822631836,10,,
10108,700,-14.352895736694336,105668,105769,0.0003,183.16664081000002,212.92,4.1803178787231445,10,,
10117,704,-14.151230812072754,105750,105851,0.0003,156.47518164000002,190.08,6.114300727844238,10,,
10218,708,-13.82901668548584,106857,106958,0.0003,170.82621075999998,191.56,4.076021194458008,10,,
10367,712,-12.57998275756836,108431,108532,0.0003,206.45683217,199.26,2.450063943862915,10,,
10462,716,-16.44696807861328,109387,109488,0.0003,211.42145223,203.06,3.144879102706909,10,,
10538,720,-14.532752990722656,110114,110215,0.0003,208.98149630999993,199.66,4.186169147491455,10,,
10680,724,-15.887353897094727,111710,111811,0.0003,241.21738071,211.9,3.5927352905273438,10,,
10725,728,-14.343517303466797,112306,112407,0.0003,243.28721342999995,212.18,3.297880172729492,10,,
10774,732,-16.386455535888672,112901,113002,0.0003,242.98810177999997,211.32,3.463362216949463,10,,
10815,736,-14.477702140808105,113409,113510,0.0003,238.04221461999998,211.28,3.3281779289245605,10,,
10917,740,-15.730006217956543,114595,114696,0.0003,244.44747309999994,214.21,2.895604372024536,10,,
10976,744,-14.287956237792969,115265,115366,0.0003,239.38171559999998,216.31,2.3866429328918457,10,,
11071,748,-15.461188316345215,116369,116470,0.0003,234.47600155,218.27,2.880831718444824,10,,
11128,752,-14.23022174835205,117062,117163,0.0003,232.00821297999994,219.57,3.1898183822631836,10,,
11232,756,-13.827329635620117,118384,118485,0.0003,224.2667178,221.94,3.9867091178894043,10,,
11249,760,-14.58240795135498,118568,118669,0.0003,211.56931663,216.26,3.843052864074707,10,,
11279,764,-16.1566219329834,118917,119018,0.0003,197.05195816,207.22,3.8737049102783203,10,,
11345,768,-14.47968864440918,119739,119840,0.0003,193.80503867,208.5,3.526432514190674,10,,
11416,772,-14.297911643981934,120502,120603,0.0003,190.8520192,204.2,3.7796192169189453,10,,
11475,776,-15.112936973571777,121134,121235,0.0003,181.63277775999995,204.15,2.796046733856201,10,,
11601,780,-13.663881301879883,122431,122532,0.0003,194.71294845999998,212.18,3.44820237159729,10,,
11747,784,-13.713021278381348,124007,124108,0.0003,194.47303995000001,224.09,2.5849509239196777,10,,
11928,788,-14.313934326171875,125922,126023,0.0003,210.20157552,233.55,3.3490543365478516,10,,
12070,792,-16.145580291748047,127406,127507,0.0003,241.52544240000003,244.09,2.635611057281494,10,,
12141,796,-14.446917533874512,128089,128190,0.0003,206.33178046,239.5,4.992133140563965,10,,
12241,800,-14.011398315429688,129189,129290,0.0003,202.6650899,235.21,4.099652290344238,10,,
12287,804,-15.093457221984863,129720,129821,0.0003,207.90935575999995,239.7,3.5997872352600098,10,,
12401,808,-13.131536483764648,131164,131265,0.0003,189.56281,243.07,5.573161602020264,10,,
12443,812,-14.914462089538574,131612,131713,0.0003,159.81239532,231.81,4.816407680511475,10,,
12546,816,-15.830362319946289,132820,132921,0.0003,159.81433813,234.33,2.7047297954559326,10,,
12625,820,-15.209531784057617,133747,133848,0.0003,169.76923868999998,236.33,5.959088325500488,10,,
12676,824,-14.773187637329102,134299,134400,0.0003,142.46357795999998,225.89,5.030211448669434,10,,
12793,828,-16.259357452392578,135670,135771,0.0003,162.54725707,233.64,2.4733362197875977,10,,
12810,832,-15.691244125366211,135859,135960,0.0003,157.89789339,229.58,1.9181745052337646,10,,
12865,836,-15.140714645385742,136544,136645,0.0003,160.97996831,231.35,4.416439056396484,10,,
12901,840,-14.327909469604492,136935,137036,0.0003,152.8971587,223.4,3.8840091228485107,10,,
13021,844,-15.393067359924316,138186,138287,0.0003,182.03103184999998,229.21,2.654487133026123,10,,
13156,848,-16.108230590820312,139736,139837,0.0003,207.41027757999996,233.67,3.0567896366119385,10,,
13199,852,-16.58551788330078,140228,140329,0.0003,207.65353686999998,231.66,3.206446647644043,10,,
13381,856,-16.12068748474121,142355,142456,0.0003,238.85325574,239.71,3.27463960647583,10,,
13447,860,-16.222034454345703,143142,143243,0.0003,244.66122311999996,245.74,3.6338915824890137,10,,
13523,864,-15.436100006103516,143964,144065,0.0003,253.11325732,250.47,4.281190872192383,10,,
13568,868,-15.803324699401855,144472,144573,0.0003,243.74781,247.33,4.434027671813965,10,,
13678,872,-16.808361053466797,145595,145696,0.0003,251.35352188000005,250.93,2.552865982055664,10,,
13756,876,-15.900262832641602,146443,146544,0.0003,262.54769726,253.09,3.888977289199829,10,,
13807,880,-15.122957229614258,147010,147111,0.0003,252.40026691,245.79,4.959300994873047,10,,
13848,884,-15.457454681396484,147443,147544,0.0003,255.57190529,234.36,3.8563179969787598,10,,
13997,888,-16.196096420288086,149099,149200,0.0003,248.40556698,231.77,3.4712629318237305,10,,
14028,892,-14.945576667785645,149446,149547,0.0003,223.91679473999997,220.4,2.8987112045288086,10,,
14064,896,-14.589131355285645,149723,149824,0.0003,247.20445309,216.34,4.797514915466309,10,,
14150,900,-16.688899993896484,150549,150650,0.0003,240.69345308,213.6,3.3733856678009033,10,,
14291,904,-15.711864471435547,151955,152056,0.0003,258.58597076,222.35,3.2485828399658203,10,,
14352,908,-16.552047729492188,152518,152619,0.0003,266.69235956999995,213.54,4.65609073638916,10,,
14445,912,-15.238591194152832,153382,153483,0.0003,263.9166623599999,217.7,3.7967417240142822,10,,
14487,916,-16.436595916748047,153774,153875,0.0003,256.09454616,209.54,3.729947328567505,10,,
14533,920,-14.474510192871094,154213,154314,0.0003,243.44325331999997,204.66,5.727508544921875,10,,
14691,924,-16.716096878051758,156088,156189,0.0003,259.13606126,217.89,2.59850811958313,10,,
14735,928,-16.790185928344727,156527,156628,0.0003,243.06148194000005,208.57,3.491185188293457,10,,
14768,932,-17.91231346130371,156896,156997,0.0003,246.64415752000002,210.37,2.2271575927734375,10,,
14876,936,-16.264007568359375,158143,158244,0.0003,262.03983360999996,215.99,4.303786277770996,10,,
15000,940,-15.7037992477417,159654,159755,0.0003,276.62919325999997,227.19,3.0696218013763428,10,,
15048,944,-16.470415115356445,160149,160250,0.0003,255.10997692,219.63,3.9018921852111816,10,,
15166,948,-14.397771835327148,161732,161833,0.0003,225.41650394000004,219.96,5.272343635559082,10,,
15320,952,-15.978059768676758,163525,163626,0.0003,245.06609813999995,232.97,3.3319239616394043,10,,
15412,956,-16.255859375,164664,164765,0.0003,220.09886912000002,223.09,1.9085561037063599,10,,
15508,960,-16.514209747314453,165831,165932,0.0003,222.30385059000002,226.89,4.042199611663818,10,,
15594,964,-16.093994140625,166818,166919,0.0003,221.42133104,228.54,3.5840084552764893,10,,
15618,968,-15.559059143066406,167076,167177,0.0003,223.58275467999997,226.04,3.808828830718994,10,,
15679,972,-16.119102478027344,167610,167711,0.0003,198.17640039999995,220.15,4.518772602081299,10,,
15759,976,-16.954410552978516,168350,168451,0.0003,202.21531782,219.07,3.421140670776367,10,,
15797,980,-17.165634155273438,168738,168839,0.0003,195.53909566000002,217.28,3.910529136657715,10,,
15833,984,-14.420938491821289,169134,169235,0.0003,195.48462063000002,216.91,2.189870834350586,10,,
15929,988,-15.843998908996582,170085,170186,0.0003,191.88976138,209.86,4.025970458984375,10,,
16055,992,-15.670633316040039,171368,171469,0.0003,165.20642263999997,219.22,3.4981203079223633,10,,
16178,996,-14.84425163269043,172555,172656,0.0003,184.63433347999998,228.32,5.168863296508789,10,,
16304,1000,-17.36626625061035,173914,174015,0.0003,198.05098712,233.65,3.45379376411438,10,,
16489,1004,-15.456692695617676,175691,175792,0.0003,192.81275236000002,237.36,4.032514572143555,10,,
16541,1008,-16.395099639892578,176219,176320,0.0003,187.00626040999998,237.01,2.568648338317871,10,,
16611,1012,-16.941219329833984,176887,176988,0.0003,200.09015050999997,235.05,5.501028060913086,10,,
16721,1016,-17.050134658813477,178001,178102,0.0003,205.67135113,242.27,5.489434242248535,10,,
16808,1020,-15.638557434082031,178888,178989,0.0003,217.00879301,246.75,5.133667945861816,10,,
16918,1024,-14.504544258117676,180041,180142,0.0003,217.71024368000002,239.53,5.125332355499268,10,,
16980,1028,-16.05968475341797,180805,180906,0.0003,224.44992491000002,242.78,2.403630256652832,10,,
17040,1032,-17.594070434570312,181464,181565,0.0003,230.35804706000002,245.68,2.6676223278045654,10,,
17105,1036,-16.607967376708984,182117,182218,0.0003,219.30924632999998,239.74,3.106597661972046,10,,
17259,1040,-18.888492584228516,183707,183808,0.0003,242.60016440999996,240.53,3.026930332183838,10,,
17412,1044,-16.381505966186523,185244,185345,0.0003,265.57996361000005,250.95,3.6070423126220703,10,,
17544,1048,-18.96954917907715,186641,186742,0.0003,291.54161292000003,249.09,2.8568496704101562,10,,
17730,1052,-18.273155212402344,188738,188839,0.0003,315.31913297000006,252.13,3.3467884063720703,10,,
17851,1056,-17.608760833740234,189927,190028,0.0003,319.44700978000003,252.63,4.833817481994629,10,,
17906,1060,-18.16854476928711,190511,190612,0.0003,320.60967925000006,246.8,3.4493749141693115,10,,
17991,1064,-18.9757022857666,191520,191621,0.0003,329.79347104,247.02,4.727534294128418,10,,
18226,1068,-17.92633819580078,193871,193972,0.0003,385.82793063,267.95,6.580492973327637,10,,
18339,1072,-18.63471221923828,195120,195221,0.0003,415.3416227200001,275.1,1.8749949932098389,10,,
18446,1076,-18.50532341003418,196433,196534,0.0003,418.57080022,280.83,2.27350115776062,10,,
18523,1080,-17.836734771728516,197329,197430,0.0003,433.07253181,285.91,2.0232315063476562,10,,
18669,1084,-17.647109985351562,198941,199042,0.0003,467.00702406,298.07,4.389733791351318,10,,
,,-19.343185424804688,199899,200000,0.0003,,,4.570657730102539,,2617.1651806,1000.0
19220,1088,-19.43111801147461,200711,200812,0.0003,474.08339255,306.26,2.936394691467285,10,,
19278,1092,-17.810482025146484,201437,201538,0.0003,506.31366935000005,300.69,1.6741517782211304,10,,
19401,1096,-17.60487174987793,202901,203002,0.0003,505.77933379,303.46,4.807444095611572,10,,
19569,1100,-19.71208953857422,204899,205000,0.0003,506.95639083000003,309.85,2.1534552574157715,10,,
19735,1104,-19.431026458740234,206838,206939,0.0003,529.9600170800001,311.47,3.2375144958496094,10,,
19765,1108,-19.083667755126953,207141,207242,0.0003,527.52947481,309.22,2.330726385116577,10,,
19969,1112,-18.492412567138672,209665,209766,0.0003,552.12936998,327.78,2.622774600982666,10,,
20202,1116,-19.119789123535156,211838,211939,0.0003,586.4207450099999,338.37,2.657440185546875,10,,
20323,1120,-17.9556884765625,213177,213278,0.0003,602.54781897,342.89,2.8095955848693848,10,,
20505,1124,-19.59844398498535,215171,215272,0.0003,624.29731076,351.3,1.588320016860962,10,,
