time/time_elapsed,time/episodes,train/actor_loss,train/n_updates,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/critic_loss,time/fps,eval/mean_reward,eval/mean_ep_length
28,4,1.3640120029449463,106,207,0.0003,-93.192165,51.75,3.3200461864471436,7,,
35,8,1.4839324951171875,170,271,0.0003,-62.504833125000005,33.875,5.91029167175293,7,,
42,12,1.7545572519302368,227,328,0.0003,-49.17201816666665,27.333333333333332,4.244372367858887,7,,
50,16,1.97182035446167,285,386,0.0003,-41.6113303125,24.125,6.852606773376465,7,,
57,20,1.89509916305542,335,436,0.0003,-36.31105225,21.8,4.860799312591553,7,,
65,24,2.8984739780426025,394,495,0.0003,-36.193334,20.625,6.418268203735352,7,,
78,28,2.4383704662323,461,562,0.0003,-34.02633157142858,20.071428571428573,4.506855010986328,7,,
85,32,3.0959348678588867,508,609,0.0003,-35.64752909375,19.03125,5.738486289978027,7,,
93,36,3.096555709838867,574,675,0.0003,-34.92639486111111,18.75,5.2864556312561035,7,,
100,40,3.5195083618164062,627,728,0.0003,-35.14022235,18.2,5.600824356079102,7,,
108,44,3.619054079055786,693,794,0.0003,-33.63905527272727,18.045454545454547,5.063998222351074,7,,
122,48,4.036602020263672,826,927,0.0003,-33.439033458333334,19.3125,4.928398132324219,7,,
171,52,4.146247863769531,945,1046,0.0003,-32.30193094230769,20.115384615384617,5.245391845703125,6,,
183,56,2.889248847961426,1042,1143,0.0003,-31.82602094642857,20.410714285714285,5.148758411407471,6,,
192,60,3.6879777908325195,1123,1224,0.0003,-30.28725143333333,20.4,4.161158084869385,6,,
201,64,3.589329957962036,1197,1298,0.0003,-29.1858304375,20.28125,4.766385078430176,6,,
210,68,3.3139214515686035,1280,1381,0.0003,-27.94957155882353,20.308823529411764,3.6344149112701416,6,,
218,72,3.950148582458496,1351,1452,0.0003,-26.71812386111111,20.166666666666668,6.016897201538086,6,,
234,76,3.410073757171631,1428,1529,0.0003,-26.633284381578946,20.11842105263158,4.25723934173584,6,,
243,80,4.20509147644043,1502,1603,0.0003,-25.525950225000003,20.0375,5.414673328399658,6,,
250,84,2.8342926502227783,1556,1657,0.0003,-25.17504320238096,19.726190476190474,5.507816314697266,6,,
