rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/episodes,train/actor_loss,time/total_timesteps,time/fps,train/learning_rate,time/time_elapsed,train/critic_loss,eval/mean_ep_length,eval/mean_reward
-142.63611275,173,68.5,4,2.031076431274414,274,8,0.0002,31,3.2713794708251953,,
-83.671736,251,44.0,8,2.267972469329834,352,8,0.0002,40,4.338674545288086,,
-116.91266175,430,44.25,12,4.563302516937256,531,9,0.0002,57,7.671801567077637,,
-93.1789569375,502,37.6875,16,3.8859212398529053,603,9,0.0002,65,3.3427894115448,,
-75.69591654999999,557,32.9,20,3.7142231464385986,658,9,0.0002,72,4.3548383712768555,,
-65.62217058333333,609,29.583333333333332,24,4.533611297607422,710,9,0.0002,78,3.446763038635254,,
-59.90497267857143,657,27.071428571428573,28,4.392413139343262,758,8,0.0002,91,3.7538583278656006,,
-57.463418687499995,718,25.59375,32,5.409548759460449,819,8,0.0002,99,4.311783790588379,,
-56.02729125,779,24.444444444444443,36,4.947822093963623,880,8,0.0002,107,5.34346866607666,,
-53.4971897,847,23.7,40,5.9847025871276855,948,8,0.0002,116,4.240566253662109,,
-51.491097363636364,922,23.25,44,5.245695114135742,1023,8,0.0002,127,3.9708058834075928,,
-52.961255041666675,986,22.645833333333332,48,5.925488471984863,1087,7,0.0002,136,5.896912574768066,,
-50.68542371153847,1034,21.826923076923077,52,6.416613578796387,1135,7,0.0002,149,4.912150859832764,,
-49.620386,1089,21.25,56,5.902407169342041,1190,7,0.0002,157,5.517107963562012,,
-48.264360683333344,1139,20.666666666666668,60,6.443467617034912,1240,7,0.0002,164,4.082177639007568,,
-47.432543718750004,1186,20.109375,64,7.006340026855469,1287,7,0.0002,171,6.825585842132568,,
-47.101887455882355,1251,19.88235294117647,68,7.527469635009766,1352,7,0.0002,180,5.214784622192383,,
-47.052503791666666,1306,19.541666666666668,72,7.104293346405029,1407,7,0.0002,188,7.228277206420898,,
-46.18207896052632,1366,19.30263157894737,76,8.308965682983398,1467,7,0.0002,203,5.605523109436035,,
-44.713697975,1437,19.225,80,7.40374231338501,1538,7,0.0002,211,5.853904724121094,,
-45.81494752380953,1533,19.452380952380953,84,7.680319786071777,1634,7,0.0002,222,5.6524434089660645,,
-44.52904935227273,1585,19.15909090909091,88,8.669897079467773,1686,7,0.0002,229,7.515795707702637,,
-43.52763547826087,1647,19.0,92,8.695352554321289,1748,7,0.0002,237,4.836033821105957,,
-42.75959809374999,1705,18.8125,96,8.602210998535156,1806,7,0.0002,245,6.452140808105469,,
-42.25807652999999,1777,18.78,100,8.164663314819336,1878,7,0.0002,259,6.782398700714111,,
-37.6850497,1834,16.61,104,8.67366886138916,1935,7,0.0002,267,6.4310712814331055,,
-37.381402269999995,1909,16.58,108,8.956981658935547,2010,7,0.0002,276,5.95370626449585,,
-31.115043780000004,1960,15.3,112,9.032944679260254,2061,7,0.0002,283,8.283889770507812,,
-30.94599958,2030,15.28,116,8.916110038757324,2131,7,0.0002,293,5.431497573852539,,
-31.66061454,2082,15.25,120,9.29371166229248,2183,7,0.0002,300,8.564339637756348,,
-33.60704363,2224,16.15,124,8.745945930480957,2325,7,0.0002,316,5.469671249389648,,
-33.02356736000001,2293,16.36,128,9.06817626953125,2394,7,0.0002,330,7.037261486053467,,
-32.18503298,2338,16.2,132,9.680293083190918,2439,7,0.0002,336,5.435458660125732,,
-31.279027819999996,2400,16.21,136,9.610698699951172,2501,7,0.0002,344,5.484132766723633,,
-30.833667670000004,2449,16.02,140,9.630193710327148,2550,7,0.0002,350,6.803397178649902,,
-30.714750480000003,2493,15.71,144,9.2444429397583,2594,7,0.0002,356,6.007865905761719,,
-28.812114870000002,2537,15.51,148,9.856378555297852,2638,7,0.0002,362,6.467166423797607,,
-30.484078679999996,2693,16.59,152,9.365619659423828,2794,7,0.0002,384,6.289002895355225,,
-31.20438267,2789,17.0,156,9.452740669250488,2890,7,0.0002,394,7.633643627166748,,
-30.872682030000007,2853,17.14,160,10.322285652160645,2954,7,0.0002,402,6.533143043518066,,
-30.44772176,2917,17.31,164,10.161320686340332,3018,7,0.0002,410,6.608526229858398,,
-29.446099619999995,2987,17.36,168,9.95499324798584,3088,7,0.0002,418,6.500767230987549,,
-28.61802663,3053,17.47,172,11.051549911499023,3154,7,0.0002,426,4.796359062194824,,
-29.551024369999997,3148,17.82,176,10.263077735900879,3249,7,0.0002,443,6.174359321594238,,
-30.50276718999999,3275,18.38,180,10.460079193115234,3376,7,0.0002,456,8.03902816772461,,
-28.571958489999997,3341,18.08,184,10.779696464538574,3442,7,0.0002,464,7.696087837219238,,
-28.369900649999998,3397,18.12,188,11.281200408935547,3498,7,0.0002,472,8.102778434753418,,
-28.800048559999997,3460,18.13,192,10.490045547485352,3561,7,0.0002,479,6.838942050933838,,
-29.014575659999995,3525,18.2,196,10.558906555175781,3626,7,0.0002,488,7.325389862060547,,
-28.07090293,3578,18.01,200,9.148341178894043,3679,7,0.0002,501,5.175900459289551,,
-36.81926137,3796,19.62,204,10.745116233825684,3897,7,0.0002,521,9.769553184509277,,
-37.85111548,3973,20.64,208,8.998644828796387,4074,7,0.0002,538,13.366506576538086,,
-41.45588716,4204,22.44,212,7.647759437561035,4305,7,0.0002,559,6.1663055419921875,,
-40.95777889000001,4321,22.91,216,8.300394058227539,4422,7,0.0002,570,7.404597282409668,,
-40.29309545,4433,23.51,220,7.6187214851379395,4534,7,0.0002,580,7.78864049911499,,
-38.14353703,4615,23.91,224,6.699031352996826,4716,7,0.0002,597,5.382358551025391,,
-40.74959846,4835,25.42,228,6.491176605224609,4936,7,0.0002,624,6.107573986053467,,
-41.13520772,5083,27.45,232,7.249980926513672,5184,7,0.0002,651,5.5850090980529785,,
-44.6789272,5293,28.93,236,6.576910018920898,5394,7,0.0002,679,8.010239601135254,,
-44.357248180000006,5406,29.57,240,6.456252098083496,5507,7,0.0002,693,4.81533145904541,,
-43.75703624,5463,29.7,244,6.470016956329346,5564,7,0.0002,702,6.962453842163086,,
-43.676445109999996,5581,30.44,248,6.246218681335449,5682,7,0.0002,715,5.32415246963501,,
-44.99238324000001,5799,31.06,252,5.881594181060791,5900,7,0.0002,744,4.613631248474121,,
-47.33514784999999,6045,32.56,256,6.300220489501953,6146,7,0.0002,768,5.210369110107422,,
-46.893081030000005,6206,33.53,260,5.483972549438477,6307,8,0.0002,785,5.846319198608398,,
-46.29643087,6315,33.98,264,6.041447162628174,6416,8,0.0002,798,4.7709059715271,,
-45.96816108,6392,34.05,268,6.285153865814209,6493,8,0.0002,809,5.615838050842285,,
-46.21177603,6514,34.61,272,5.830400466918945,6615,8,0.0002,823,7.851176738739014,,
-44.621765589999995,6585,34.37,276,6.024182319641113,6686,7,0.0002,839,7.519895553588867,,
-44.045577509999994,6719,34.44,280,6.184726715087891,6820,7,0.0002,854,6.438360691070557,,
