rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/fps,train/learning_rate,train/actor_loss,train/critic_loss,time/episodes,time/time_elapsed,time/total_timesteps,eval/mean_reward,eval/mean_ep_length
-302.17609924999994,59,40.0,8,0.00035,8.58184814453125,24.61676788330078,4,18,160,,
-186.311390375,127,28.5,8,0.00035,5.32454776763916,21.438812255859375,8,25,228,,
-143.19712791666666,191,24.333333333333332,9,0.00035,5.581033706665039,23.792015075683594,12,32,292,,
-122.07517462499999,245,21.625,9,0.00035,5.735167503356934,23.309913635253906,16,37,346,,
-109.87777789999998,304,20.25,9,0.00035,6.870453357696533,24.317855834960938,20,43,405,,
-100.30331658333334,356,19.041666666666668,9,0.00035,6.471859931945801,25.750185012817383,24,49,457,,
-92.90645203571428,421,18.642857142857142,8,0.00035,7.596817493438721,23.99620819091797,28,60,522,,
-87.12825674999999,504,18.90625,8,0.00035,8.307356834411621,24.16067123413086,32,68,605,,
-83.22918080555554,571,18.666666666666668,9,0.00035,7.435948371887207,22.011220932006836,36,74,672,,
-81.12716989999998,632,18.325,9,0.00035,8.473363876342773,24.313913345336914,40,80,733,,
-79.34068049999999,689,17.954545454545453,9,0.00035,9.29959774017334,27.765134811401367,44,86,790,,
-78.03123095833332,745,17.625,9,0.00035,8.76614761352539,25.31450653076172,48,92,846,,
-77.72268478846154,818,17.673076923076923,8,0.00035,8.578466415405273,28.329504013061523,52,103,919,,
-77.01341369642857,869,17.321428571428573,8,0.00035,7.563399314880371,22.20894432067871,56,109,970,,
-75.94315543333332,928,17.15,8,0.00035,8.510610580444336,24.376195907592773,60,115,1029,,
-74.10222839062499,981,16.90625,8,0.00035,9.754353523254395,29.562015533447266,64,121,1082,,
-73.14543086764704,1046,16.86764705882353,9,0.00035,7.624179840087891,24.145259857177734,68,127,1147,,
-72.68649787500001,1109,16.805555555555557,9,0.00035,9.4871826171875,26.905040740966797,72,133,1210,,
-72.78783713157897,1187,16.94736842105263,7,0.00035,10.741403579711914,26.168912887573242,76,175,1288,,
-72.2197265625,1263,17.05,7,0.00035,9.459075927734375,23.51522445678711,80,183,1364,,
-71.90880913095238,1313,16.833333333333332,7,0.00035,12.208084106445312,25.038841247558594,84,189,1414,,
-73.80510464772728,1404,17.102272727272727,7,0.00035,10.181102752685547,28.228090286254883,88,198,1505,,
-81.07106260869566,1570,18.16304347826087,7,0.00035,12.630315780639648,19.78797149658203,92,212,1671,,
-79.75683960416667,1663,18.375,7,0.00035,12.02578353881836,24.989744186401367,96,221,1764,,
-79.46697703000001,1738,18.39,7,0.00035,14.03149700164795,22.03816795349121,100,235,1839,,
-69.44183124999999,1816,17.57,7,0.00035,12.062606811523438,27.937007904052734,104,242,1917,,
-68.81292096000001,1904,17.77,7,0.00035,13.21693229675293,23.85919189453125,108,250,2005,,
-69.17060715,1974,17.83,8,0.00035,11.113809585571289,30.64037322998047,112,257,2075,,
-68.93572672999998,2069,18.24,8,0.00035,10.671964645385742,32.72309112548828,116,265,2170,,
-78.10017285999999,2284,19.8,8,0.00035,11.598005294799805,22.104896545410156,120,281,2385,,
-79.45070120999999,2352,19.96,8,0.00035,11.64959716796875,28.532554626464844,124,288,2453,,
-79.41841611,2458,20.37,8,0.00035,10.372249603271484,22.47150421142578,128,302,2559,,
-80.77576948999999,2528,20.24,8,0.00035,10.060020446777344,25.643421173095703,132,309,2629,,
-81.67112011999998,2605,20.34,8,0.00035,11.64232063293457,29.355192184448242,136,316,2706,,
-91.08133613,2902,22.7,8,0.00035,12.00275993347168,24.11615562438965,140,337,3003,,
-90.95439835000003,3058,23.69,9,0.00035,10.177976608276367,22.80997085571289,144,350,3159,,
-93.92822148,3172,24.27,9,0.00035,10.477071762084961,28.78934669494629,148,360,3273,,
-95.66065925999999,3281,24.63,8,0.00035,11.717370986938477,33.36848449707031,152,376,3382,,
-95.75379041000002,3358,24.89,8,0.00035,11.44936752319336,27.3887996673584,156,384,3459,,
-95.89728806000001,3418,24.9,8,0.00035,9.019460678100586,25.78626251220703,160,391,3519,,
-97.43471222,3513,25.32,9,0.00035,9.41160774230957,23.37284278869629,164,399,3614,,
-97.68951755,3591,25.45,9,0.00035,10.045970916748047,31.6944580078125,168,408,3692,,
-97.93497116,3672,25.63,9,0.00035,7.207303047180176,27.799209594726562,172,416,3773,,
-98.3658781,3806,26.19,9,0.00035,9.057323455810547,31.213712692260742,176,432,3907,,
-96.94546369,3936,26.73,9,0.00035,7.711215019226074,21.344158172607422,180,443,4037,,
-97.06885393,3997,26.84,9,0.00035,6.146049499511719,20.57659912109375,184,449,4098,,
-95.89082365,4110,27.06,9,0.00035,7.332137584686279,21.336336135864258,188,458,4211,,
-88.22706652999999,4291,27.21,9,0.00035,5.800274848937988,29.757160186767578,192,472,4392,,
-90.08507698999998,4469,28.06,9,0.00035,6.530409812927246,24.5086669921875,196,487,4570,,
-88.94808017000001,4694,29.56,9,0.00035,4.773509979248047,25.756614685058594,200,509,4795,,
-89.84766945000001,4867,30.51,9,0.00035,5.009209632873535,23.446372985839844,204,524,4968,,
-92.34509162999998,4989,30.85,9,0.00035,6.932620525360107,30.66372299194336,208,534,5090,,
-101.97573753,5180,32.06,9,0.00035,4.651248931884766,25.421573638916016,212,550,5281,,
-103.1552693,5267,31.98,9,0.00035,3.877652645111084,35.84064483642578,216,558,5368,,
-97.73252723,5376,30.92,9,0.00035,6.2165045738220215,23.127273559570312,220,568,5477,,
-98.11589231000002,5525,31.73,9,0.00035,5.956087112426758,24.661884307861328,224,580,5626,,
