time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/clip_fraction,train/explained_variance,train/value_loss,train/std,train/entropy_loss,train/n_updates,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
12,103.10526315789474,2048,-508.602659631579,159,1,,,,,,,,,,,,,
12,103.07692307692308,4096,-508.9408538974359,329,2,0.04557291798992082,-0.0013425350189208984,783.4981231689453,0.22422759234905243,0.15745310187339784,10,0.00680203,319.63677978515625,0.3,0.00039983616,-0.005844283759942925,,
12,103.15254237288136,6144,-508.88534388135594,487,3,0.06941406497790012,1.2695789337158203e-05,688.2808990478516,0.2258111536502838,0.1458585798740387,20,0.0142417485,320.939697265625,0.3,0.00039967232,-0.004196867434075102,,
12,103.25316455696202,8192,-508.9360358734177,647,4,0.05412760614417493,3.260374069213867e-05,635.5004028320312,0.22724711894989014,0.13183061480522157,30,0.014935086,302.9771728515625,0.3,0.00039950848,-0.0068930104625178675,,
13,103.26262626262626,10240,-509.00883214141413,781,5,0.03087239641463384,9.000301361083984e-06,594.4074829101562,0.22875818610191345,0.11935979127883911,40,0.0115260985,282.0841064453125,0.3,0.00039934464,-0.0039182992791758405,,
13,103.34,12288,-509.04445999999996,920,6,0.030026042385725305,8.940696716308594e-06,559.5822875976562,0.23002828657627106,0.10684452652931213,50,0.0114124995,263.8947448730469,0.3,0.0003991808,-0.0018514153378781373,,
13,103.4,14336,-508.8434646600001,1076,7,0.10322916819714009,0.0,527.7680511474609,0.23148387670516968,0.09512830972671509,60,0.010834219,252.26748657226562,0.3,0.00039901696000000004,-0.007455338877625728,,
13,103.38,16384,-508.82418991,1235,8,0.06769531413447112,1.6093254089355469e-06,493.1479949951172,0.2326337695121765,0.08366026878356933,70,0.018474022,236.0684814453125,0.3,0.00039885312,-0.004789764301385802,,
13,103.27,18432,-508.88805768000003,1386,9,0.04639323055744171,-1.430511474609375e-06,460.9607849121094,0.23351240158081055,0.07500786185264588,80,0.013122829,220.7882843017578,0.3,0.00039868928000000005,-0.003598035221802931,,
,,20000,,,,0.04278645904851146,8.940696716308594e-07,432.9690887451172,0.23449094593524933,0.06730931997299194,90,0.01633046,206.57984924316406,0.3,0.00039852544000000003,-0.0038982054566986334,103.0,-509.91249448247254
12,102.93,20480,-507.41621135,1589,10,,,,,,,,,,,,,
12,102.9,22528,-507.3436535,1752,11,0.029882813175208866,0.0,403.8085433959961,0.23576109111309052,0.057683002948760984,100,0.00955805,190.38682556152344,0.3,0.0003983616,-0.003651032850721947,,
12,102.83,24576,-507.53158406,1912,12,0.02013020870508626,1.430511474609375e-06,374.78761291503906,0.2368379533290863,0.04747456908226013,110,0.008991854,177.4815216064453,0.3,0.00039819776000000004,-0.0015991063299956921,,
12,102.84,26624,-507.58588806000006,2071,13,0.07858073118259198,9.5367431640625e-07,350.66519622802736,0.23855739831924438,0.036468911170959475,120,0.029757615,168.7268524169922,0.3,0.00039803392,-0.009288364859530728,,
12,103.59,28672,-511.02196316000004,2224,14,0.04263020919752307,-2.384185791015625e-07,324.96703033447267,0.23981481790542603,0.022737807035446166,130,0.0149192875,155.37660217285156,0.3,0.00039787008,-0.0033688630509281837,,
12,103.87,30720,-512.5348754400001,2379,15,0.043203125899890435,3.5762786865234375e-07,302.7087890625,0.24155095219612122,0.011600983142852784,140,0.0080972025,141.287109375,0.3,0.00039770624,-0.003157472166221709,,
12,103.8,32768,-512.6582305200001,2533,16,0.0234505214553792,3.5762786865234375e-07,279.9073791503906,0.24392810463905334,-0.0056303441524505615,150,0.005869138,130.19415283203125,0.3,0.0003975424,-0.0022676744300408557,,
12,103.8,34816,-512.69561981,2690,17,0.05960937602212653,1.7881393432617188e-07,258.3713088989258,0.24618074297904968,-0.025191891193389892,160,0.017546004,120.69647216796875,0.3,0.00039737856,-0.005275109971917047,,
12,103.79,36864,-512.7153865700001,2857,18,0.014518229392706417,1.1920928955078125e-06,239.4819763183594,0.24826020002365112,-0.04266883134841919,170,0.0068066707,112.83562469482422,0.3,0.00039721472000000006,-0.002565222832490477,,
12,103.04,38912,-509.2705575500001,3025,19,0.018580729555105792,5.364418029785156e-07,220.00946121215821,0.25049710273742676,-0.05962201952934265,180,0.006960241,104.50325775146484,0.3,0.00039705088000000004,-0.0021582940805819906,,
,,40000,,,,0.06921875183470547,4.76837158203125e-07,200.73115310668945,0.25223374366760254,-0.07637599110603333,190,0.021039099,93.79683685302734,0.3,0.00039688704,-0.004695441544172496,103.0,-509.00696054510775
12,102.32,40960,-505.62893761,3223,20,,,,,,,,,,,,,
