time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/clip_range,train/clip_fraction,train/learning_rate,train/std,train/n_updates,train/approx_kl,train/value_loss,train/entropy_loss,train/loss,train/explained_variance,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
1,136,15,85.34782608695652,2048,-394.7923101739131,,,,,,,,,,,,,
2,278,14,83.39583333333333,4096,-380.31454891666664,0.3,0.010312500232248566,0.00039983616,0.22469580173492432,10,0.0067094094,706.1540985107422,0.15537031888961791,287.164794921875,0.001197516918182373,-0.006422726563178216,,
3,434,14,73.8170731707317,6144,-331.14805314634145,0.3,0.028684896501363254,0.00039967232,0.22533005475997925,20,0.013730495,607.3852508544921,0.14456230998039246,291.2076721191406,-7.343292236328125e-05,-0.002287588867493895,,
4,581,14,70.86,8192,-316.7373458800001,0.3,0.05834635552018881,0.00039950848,0.22673170268535614,30,0.011635396,530.1334014892578,0.13738986253738403,248.0888671875,0.0020179152488708496,-0.006125151057786127,,
5,731,13,72.25,10240,-321.45177004,0.3,0.03986979286710266,0.00039934464,0.22799766063690186,40,0.0118670575,521.7760284423828,0.12435262799263,248.95254516601562,0.001416027545928955,-0.0026692962893866577,,
6,879,13,72.44,12288,-321.56022733000003,0.3,0.06696614713873714,0.0003991808,0.22951450943946838,50,0.013508581,503.5300598144531,0.11302233934402466,237.28884887695312,1.4901161193847656e-05,-0.0036666821240214807,,
7,1026,13,72.27,14336,-315.94337956,0.3,0.014518229677923955,0.00039901696000000004,0.2311672568321228,60,0.0024218953,434.45924682617186,0.09865959286689759,210.01622009277344,0.0021013617515563965,-0.0007640285017259885,,
8,1172,13,75.38,16384,-330.90014286999997,0.3,0.02968750064028427,0.00039885312,0.23150470852851868,70,0.010956783,433.48516540527345,0.08868332505226136,211.8097381591797,0.0013355016708374023,-0.0032700823142658873,,
9,1317,13,73.47,18432,-320.01570161,0.3,0.02053385485196486,0.00039868928000000005,0.23182225227355957,80,0.00811897,413.93425903320315,0.08787451982498169,195.13934326171875,0.0016461610794067383,-0.0026233664819756085,,
,,,,20000,,0.3,0.0098437501990702,0.00039852544000000003,0.232850581407547,90,0.0079175765,390.82309875488284,0.08171160817146302,190.7384033203125,1.4901161193847656e-05,-0.001970463344696327,57.0,-217.97878067651763
10,1493,13,73.61,20480,-325.09680016,,,,,,,,,,,,,
11,1637,13,66.93,22528,-290.89325085999997,0.3,0.026875000237487255,0.0003983616,0.23480597138404846,100,0.0077185566,354.42613830566404,0.06946648955345154,168.69375610351562,1.609325408935547e-05,-0.006261917735246314,,
12,1790,13,62.75,24576,-266.43564573,0.3,0.024257812811993063,0.00039819776000000004,0.2363065779209137,110,0.010780942,315.37635498046876,0.05340184569358826,154.7978515625,1.049041748046875e-05,-0.0024099795270013046,,
13,1941,13,65.84,26624,-280.44882711,0.3,0.01559895858517848,0.00039803392,0.23769688606262207,120,0.0035726868,319.48537292480466,0.0420346200466156,149.58920288085938,0.0037671923637390137,-0.0012913686013778403,,
14,2087,13,66.78,28672,-286.12000009,0.3,0.03291666737059131,0.00039787008,0.23940172791481018,130,0.013043277,300.1841110229492,0.028587639331817627,144.40316772460938,0.0087355375289917,-0.005243081549670059,,
15,2243,13,63.86,30720,-276.04244661,0.3,0.03954427153803408,0.00039770624,0.24100086092948914,140,0.010939976,280.25659637451173,0.015097808837890626,134.39407348632812,4.470348358154297e-06,-0.003564184080460109,,
16,2411,13,63.57,32768,-276.44395754,0.3,0.04912760557490401,0.0003975424,0.2426815927028656,150,0.016798396,256.2343719482422,0.0012762248516082764,123.04964447021484,8.881092071533203e-06,-0.002800419014238287,,
17,2564,13,62.38,34816,-276.61639425,0.3,0.032473959209164606,0.00039737856,0.24420788884162903,160,0.0103402715,246.27924118041992,-0.012114506959915162,119.40792083740234,4.827976226806641e-06,-0.005670818137295974,,
18,2715,13,70.24,36864,-317.29247395,0.3,0.1049479196575703,0.00039721472000000006,0.24628368020057678,170,0.01899099,225.66446075439453,-0.02591642737388611,109.02608489990234,5.9604644775390625e-06,-0.003753816916978536,,
19,2863,13,76.01,38912,-347.18804303999997,0.3,0.03723958428017795,0.00039705088000000004,0.2481846809387207,180,0.011071499,213.9268798828125,-0.0431459903717041,103.18768310546875,0.003970026969909668,-0.004469779302598909,,
,,,,40000,,0.3,0.02838541766977869,0.00039688704,0.25028863549232483,190,0.013193877,211.212638092041,-0.058700019121170045,101.20799255371094,0.0010393261909484863,-0.006396307550312485,54.4,-218.34366787876934
20,3041,13,72.8,40960,-330.42699724000005,,,,,,,,,,,,,
21,3197,13,70.85,43008,-319.99193754000004,0.3,0.061575522064231336,0.00039672320000000004,0.25147545337677,200,0.024119515,191.26935195922852,-0.07285071611404419,88.31878662109375,0.004697084426879883,-0.004578463820798895,,
22,3344,13,71.73,45056,-323.68978231,0.3,0.023098958781338295,0.00039655936,0.2534846067428589,210,0.009484535,179.55087509155274,-0.08382562398910523,85.9605941772461,3.2782554626464844e-06,-0.0037590570448083004,,
23,3491,13,72.44,47104,-329.83188375000003,0.3,0.03746093803201802,0.00039639552,0.25508129596710205,220,0.006525854,174.32947387695313,-0.09980267286300659,82.823486328125,1.0728836059570312e-06,-0.002971377541689435,,
24,3640,13,69.65,49152,-315.97566732999996,0.3,0.03385416762903333,0.00039623168000000003,0.2571560740470886,230,0.009068276,156.89661331176757,-0.11270807385444641,73.19471740722656,0.004035055637359619,-0.003113062080956297,,
25,3789,13,73.73,51200,-337.83494638000013,0.3,0.02062500031897798,0.00039606784,0.2591463327407837,240,0.004816383,153.2069953918457,-0.12947896718978882,75.99471282958984,4.291534423828125e-06,-0.0043668489192714155,,
26,3944,13,73.27,53248,-332.40127894,0.3,0.0649348969804123,0.000395904,0.26119935512542725,250,0.013011444,135.18832664489747,-0.14436493515968324,61.33692932128906,0.004428744316101074,-0.0045937577390577685,,
27,4093,13,74.27,55296,-337.45622196000005,0.3,0.07761718976835255,0.00039574016,0.26458069682121277,260,0.024216436,142.92252426147462,-0.16459903717041016,67.1821517944336,0.00307387113571167,-0.006959916190244259,,
28,4264,13,75.78,57344,-342.97416668000005,0.3,0.07632812607917003,0.00039557632,0.2670246958732605,270,0.017234363,132.36642036437988,-0.18867130279541017,64.26631927490234,0.006019234657287598,-0.00738222766784018,,
29,4407,13,76.94,59392,-348.9460443,0.3,0.07518229316920041,0.00039541248,0.26720231771469116,280,0.019653998,135.61343688964843,-0.1984563648700714,65.03040313720703,3.0994415283203125e-06,-0.005458542648702857,,
,,,,60000,,0.3,0.07541666908073238,0.00039524864000000005,0.26872438192367554,290,0.0075976253,114.30863227844239,-0.20272051692008972,54.750553131103516,2.562999725341797e-06,-0.005706228858325635,214.4,-19.800828875624575
30,4614,13,74.75,61440,-341.44329530000005,,,,,,,,,,,,,
31,4763,13,76.47,63488,-351.29049994,0.3,0.1462500047404319,0.00039508480000000003,0.27157044410705566,300,0.03423457,127.02914314270019,-0.2203165829181671,64.20831298828125,0.0041536688804626465,-0.004923756141215563,,
