rollout/ep_len_mean,train/actor_loss,train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,time/fps,time/episodes,train/critic_loss,eval/mean_reward,eval/mean_ep_length
17.041666666666668,7.8706159591674805,1535,1636,-37.49062301041667,231,0.0003,7,96,5.209397792816162,,
16.97,8.257936477661133,1596,1697,-36.641603599999996,245,0.0003,6,100,5.465000152587891,,
14.89,8.17713451385498,1644,1745,-28.62213463,252,0.0003,6,104,7.4157514572143555,,
14.8,9.2373046875,1708,1809,-27.8880544,260,0.0003,6,108,5.951704025268555,,
14.68,8.989739418029785,1771,1872,-27.75733171,269,0.0003,6,112,6.226851463317871,,
14.83,8.927186965942383,1853,1954,-28.30230312,279,0.0003,6,116,5.700446128845215,,
14.92,9.053503036499023,1918,2019,-29.176632250000008,288,0.0003,6,120,6.432209014892578,,
14.91,9.033479690551758,1971,2072,-29.39361225,295,0.0003,7,124,5.564864158630371,,
15.08,8.789189338684082,2039,2140,-28.94747957,309,0.0003,6,128,5.841087341308594,,
14.96,8.699580192565918,2081,2182,-28.00192421,315,0.0003,6,132,5.3233842849731445,,
15.07,9.988840103149414,2147,2248,-27.316756779999995,324,0.0003,6,136,4.959190368652344,,
14.88,10.65077018737793,2195,2296,-26.79970924,331,0.0003,6,140,5.2564167976379395,,
14.58,9.805017471313477,2236,2337,-26.03466569,337,0.0003,6,144,6.483918190002441,,
14.42,9.953659057617188,2284,2385,-24.02842349,343,0.0003,6,148,6.355615615844727,,
14.5,10.950939178466797,2345,2446,-24.03572893,358,0.0003,6,152,4.563297271728516,,
14.51,9.184015274047852,2403,2504,-23.357009019999996,366,0.0003,6,156,7.908044815063477,,
14.57,8.210026741027832,2459,2560,-23.33071571,373,0.0003,6,160,7.727794170379639,,
14.92,8.817771911621094,2541,2642,-23.056358139999997,383,0.0003,6,164,7.810614585876465,,
15.05,9.992544174194336,2614,2715,-22.72568694,393,0.0003,6,168,6.343320846557617,,
14.95,10.236361503601074,2658,2759,-21.539620239999998,399,0.0003,6,172,7.088823318481445,,
15.3,9.4747314453125,2756,2857,-21.15532486,416,0.0003,6,176,6.289276123046875,,
15.3,10.162796020507812,2824,2925,-20.657842390000006,424,0.0003,6,180,6.803412437438965,,
15.51,10.603464126586914,2899,3000,-20.610568429999997,433,0.0003,6,184,7.152685642242432,,
15.47,9.005080223083496,2952,3053,-20.49706714,440,0.0003,6,188,5.386458873748779,,
15.43,11.228362083435059,3010,3111,-20.19675235,448,0.0003,6,192,6.467490196228027,,
15.45,9.81919002532959,3080,3181,-20.86488175,456,0.0003,6,196,8.856277465820312,,
15.24,9.573406219482422,3120,3221,-20.60456596,468,0.0003,6,200,7.793399810791016,,
15.31,10.375663757324219,3175,3276,-20.34569512,475,0.0003,6,204,5.643982410430908,,
15.38,9.905056953430176,3246,3347,-20.924324040000005,484,0.0003,6,208,5.379485130310059,,
15.33,10.78762435913086,3304,3405,-20.92104745,490,0.0003,6,212,5.896661758422852,,
15.06,10.627074241638184,3359,3460,-20.140089839999998,497,0.0003,6,216,6.1404314041137695,,
14.91,11.416509628295898,3409,3510,-19.62471541,504,0.0003,6,220,7.177577495574951,,
14.92,10.734384536743164,3463,3564,-19.437192009999997,510,0.0003,6,224,7.401845932006836,,
14.78,9.530187606811523,3517,3618,-19.588157119999998,523,0.0003,6,228,5.147241115570068,,
14.99,10.084217071533203,3580,3681,-20.619840179999997,532,0.0003,6,232,4.827552795410156,,
14.83,11.074371337890625,3630,3731,-21.88157047,538,0.0003,6,236,8.763928413391113,,
14.88,10.076457977294922,3683,3784,-21.839995879999996,546,0.0003,6,240,6.324337959289551,,
15.14,11.231695175170898,3750,3851,-23.774840809999997,554,0.0003,6,244,6.353328704833984,,
15.15,11.313791275024414,3799,3900,-24.987392299999996,561,0.0003,6,248,5.02797269821167,,
15.6,11.217561721801758,3905,4006,-25.745566679999996,581,0.0003,6,252,7.389098167419434,,
