rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/std,train/value_loss,train/explained_variance,train/approx_kl,train/learning_rate,eval/mean_reward,eval/mean_ep_length
-73.85016164000001,1,18.02,4,2048,436,,,,,,,,,,,,,
-87.52999934999998,2,33.09,6,4096,667,10,-0.0024196431981128976,333.4312438964844,-1.4474324405193328,0.012829969261656516,0.2,0.5015698671340942,709.04150390625,-0.0019260644912719727,0.0034585362,0.00029987712,,
-72.63539179,3,18.87,5,6144,1032,20,-0.0025539405764149147,72.73548126220703,-1.4676200896501541,0.03196040416660253,0.2,0.5062994956970215,175.73722457885742,0.000729978084564209,0.0027186691,0.00029975423999999997,,
-60.635526729999995,4,20.69,5,8192,1387,30,-0.002258978351289587,197.74783325195312,-1.48175890147686,0.020236801396822556,0.2,0.5086765885353088,424.5540321350098,0.012878596782684326,0.0032688747,0.00029963136,,
-103.06262659,5,31.51,5,10240,1719,40,-0.003938837033877318,159.25482177734375,-1.4947118312120438,0.039186724222963674,0.2,0.5136808156967163,370.7338241577148,0.004987537860870361,0.005039476,0.00029950847999999996,,
-127.99899724999997,6,33.39,5,12288,2048,50,-0.002399737397723323,185.62974548339844,-1.5119147032499314,0.011465450547984802,0.2,0.5163831114768982,410.7199516296387,0.0011782646179199219,0.0026563036,0.0002993856,,
-98.73208415,7,30.72,6,14336,2366,60,-0.0024982861818560577,302.0205078125,-1.5183343142271042,0.015844332656706685,0.2,0.5174486637115479,624.0845916748046,0.0028067827224731445,0.003018661,0.00029926272,,
-58.14922399,8,32.02,6,16384,2656,70,-0.003036848419784033,160.44845581054688,-1.527214527130127,0.04342003144265618,0.2,0.521772027015686,305.0103843688965,0.0039550065994262695,0.004552448,0.00029913984,,
-91.89981742,9,46.07,6,18432,2920,80,-0.002383744022517931,121.24304962158203,-1.5534333795309068,0.038942158778081645,0.2,0.5304966568946838,237.1800678253174,-0.0008391141891479492,0.0041968864,0.00029901696,,
,,,,20000,,90,0.005246141449739039,110.5728988647461,-1.5845059782266617,0.16468750194762832,0.2,0.5380216836929321,221.5722412109375,0.0003560781478881836,0.0266169,0.00029889407999999997,-121.62056394964456,37.2
-134.38880685,10,40.96,6,20480,3280,,,,,,,,,,,,,
-179.0937768,11,46.02,6,22528,3569,100,0.011652281558698263,131.4976806640625,-1.6014470100402831,0.20834045304218307,0.2,0.539482831954956,282.7670043945312,0.018006443977355957,0.007063409,0.0002987712,,
-182.18135506000002,12,53.55,6,24576,3896,110,-0.00010864482055434887,120.00489807128906,-1.6052429258823395,0.0,0.2,0.5404736399650574,263.6407073974609,3.8564205169677734e-05,0.0010255115,0.00029864831999999996,,
-188.28174012,13,56.71,6,26624,4165,120,-0.004275192493983659,157.1615447998047,-1.6166178077459334,0.053544255625456574,0.2,0.546156644821167,312.367537689209,0.0002213120460510254,0.008749416,0.00029852544,,
-149.57531240999998,14,52.64,6,28672,4458,130,-0.0009305411127050744,193.30154418945312,-1.6316953986883163,0.014342003452475183,0.2,0.5475530624389648,399.3465209960938,-7.62939453125e-06,0.0029230597,0.00029840255999999995,,
