train/critic_loss,time/total_timesteps,time/episodes,train/learning_rate,time/time_elapsed,train/actor_loss,rollout/ep_len_mean,train/n_updates,time/fps,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
3.0255041122436523,184,4,0.00035,25,2.607816219329834,46.0,83,7,-120.238939,,
4.415178298950195,238,8,0.00035,32,2.3332529067993164,29.75,137,7,-68.407935125,,
3.8311100006103516,296,12,0.00035,39,2.421499252319336,24.666666666666668,195,7,-51.953336416666666,,
4.679381847381592,352,16,0.00035,47,2.7640304565429688,22.0,251,7,-46.3726834375,,
4.099321365356445,404,20,0.00035,54,3.06208872795105,20.2,303,7,-40.7541116,,
3.7141425609588623,465,24,0.00035,61,2.8681087493896484,19.375,364,7,-36.46698458333333,,
4.213322162628174,532,28,0.00035,76,3.332143783569336,19.0,431,6,-34.361892749999996,,
4.448091506958008,593,32,0.00035,84,3.98982572555542,18.53125,492,7,-33.978047062499996,,
4.846149444580078,640,36,0.00035,90,3.331022262573242,17.77777777777778,539,7,-32.024684694444446,,
3.7768778800964355,684,40,0.00035,97,4.128593444824219,17.1,583,7,-31.042631649999997,,
3.8419790267944336,750,44,0.00035,105,4.216052055358887,17.045454545454547,649,7,-30.816306249999993,,
3.1268815994262695,798,48,0.00035,112,4.5077924728393555,16.625,697,7,-29.519674958333336,,
3.1095213890075684,864,52,0.00035,127,4.837045669555664,16.615384615384617,763,6,-29.121522596153845,,
3.119276523590088,923,56,0.00035,134,4.877681255340576,16.482142857142858,822,6,-28.72988330357143,,
3.8333024978637695,1002,60,0.00035,144,5.102518081665039,16.7,901,6,-29.6227106,,
3.1724650859832764,1061,64,0.00035,152,5.218995571136475,16.578125,960,6,-29.558349,,
3.9191102981567383,1116,68,0.00035,159,5.691109657287598,16.41176470588235,1015,6,-28.652160911764703,,
3.8996834754943848,1185,72,0.00035,167,5.662325859069824,16.458333333333332,1084,7,-27.674034708333334,,
4.184136390686035,1235,76,0.00035,180,5.862102508544922,16.25,1134,6,-27.693226223684206,,
4.671113014221191,1286,80,0.00035,187,6.150588035583496,16.075,1185,6,-26.8835484625,,
3.556426525115967,1354,84,0.00035,195,6.155771732330322,16.11904761904762,1253,6,-26.94032429761905,,
3.299030303955078,1413,88,0.00035,202,6.939938068389893,16.056818181818183,1312,6,-26.72101072727273,,
4.712129592895508,1460,92,0.00035,209,6.809993743896484,15.869565217391305,1359,6,-26.2508902826087,,
2.997706174850464,1519,96,0.00035,216,6.316359519958496,15.822916666666666,1418,7,-25.728799156250002,,
3.0254483222961426,1583,100,0.00035,231,6.813905239105225,15.83,1482,6,-25.50208668,,
4.557737350463867,1639,104,0.00035,238,7.455720901489258,14.55,1538,6,-21.388443829999996,,
2.666170597076416,1684,108,0.00035,244,6.538068771362305,14.46,1583,6,-21.39507835000001,,
4.116378307342529,1731,112,0.00035,251,7.173978328704834,14.35,1630,6,-21.302194830000005,,
3.837132215499878,1785,116,0.00035,258,7.216803073883057,14.33,1684,6,-21.267760110000005,,
3.0351858139038086,1854,120,0.00035,267,7.940314292907715,14.5,1753,6,-21.415862610000005,,
4.067198753356934,1914,124,0.00035,274,7.596661567687988,14.49,1813,6,-21.58756707,,
3.8064332008361816,1973,128,0.00035,288,7.383472442626953,14.41,1872,6,-22.11350874,,
3.8278114795684814,2032,132,0.00035,296,7.6185712814331055,14.39,1931,6,-21.860588370000002,,
3.1639842987060547,2077,136,0.00035,303,7.668864727020264,14.37,1976,6,-22.10626751,,
