rollout/ep_rew_mean,train/actor_loss,train/n_updates,time/episodes,train/learning_rate,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,eval/mean_ep_length,eval/mean_reward
-28.95163368,11.396148681640625,8676,580,0.0002,1241,7,8777,14.17,8.966545104980469,,
-30.874511069999997,10.872491836547852,8752,584,0.0002,1251,7,8853,14.37,8.986854553222656,,
-31.516831539999995,12.2548246383667,8797,588,0.0002,1257,7,8898,14.19,6.372676372528076,,
-33.09849398,11.73846435546875,8868,592,0.0002,1266,7,8969,14.3,7.2233757972717285,,
-34.036376309999994,11.575970649719238,8930,596,0.0002,1274,7,9031,14.48,7.8801140785217285,,
-34.69379441,10.555624008178711,8993,600,0.0002,1287,7,9094,14.59,8.422685623168945,,
-33.93699651,11.869601249694824,9046,604,0.0002,1295,7,9147,14.6,8.864054679870605,,
-33.628942630000004,10.754304885864258,9095,608,0.0002,1301,7,9196,14.62,7.716410160064697,,
-33.54429842,11.164731979370117,9145,612,0.0002,1308,7,9246,14.62,7.720343589782715,,
-33.03690213,10.405427932739258,9193,616,0.0002,1316,7,9294,14.46,7.235844135284424,,
-30.773010359999997,12.197196960449219,9263,620,0.0002,1324,7,9364,14.03,9.628687858581543,,
-30.416612290000003,11.598848342895508,9322,624,0.0002,1332,7,9423,14.12,10.799028396606445,,
-30.850093749999996,11.480192184448242,9367,628,0.0002,1344,7,9468,14.1,10.902990341186523,,
-31.09438391,11.3828125,9436,632,0.0002,1352,7,9537,14.09,7.783566474914551,,
-30.889122959999998,10.5984468460083,9489,636,0.0002,1359,7,9590,14.1,7.222842693328857,,
-30.80550697,10.087747573852539,9552,640,0.0002,1367,7,9653,14.17,8.532844543457031,,
-30.50534485,11.43028450012207,9624,644,0.0002,1376,7,9725,14.34,7.283330917358398,,
-31.00794294,10.505762100219727,9672,648,0.0002,1382,7,9773,14.33,9.86313533782959,,
-31.005413540000003,12.355463027954102,9733,652,0.0002,1395,7,9834,14.37,7.037355899810791,,
-30.024760370000003,11.619049072265625,9772,656,0.0002,1400,7,9873,14.22,8.91655158996582,,
-28.97107750000001,11.785026550292969,9852,660,0.0002,1409,7,9953,14.42,9.701624870300293,,
-28.720597180000006,10.526969909667969,9909,664,0.0002,1415,7,10010,14.52,6.962688446044922,,
-28.678733089999994,11.556901931762695,9979,668,0.0002,1423,7,10080,14.72,9.552412033081055,,
-28.132691149999996,11.913312911987305,10029,672,0.0002,1429,7,10130,14.64,9.187995910644531,,
-27.914278959999997,10.981866836547852,10087,676,0.0002,1441,7,10188,14.74,8.535123825073242,,
-27.2577726,11.81108570098877,10137,680,0.0002,1448,7,10238,14.61,7.984396934509277,,
-24.925400189999994,10.649162292480469,10196,684,0.0002,1454,7,10297,14.44,7.030872344970703,,
-23.893322270000002,11.166685104370117,10247,688,0.0002,1461,7,10348,14.5,8.870098114013672,,
-22.10475649,10.916478157043457,10295,692,0.0002,1467,7,10396,14.27,8.803598403930664,,
-21.389685889999996,11.640917778015137,10367,696,0.0002,1475,7,10468,14.37,9.544546127319336,,
-20.34468823,10.953149795532227,10418,700,0.0002,1487,7,10519,14.25,11.156454086303711,,
-20.47116733,11.087265014648438,10466,704,0.0002,1493,7,10567,14.2,5.979517459869385,,
-19.7341283,10.195435523986816,10531,708,0.0002,1501,7,10632,14.36,5.661927223205566,,
-19.21258291,11.330492973327637,10598,712,0.0002,1510,7,10699,14.53,6.390735626220703,,
-19.25119153,11.630658149719238,10662,716,0.0002,1517,7,10763,14.69,6.257577896118164,,
-18.92067405,12.50852108001709,10729,720,0.0002,1525,7,10830,14.66,9.236083984375,,
-19.127396219999994,11.382396697998047,10792,724,0.0002,1532,7,10893,14.7,6.394774436950684,,
-18.49426605,11.697433471679688,10866,728,0.0002,1547,7,10967,14.99,6.8167924880981445,,
-18.47768256,11.628838539123535,10923,732,0.0002,1554,7,11024,14.87,5.978304862976074,,
-18.98509685,11.619444847106934,10968,736,0.0002,1560,7,11069,14.79,7.215872287750244,,
-19.131030499999998,10.301767349243164,11028,740,0.0002,1569,7,11129,14.76,7.3595147132873535,,
-19.44765932,11.19781494140625,11082,744,0.0002,1575,7,11183,14.58,12.83169174194336,,
-19.54262611,10.654651641845703,11143,748,0.0002,1582,7,11244,14.71,5.632834434509277,,
-19.28001511,10.826704025268555,11198,752,0.0002,1595,7,11299,14.65,7.476200103759766,,
-19.32811969,10.54734992980957,11249,756,0.0002,1601,7,11350,14.77,8.736913681030273,,
-19.61629709,11.360787391662598,11319,760,0.0002,1610,7,11420,14.67,8.316648483276367,,
-19.584520799999996,12.167089462280273,11367,764,0.0002,1616,7,11468,14.58,7.798372745513916,,
-19.557134599999994,10.206246376037598,11436,768,0.0002,1623,7,11537,14.57,5.765716075897217,,
-19.64473115,11.733333587646484,11506,772,0.0002,1630,7,11607,14.77,5.5129194259643555,,
-20.29671775,10.944958686828613,11566,776,0.0002,1642,7,11667,14.79,6.487956523895264,,
-20.92363078,12.300713539123535,11624,780,0.0002,1650,7,11725,14.87,5.8995771408081055,,
-21.63145871,11.324907302856445,11683,784,0.0002,1657,7,11784,14.87,8.807756423950195,,
-22.166821889999998,11.63656234741211,11732,788,0.0002,1663,7,11833,14.85,6.365883827209473,,
-23.541038179999997,11.26882266998291,11788,792,0.0002,1671,7,11889,14.93,6.629971504211426,,
-24.94562809,10.504805564880371,11840,796,0.0002,1678,7,11941,14.73,8.377829551696777,,
-26.312709310000006,10.603326797485352,11919,800,0.0002,1692,7,12020,15.01,7.824963569641113,,
-26.311897279999997,10.372140884399414,11963,804,0.0002,1699,7,12064,14.97,6.93186616897583,,
-27.260255700000002,11.235221862792969,12018,808,0.0002,1707,7,12119,14.87,6.852066993713379,,
-27.276681890000006,11.479467391967773,12067,812,0.0002,1713,7,12168,14.69,6.293615341186523,,
-27.941421500000004,11.47370433807373,12128,816,0.0002,1720,7,12229,14.66,7.078451633453369,,
-28.47898434,11.449275970458984,12178,820,0.0002,1727,7,12279,14.49,8.636229515075684,,
