time/fps,train/actor_loss,time/episodes,time/time_elapsed,train/learning_rate,train/critic_loss,time/total_timesteps,train/ent_coef,train/n_updates,train/ent_coef_loss,eval/mean_ep_length,eval/mean_reward
11,5.395176887512207,4,28,0.0001,1.686511516571045,339,0.09882716089487076,119,-7.744576454162598,,
11,4.0948662757873535,8,34,0.0001,4.736654758453369,390,0.09858925640583038,144,-7.473310947418213,,
12,4.132235050201416,12,45,0.0001,4.24081563949585,550,0.09782697260379791,224,-7.3424177169799805,,
11,4.312539100646973,16,58,0.0001,4.1207380294799805,702,0.09711065888404846,300,-7.393434524536133,,
12,4.853213310241699,20,84,0.0001,2.761331081390381,1093,0.09523522853851318,496,-7.392149925231934,,
13,5.660638332366943,24,126,0.0001,3.9556641578674316,1691,0.0924709364771843,795,-7.411876678466797,,
12,6.251099109649658,28,143,0.0001,2.93343448638916,1846,0.09178995341062546,872,-7.232552528381348,,
13,6.809107780456543,32,164,0.0001,3.5942161083221436,2157,0.09041189402341843,1028,-7.46248722076416,,
13,8.491711616516113,36,202,0.0001,1.4221713542938232,2760,0.08785875886678696,1329,-7.432051658630371,,
13,8.94350814819336,40,215,0.0001,2.9798614978790283,2924,0.0871732085943222,1411,-6.355615139007568,,
13,11.128153800964355,44,258,0.0001,3.9780163764953613,3609,0.08446821570396423,1754,-6.844390869140625,,
14,12.381962776184082,48,294,0.0001,3.43505597114563,4179,0.08232089132070541,2039,-5.410217761993408,,
13,12.266561508178711,52,307,0.0001,5.77374792098999,4279,0.08199118822813034,2089,-6.284336090087891,,
13,12.693586349487305,56,316,0.0001,5.641986846923828,4395,0.0816059410572052,2147,-3.1122498512268066,,
13,12.241891860961914,60,324,0.0001,5.5782880783081055,4490,0.08137914538383484,2194,-3.245872974395752,,
13,12.56308364868164,64,329,0.0001,5.139570236206055,4545,0.08125890046358109,2222,-3.011201858520508,,
13,12.642719268798828,68,335,0.0001,7.018971920013428,4600,0.08116237819194794,2249,-2.69179368019104,,
13,13.580331802368164,72,342,0.0001,8.808815956115723,4680,0.08103866875171661,2289,-3.118462562561035,,
13,13.366052627563477,76,356,0.0001,6.1785664558410645,4783,0.08084264397621155,2341,-3.485546588897705,,
13,13.492759704589844,80,363,0.0001,6.000255107879639,4860,0.08070231229066849,2379,-3.6565849781036377,,
13,13.58050537109375,84,370,0.0001,6.275941371917725,4947,0.08055784553289413,2423,-2.0282087326049805,,
13,13.526237487792969,88,380,0.0001,10.836343765258789,5054,0.08045803755521774,2476,-0.3430664539337158,,
13,13.600064277648926,92,386,0.0001,11.371238708496094,5112,0.08041682094335556,2505,-0.5672434568405151,,
13,13.688612937927246,96,392,0.0001,6.72198486328125,5169,0.08036704361438751,2534,-0.9569865465164185,,
12,13.74431037902832,100,403,0.0001,8.444953918457031,5228,0.08035562187433243,2563,-0.11976738274097443,,
12,14.134191513061523,104,413,0.0001,6.31605863571167,5350,0.08032187074422836,2624,-0.4946304261684418,,
12,14.45313549041748,108,422,0.0001,6.617367744445801,5437,0.08030950278043747,2668,-0.01411670446395874,,
12,14.69675064086914,112,428,0.0001,7.892048358917236,5510,0.08031358569860458,2704,-0.6445356607437134,,
12,12.833956718444824,116,435,0.0001,11.970144271850586,5586,0.0802869200706482,2742,0.6115850806236267,,
12,13.495743751525879,120,442,0.0001,10.546709060668945,5649,0.08029960840940475,2774,0.3348253071308136,,
12,14.109082221984863,124,447,0.0001,6.852919578552246,5696,0.08030123263597488,2797,-0.32861074805259705,,
11,13.817643165588379,128,484,0.0001,13.79971694946289,5765,0.08032252639532089,2832,0.4791033864021301,,
11,15.14529800415039,132,490,0.0001,6.398856163024902,5838,0.08034475147724152,2868,0.4626731872558594,,
11,14.550025939941406,136,497,0.0001,7.360114097595215,5929,0.08035118132829666,2914,-0.5089598298072815,,
11,15.007606506347656,140,504,0.0001,8.977412223815918,6020,0.08039159327745438,2959,0.18164020776748657,,
11,14.391437530517578,144,510,0.0001,9.577898025512695,6094,0.0804378017783165,2996,1.0370018482208252,,
11,14.160893440246582,148,518,0.0001,10.650564193725586,6194,0.08049485087394714,3046,1.4107924699783325,,
11,14.42884635925293,152,530,0.0001,7.705056190490723,6278,0.08054305613040924,3088,0.08552922308444977,,
11,13.537408828735352,156,538,0.0001,14.826626777648926,6359,0.08059705793857574,3129,0.2855335474014282,,
11,14.961457252502441,160,544,0.0001,9.665102005004883,6437,0.0806703045964241,3168,2.013198137283325,,
11,14.71378231048584,164,549,0.0001,8.90169620513916,6484,0.08071184158325195,3191,1.4935879707336426,,
11,14.938434600830078,168,555,0.0001,9.133943557739258,6547,0.08077621459960938,3223,0.7838269472122192,,
11,14.774711608886719,172,562,0.0001,11.947320938110352,6633,0.08088598400354385,3266,1.3613884449005127,,
11,14.37016773223877,176,574,0.0001,9.693465232849121,6706,0.08098398894071579,3302,0.8490526080131531,,
11,15.088716506958008,180,580,0.0001,11.381217956542969,6775,0.08107013255357742,3337,2.2321317195892334,,
