time/total_timesteps,train/ent_coef_loss,train/actor_loss,time/episodes,train/ent_coef,train/n_updates,train/learning_rate,time/fps,time/time_elapsed,train/critic_loss,eval/mean_ep_length,eval/mean_reward
241968,0.3157065510749817,-15.313419342041016,488,0.10562550276517868,120933,0.0003,10,22994,0.8988969326019287,,
245968,0.3708217144012451,-16.8193302154541,492,0.10763584822416306,122933,0.0003,10,23366,1.499363660812378,,
249361,0.3816140294075012,-15.782504081726074,496,0.10791747272014618,124630,0.0003,10,23678,3.756640672683716,,
251384,-0.009233936667442322,-14.639666557312012,500,0.10577718913555145,125641,0.0003,10,23873,2.8738982677459717,,
254564,-0.12786802649497986,-15.732982635498047,504,0.10726484656333923,127231,0.0003,10,24169,1.2412199974060059,,
258564,-0.0244227796792984,-16.597686767578125,508,0.10824370384216309,129231,0.0003,10,24529,1.2473852634429932,,
262316,-0.044420212507247925,-17.0479793548584,512,0.1045970544219017,131107,0.0003,10,24896,2.0392725467681885,,
265480,-0.05320882797241211,-17.31698226928711,516,0.10709453374147415,132689,0.0003,10,25195,1.9401092529296875,,
269122,-0.17560242116451263,-15.973648071289062,520,0.10585875064134598,134510,0.0003,10,25546,1.6421419382095337,,
273122,-0.24489516019821167,-17.524694442749023,524,0.10960927605628967,136510,0.0003,10,25914,2.486133337020874,,
276146,0.6087023615837097,-17.362445831298828,528,0.10496532917022705,138022,0.0003,10,26195,3.5163180828094482,,
279162,0.06258287280797958,-16.975317001342773,532,0.10840243101119995,139530,0.0003,10,26475,0.8774850368499756,,
283162,0.00019097328186035156,-16.971935272216797,536,0.10778214037418365,141530,0.0003,10,26850,1.0718886852264404,,
287162,0.5719980001449585,-17.68233871459961,540,0.10849424451589584,143530,0.0003,10,27209,4.015858173370361,,
291162,0.2942722737789154,-17.437347412109375,544,0.11012282967567444,145530,0.0003,10,27532,1.027634620666504,,
295162,0.30496975779533386,-18.069303512573242,548,0.10760962218046188,147530,0.0003,10,27868,3.2133383750915527,,
299162,-0.09729984402656555,-16.902952194213867,552,0.11125823110342026,149530,0.0003,10,28200,4.98053503036499,,
300000,-0.04486013203859329,-16.166322708129883,,0.10775390267372131,149949,0.0003,,,2.558654308319092,1000.0,2293.5496136036354
304000,0.22895337641239166,-17.101303100585938,556,0.11110914498567581,151949,0.0003,10,28998,1.1298370361328125,,
308000,0.48539048433303833,-18.05615234375,560,0.11220232397317886,153949,0.0003,10,29373,1.2586479187011719,,
311602,0.19887509942054749,-17.03665542602539,564,0.11161685734987259,155750,0.0003,10,29727,1.592345118522644,,
315258,-0.00684773176908493,-16.631303787231445,568,0.11124034970998764,157578,0.0003,10,30083,0.8451510667800903,,
319258,-0.5517966747283936,-17.317440032958984,572,0.10916852205991745,159578,0.0003,10,30470,1.5380440950393677,,
322078,0.42635923624038696,-17.864219665527344,576,0.10662467777729034,160988,0.0003,10,30734,0.8266948461532593,,
324457,-0.042661573737859726,-18.264965057373047,580,0.10599351674318314,162178,0.0003,10,30953,1.1148154735565186,,
327236,0.23515070974826813,-17.203433990478516,584,0.10813018679618835,163567,0.0003,10,31213,4.020848274230957,,
331171,0.0792727991938591,-16.75124740600586,588,0.10934515297412872,165535,0.0003,10,31592,0.9343981146812439,,
335171,0.7421005964279175,-17.927108764648438,592,0.10946370661258698,167535,0.0003,10,31984,2.512089729309082,,
339119,0.20945502817630768,-18.003002166748047,596,0.1101473867893219,169509,0.0003,10,32332,2.6969008445739746,,
342681,0.08377251029014587,-18.144203186035156,600,0.10737720131874084,171290,0.0003,10,32651,0.7345108985900879,,
346577,0.17115935683250427,-18.07402801513672,604,0.10688558965921402,173238,0.0003,10,33007,1.0288437604904175,,
350577,0.057005614042282104,-17.794261932373047,608,0.10788413882255554,175238,0.0003,10,33399,0.7924547791481018,,
352612,-0.10928937047719955,-18.31328582763672,612,0.10657976567745209,176255,0.0003,10,33590,0.9866591691970825,,
355623,0.12560060620307922,-17.017745971679688,616,0.10760888457298279,177761,0.0003,10,33890,4.226437568664551,,
359623,-0.6232426762580872,-17.462007522583008,620,0.10900203883647919,179761,0.0003,10,34286,0.7720153331756592,,
362464,-0.1642972081899643,-18.402935028076172,624,0.10771653056144714,181181,0.0003,10,34571,0.8271129727363586,,
366464,0.019648820161819458,-19.429115295410156,628,0.10692892223596573,183181,0.0003,10,34958,4.58384895324707,,
370467,-0.45695143938064575,-18.25775909423828,632,0.10518945008516312,185183,0.0003,10,35350,0.8358824253082275,,
374467,0.12370168417692184,-18.323396682739258,636,0.10270664840936661,187183,0.0003,10,35739,0.658085823059082,,
378467,0.2604350447654724,-17.96178436279297,640,0.10163644701242447,189183,0.0003,10,36137,0.8613148927688599,,
