rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,time/fps,time/episodes,eval/mean_ep_length,eval/mean_reward
57.75,231,-161.13774375,29,130,2.7221286296844482,0.0003,3.577112913131714,7,4,,
36.75,294,-89.210954875,37,193,2.5342700481414795,0.0003,3.272763252258301,7,8,,
29.583333333333332,355,-71.10620225000001,45,254,2.849774122238159,0.0003,5.023148536682129,7,12,,
27.0625,433,-66.275613,56,332,2.953493595123291,0.0003,5.967430591583252,7,16,,
27.0,540,-60.900370699999996,70,439,3.2482128143310547,0.0003,4.769059181213379,7,20,,
27.25,654,-57.39296925,86,553,4.013604640960693,0.0003,5.562581539154053,7,24,,
26.107142857142858,731,-52.24226957142857,101,630,4.28619384765625,0.0003,5.553596496582031,7,28,,
32.78125,1049,-48.112981687499996,134,948,4.04360818862915,0.0003,3.0226926803588867,7,32,,
31.333333333333332,1128,-43.85831625,144,1027,4.171243667602539,0.0003,3.4233932495117188,7,36,,
32.375,1295,-40.349907224999995,160,1194,3.6697096824645996,0.0003,3.256558418273926,8,40,,
31.75,1397,-36.984433727272716,172,1296,3.5462522506713867,0.0003,3.2528953552246094,8,44,,
31.395833333333332,1507,-34.929405083333336,184,1406,3.7821521759033203,0.0003,2.8802309036254883,8,48,,
31.25,1625,-32.65888678846154,206,1524,3.2379238605499268,0.0003,3.186751127243042,7,52,,
31.035714285714285,1738,-31.031540874999997,219,1637,2.6376333236694336,0.0003,2.645970344543457,7,56,,
31.9,1914,-30.50442063333333,241,1813,3.1513772010803223,0.0003,2.3886961936950684,7,60,,
32.828125,2101,-28.604723421875,262,2000,1.8373469114303589,0.0003,3.9609971046447754,7,64,,
33.911764705882355,2306,-27.941274088235296,286,2205,1.5104808807373047,0.0003,4.041794300079346,8,68,,
33.84722222222222,2437,-25.89539322222222,300,2336,1.855712652206421,0.0003,4.189302444458008,8,72,,
33.9078947368421,2577,-24.389448907894735,324,2476,1.4105619192123413,0.0003,3.4915618896484375,7,76,,
