rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,train/learning_rate,train/critic_loss,time/fps,time/total_timesteps,time/time_elapsed,train/n_updates,time/episodes,eval/mean_reward,eval/mean_ep_length
1245.33128175,-26.57695960998535,739.0,3e-05,2.3122849464416504,10,2956,275,662754,4,,
1202.676733125,-26.671092987060547,648.125,3e-05,3.0793817043304443,11,5185,460,664983,8,,
1095.5528980833333,-26.108774185180664,588.6666666666666,3e-05,1.2597674131393433,11,7064,621,666862,12,,
988.981680875,-26.59375,552.375,3e-05,2.193110942840576,11,8838,773,668636,16,,
1031.6573744,-26.24551010131836,557.0,3e-05,1.8721320629119873,11,11140,961,670938,20,,
1011.0805274999999,-27.497543334960938,539.25,3e-05,2.7269492149353027,11,12942,1119,672740,24,,
1083.039672642857,-26.267990112304688,572.2142857142857,3e-05,1.5236096382141113,11,16022,1371,675820,28,,
1093.76439328125,-25.660228729248047,572.34375,3e-05,1.7772207260131836,11,18315,1550,678113,32,,
1165.9467181111113,-27.236459732055664,610.9444444444445,3e-05,2.249661445617676,12,21994,1829,681792,36,,
1174.12347815,-25.011646270751953,606.2,3e-05,2.753720283508301,12,24248,1995,684046,40,,
1242.8280807727272,-26.160911560058594,631.2045454545455,3e-05,1.9485186338424683,12,27773,2259,687571,44,,
1240.079404375,-26.496965408325195,623.0208333333334,3e-05,1.837162971496582,12,29905,2420,689703,48,,
1282.5032830769233,-26.76658821105957,638.4038461538462,3e-05,1.3608474731445312,12,33197,2670,692995,52,,
1340.4785640178573,-26.29816246032715,663.9285714285714,3e-05,2.3694701194763184,12,37180,2971,696978,56,,
1395.4402273666667,-26.80630111694336,682.8666666666667,3e-05,2.0775458812713623,12,40972,3263,700770,60,,
1441.632141703125,-26.288311004638672,702.6875,3e-05,3.5967862606048584,12,44972,3555,704770,64,,
1494.3175885294118,-26.586774826049805,720.1764705882352,3e-05,1.908982753753662,12,48972,3861,708770,68,,
1532.5302103055556,-27.096538543701172,735.7222222222222,3e-05,2.097968816757202,12,52972,4162,712770,72,,
1528.0536428421053,-27.694454193115234,732.1052631578947,3e-05,1.634181022644043,12,55640,4368,715438,76,,
1559.377935275,-27.505971908569336,741.9625,3e-05,1.5317649841308594,12,59357,4656,719155,80,,
1592.7149178928573,-26.96802520751953,754.25,3e-05,1.7703030109405518,12,63357,4956,723155,84,,
1617.1813610568183,-26.143693923950195,765.4204545454545,3e-05,3.9566006660461426,12,67357,5262,727155,88,,
1635.7498331739132,-26.586111068725586,768.0869565217391,3e-05,2.556185722351074,12,70664,5520,730462,92,,
1629.2515285104166,-26.740604400634766,765.6666666666666,3e-05,1.407789945602417,12,73504,5735,733302,96,,
1657.2246362500002,-27.899311065673828,775.04,3e-05,1.1348512172698975,12,77504,6040,737302,100,,
1684.1034319899998,-26.68147850036621,778.9,3e-05,2.0329508781433105,12,80846,6271,740644,104,,
1740.97389013,-26.4085693359375,795.61,3e-05,1.4046475887298584,12,84746,6547,744544,108,,
1806.0781143700003,-27.41373062133789,816.82,3e-05,1.4712109565734863,12,88746,6828,748544,112,,
1865.4963620899998,-27.678386688232422,832.63,3e-05,2.578108310699463,13,92101,7062,751899,116,,
1916.72204249,-27.477134704589844,849.61,3e-05,4.123539447784424,13,96101,7338,755899,120,,
,-26.560211181640625,,3e-05,1.5411149263381958,,100000,,759798,,2534.0303923999995,805.6
1999.6645749600002,-27.645973205566406,879.74,3e-05,0.8866093754768372,12,100916,7953,760714,124,,
2054.04376192,-28.461807250976562,888.94,3e-05,5.187836170196533,12,104916,8239,764714,128,,
2084.38770421,-27.55797576904297,896.45,3e-05,4.42474889755249,12,107960,8456,767758,132,,
2119.13802956,-27.90462875366211,899.66,3e-05,1.0936670303344727,12,111960,8722,771758,136,,
2182.98369583,-27.805492401123047,917.12,3e-05,4.478851318359375,12,115960,8996,775758,140,,
2213.9580210299996,-27.966869354248047,921.87,3e-05,0.9597237706184387,12,119960,9268,779758,144,,
2263.5344303699994,-28.142637252807617,939.12,3e-05,0.8994197249412537,12,123817,9567,783615,148,,
2288.4696405,-29.250530242919922,946.2,3e-05,1.317227840423584,12,127817,9874,787615,152,,
2303.7204553900006,-27.996051788330078,946.38,3e-05,2.6073408126831055,12,131818,10182,791616,156,,
2315.6604402,-28.412649154663086,948.46,3e-05,1.169627070426941,12,135818,10493,795616,160,,
2323.3404239300003,-28.412612915039062,948.46,3e-05,1.0329461097717285,12,139818,10796,799616,164,,
2319.8870383900003,-28.834007263183594,948.46,3e-05,0.7916507720947266,12,143818,11086,803616,168,,
2331.24084673,-28.083099365234375,948.46,3e-05,1.4299511909484863,12,147818,11375,807616,172,,
2369.41181083,-28.875961303710938,961.78,3e-05,5.6686625480651855,13,151818,11663,811616,176,,
2379.0461693300003,-28.132583618164062,964.61,3e-05,2.7563462257385254,13,155818,11944,815616,180,,
2387.9175324099997,-28.522476196289062,964.61,3e-05,3.4052674770355225,13,159818,12230,819616,184,,
2396.4771752,-29.722732543945312,964.61,3e-05,0.896203875541687,13,163818,12508,823616,188,,
2392.8304246000002,-29.807430267333984,963.88,3e-05,0.8969231843948364,13,167052,12736,826850,192,,
2417.635341,-28.71904182434082,968.74,3e-05,2.2689714431762695,13,170378,12980,830176,196,,
2396.1577019799997,-29.170358657836914,958.19,3e-05,0.6288496255874634,13,173323,13192,833121,200,,
2358.45321077,-28.875926971435547,942.32,3e-05,0.5229496955871582,13,175078,13317,834876,204,,
2325.0243473699998,-30.45223045349121,931.65,3e-05,1.3548095226287842,13,177911,13525,837709,208,,
