train/learning_rate,train/critic_loss,train/ent_coef,train/n_updates,time/total_timesteps,train/actor_loss,train/ent_coef_loss,time/fps,time/time_elapsed,time/episodes,eval/mean_ep_length,eval/mean_reward
0.0001,2.5031816959381104,0.09877583384513855,124,350,4.343695163726807,-7.7073516845703125,2,150,4,,
0.0001,2.2219858169555664,0.09613119065761566,400,902,4.743362903594971,-7.713048934936523,3,241,8,,
0.0001,1.9916512966156006,0.0945679321885109,566,1234,5.231180191040039,-7.500804901123047,4,291,12,,
0.0001,2.396259069442749,0.09345067292451859,687,1475,5.55719518661499,-7.382157325744629,4,324,16,,
0.0001,1.5008158683776855,0.09216416627168655,827,1755,6.217367172241211,-7.7156572341918945,4,368,20,,
0.0001,2.766312599182129,0.09142515808343887,908,1917,6.502354621887207,-7.760634422302246,4,392,24,,
0.0001,1.456239938735962,0.08995332568883896,1073,2248,7.414077281951904,-7.944762706756592,5,436,28,,
0.0001,1.653113842010498,0.08829691261053085,1260,2622,8.240127563476562,-7.924358367919922,5,496,32,,
0.0001,2.099130392074585,0.08617712557315826,1505,3111,9.5919189453125,-7.425826072692871,5,559,36,,
0.0001,3.680253744125366,0.08474456518888474,1680,3462,10.395772933959961,-7.829864978790283,5,609,40,,
0.0001,3.9753575325012207,0.08375222980976105,1802,3706,11.222718238830566,-7.692646026611328,5,648,44,,
0.0001,2.028982162475586,0.08168836683034897,2063,4228,12.60098934173584,-7.546821117401123,5,720,48,,
0.0001,3.436552047729492,0.08112968504428864,2136,4374,13.402810096740723,-6.732666015625,5,739,52,,
0.0001,1.44291353225708,0.08020924031734467,2259,4619,14.03958511352539,-7.223382949829102,6,767,56,,
0.0001,4.780572414398193,0.0788607969880104,2442,4985,14.310333251953125,-7.4554548263549805,6,812,60,,
0.0001,8.795331954956055,0.07758555561304092,2622,5345,15.232977867126465,-7.160719871520996,6,858,64,,
0.0001,6.815328598022461,0.07670780271291733,2744,5590,16.227537155151367,-7.0271077156066895,6,891,68,,
0.0001,5.765152931213379,0.07583620399236679,2868,5837,16.89515495300293,-6.8249616622924805,6,933,72,,
0.0001,8.323578834533691,0.07493007928133011,2998,6098,17.416332244873047,-7.457858085632324,6,975,76,,
0.0001,5.100940704345703,0.07385091483592987,3150,6401,18.184444427490234,-7.5155792236328125,6,1018,80,,
0.0001,10.879522323608398,0.07167039066553116,3463,7028,19.507631301879883,-6.926628112792969,6,1099,84,,
0.0001,11.23121166229248,0.07103190571069717,3557,7216,19.43027687072754,-6.957474708557129,6,1126,88,,
