time/episodes,train/critic_loss,time/time_elapsed,train/n_updates,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/actor_loss,eval/mean_ep_length,eval/mean_reward
512,5.8042311668396,7251,75335,10,247.45,187.6608798,75436,0.0002,-12.533388137817383,,
516,3.935683250427246,7365,76558,10,248.57,200.98394050000002,76659,0.0002,-12.205638885498047,,
520,3.5460758209228516,7488,77773,10,254.14,221.37857993999998,77874,0.0002,-13.29678726196289,,
524,4.323478698730469,7595,78791,10,248.9,209.92335807999996,78892,0.0002,-12.445535659790039,,
528,4.572714805603027,7658,79376,10,244.61,213.92327964,79477,0.0002,-12.665666580200195,,
532,2.9898929595947266,7758,80406,10,250.47,226.78700648999998,80507,0.0002,-12.460737228393555,,
536,7.166712760925293,7943,82420,10,259.54,239.49763817,82521,0.0002,-13.00709342956543,,
540,6.570335388183594,8031,83283,10,261.11,254.54860840999999,83384,0.0002,-12.729673385620117,,
544,5.95916223526001,8076,83726,10,262.78,254.86097324000002,83827,0.0002,-13.250560760498047,,
548,3.29887318611145,8189,84956,10,264.03,262.33878589999995,85057,0.0002,-14.660423278808594,,
552,5.749365329742432,8252,85552,10,267.75,266.53815376,85653,0.0002,-14.585982322692871,,
556,3.8486504554748535,8396,86869,10,272.58,271.44383206,86970,0.0002,-13.146451950073242,,
560,5.238994121551514,8593,88964,10,272.2,276.13139157999996,89065,0.0002,-14.53787899017334,,
564,4.746649742126465,8706,90075,10,275.38,271.24100923,90176,0.0002,-14.469917297363281,,
568,4.428297996520996,8770,90686,10,268.82,273.18478937,90787,0.0002,-14.361831665039062,,
572,5.657236576080322,8901,91875,10,267.39,268.74789547,91976,0.0002,-14.548004150390625,,
576,5.497608184814453,8925,92051,10,262.05,258.1506604,92152,0.0002,-13.969389915466309,,
580,3.6136057376861572,8949,92281,10,258.07,252.79752057999994,92382,0.0002,-14.699475288391113,,
584,3.9191370010375977,8975,92539,10,240.7,239.39303597000003,92640,0.0002,-14.072434425354004,,
588,4.407645225524902,8995,92743,10,236.81,229.6070305,92844,0.0002,-14.267529487609863,,
592,6.105207920074463,9032,93189,10,237.02,221.60267871999994,93290,0.0002,-13.714838027954102,,
596,4.2492146492004395,9100,93971,10,231.29,217.38922812999994,94072,0.0002,-13.462084770202637,,
600,5.125885009765625,9142,94400,10,211.36,194.26983668,94501,0.0002,-13.942625045776367,,
604,4.006829261779785,9221,95230,10,217.1,194.47344719999998,95331,0.0002,-14.018156051635742,,
608,4.378244876861572,9253,95510,10,209.85,180.96062758999994,95611,0.0002,-13.346858978271484,,
612,4.511693000793457,9393,96938,10,216.03,184.94989586999998,97039,0.0002,-12.155418395996094,,
616,4.185739994049072,9550,98359,10,218.01,180.55818638000005,98460,0.0002,-14.415241241455078,,
620,3.178030490875244,9567,98525,10,207.52,159.09639928,98626,0.0002,-15.452680587768555,,
624,4.631598472595215,9613,98982,10,201.91,150.91107451,99083,0.0002,-13.647188186645508,,
