time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/clip_range,train/std,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/learning_rate,train/loss,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
28,5375,57344,10,68.19,-303.63739337000004,270,0.3,0.5449755191802979,-1.6242432773113251,-0.004593907111411677,0.11132812779396772,0.004348456859588623,0.00039557632,82.5306167602539,0.029722791,169.08582916259766,,
29,5587,59392,10,68.43,-304.28863693999995,280,0.3,0.5518481731414795,-1.6333315551280976,-0.0005825154396006838,0.10061198072507978,0.0034931302070617676,0.00039541248,77.69406127929688,0.016417379,153.3735710144043,,
,,60000,,,,290,0.3,0.5581697225570679,-1.6611276686191558,-0.004597478871874072,0.06876302178716287,0.0037410855293273926,0.00039524864000000005,61.15523147583008,0.017297238,123.78744506835938,-325.29933729469775,71.2
30,5811,61440,10,67.25,-302.92370938000005,,,,,,,,,,,,,
31,5972,63488,10,69.1,-314.01094293,300,0.3,0.5449546575546265,-1.6181990206241608,-0.007706434730789624,0.07434896051418036,0.008747458457946777,0.00039508480000000003,56.120445251464844,0.016642192,117.92420463562011,,
32,6149,65536,10,67.06,-305.43285607000007,310,0.3,0.5551053285598755,-1.6393873572349549,-0.00469288705731743,0.0933463558088988,0.0043787360191345215,0.00039492096,70.72371673583984,0.02377867,132.63476371765137,,
33,6311,67584,10,68.53,-313.84136947,320,0.3,0.5649977922439575,-1.6790218472480773,-0.00545757872983813,0.08830729322507977,1.6629695892333984e-05,0.00039475712000000004,71.0822982788086,0.026606668,140.92303009033202,,
34,6481,69632,10,64.97,-292.35503996000006,330,0.3,0.5702150464057922,-1.7058235347270965,0.008746580456645425,0.25756511017680167,8.547306060791016e-05,0.00039459328,56.59744644165039,0.09151928,118.30573463439941,,
35,6660,71680,10,63.85,-282.85933628,340,0.3,0.571106493473053,-1.7165802717208862,-0.00787259531614839,0.04348958448099438,0.16786515712738037,0.00039442944,49.960472106933594,0.021126028,116.1048656463623,,
36,6839,73728,10,58.1,-238.68308327,350,0.3,0.5542899370193481,-1.6573930501937866,-0.009790897937637055,0.07157552168355323,0.33381855487823486,0.0003942656,49.00630569458008,0.018590365,103.14976272583007,,
37,7046,75776,10,34.89,-108.96292575,360,0.3,0.5542801022529602,-1.6576403558254242,-0.006540518211541002,0.014843750587897376,0.3945920467376709,0.00039410176,61.844669342041016,0.016951468,136.91800498962402,,
38,7266,77824,10,22.24,-51.205792389999985,370,0.3,0.5541782975196838,-1.6573276817798615,-0.018956238753162324,0.06699219010770321,0.4628957509994507,0.00039393792000000003,71.99072265625,0.024563171,154.168115234375,,
39,7492,79872,10,19.35,-34.66536492,380,0.3,0.5539917945861816,-1.6568255960941314,-0.014019742793170708,0.16298177698627114,0.2189614176750183,0.00039377408,46.18050765991211,0.036341976,101.34498901367188,,
,,80000,,,,390,0.3,0.554045557975769,-1.6565151810646057,-0.0027961248945212345,0.034726563113508746,-0.1671198606491089,0.00039361024000000004,36.58319091796875,0.028406437,93.78997611999512,-27.68333113193512,13.0
40,7745,81920,10,16.46,-29.2414265,,,,,,,,,,,,,
41,7980,83968,10,17.36,-28.380470589999995,400,0.3,0.5379195213317871,-1.5969552099704742,-0.0027862129209097475,0.007226562694995664,0.21088171005249023,0.0003934464,28.102920532226562,0.005367225,53.756446075439456,,
42,8212,86016,10,16.77,-26.41906562,410,0.3,0.5384430885314941,-1.5984763085842133,-0.0036159802600741475,0.03709635463310405,0.22524505853652954,0.00039328256000000005,27.056278228759766,0.019339627,52.825633430480956,,
43,8478,88064,10,16.74,-27.347676059999998,420,0.3,0.538517415523529,-1.5999031603336333,-0.002663812138202948,0.024596354889217763,0.21286165714263916,0.00039311872,21.95647430419922,0.0060694646,46.41697597503662,,
44,8698,90112,10,18.07,-26.307667690000002,430,0.3,0.5383352041244507,-1.5992687165737152,-0.0034196291707485394,0.062304689397569744,0.24995321035385132,0.00039295488,24.749622344970703,0.006139251,48.14332828521729,,
45,8946,92160,10,16.16,-25.804197939999998,440,0.3,0.5226984024047852,-1.5394576966762543,-0.009521698142634705,0.10595052478893194,0.2217928171157837,0.00039279104000000003,27.992660522460938,0.015356267,53.79068660736084,,
46,9156,94208,10,21.08,-46.1096913,450,0.3,0.5228098034858704,-1.5405687987804413,-0.004795666587306169,0.03680989694548771,0.2530258297920227,0.0003926272,20.21836280822754,0.02002355,44.39647331237793,,
47,9393,96256,10,17.27,-25.14714162,460,0.3,0.5229299068450928,-1.5401541531085967,-0.005095179225027113,0.016419271228369326,0.5241138637065887,0.00039246336000000004,25.382238388061523,0.0096911555,69.4752986907959,,
48,9630,98304,10,16.98,-23.559612249999997,470,0.3,0.523922860622406,-1.5423949360847473,-0.003906423638982215,0.03339843836147338,0.20791971683502197,0.00039229952,21.75221824645996,0.0059399735,47.35145988464355,,
,,100000,,,,480,0.3,0.5252827405929565,-1.547537225484848,-0.0004317432929383358,0.02492187564494088,0.23940938711166382,0.00039213568,21.699325561523438,0.01352666,42.60736865997315,-28.81870010793209,13.4
49,9895,100352,10,15.64,-26.520264769999997,,,,,,,,,,,,,
50,10125,102400,10,15.93,-23.181127349999997,490,0.3,0.5111579895019531,-1.4919398903846741,-0.004394366996712052,0.037721355343819596,0.2790783643722534,0.00039197184,21.904891967773438,0.005824319,42.88803901672363,,
51,10392,104448,10,16.33,-24.90254011,500,0.3,0.5127967596054077,-1.498469477891922,-0.0019783063976501537,0.01743489634245634,0.28403449058532715,0.000391808,20.97100067138672,0.008446792,44.331468391418454,,
52,10625,106496,10,17.06,-30.121589000000004,510,0.3,0.5134201645851135,-1.5027532637119294,-0.0050851268376573165,0.029075521798222325,0.25129270553588867,0.00039164416000000003,19.13768196105957,0.006049718,39.74078998565674,,
53,10855,108544,9,16.58,-22.742245689999994,520,0.3,0.5141092538833618,-1.5050574660301208,-0.002081769206561157,0.01037760428735055,0.6085493266582489,0.00039148032,23.917699813842773,0.0068456344,46.85471515655517,,
54,11092,110592,9,16.71,-24.46720389,530,0.3,0.5151041746139526,-1.5082817375659943,-0.005125157506190581,0.03707031343947165,0.3294927477836609,0.00039131648000000004,22.146236419677734,0.010949264,43.95635471343994,,
55,11327,112640,9,16.32,-22.679508869999996,540,0.3,0.5006712079048157,-1.4518540441989898,-0.0036475351662375033,0.020546875364379956,0.3368378281593323,0.00039115264,21.44167137145996,0.01702387,40.914325904846194,,
56,11564,114688,9,16.18,-26.677267989999997,550,0.3,0.5015600323677063,-1.4553606510162354,-0.0041615225619170805,0.02802083390124608,0.37421417236328125,0.00039098880000000005,23.264686584472656,0.0084360745,44.753852653503415,,
57,11794,116736,9,16.64,-23.017878429999996,560,0.3,0.5021384954452515,-1.4582047283649444,-0.0028443974268157037,0.025247396132908762,0.34821808338165283,0.00039082496,18.281126022338867,0.006781281,38.29950466156006,,
58,12061,118784,9,16.06,-23.565464219999996,570,0.3,0.5034210681915283,-1.461290568113327,-0.002683213700074738,0.08850260579783935,0.35829830169677734,0.00039066112,22.659793853759766,0.023867222,44.58013515472412,,
,,120000,,,,580,0.3,0.5043352842330933,-1.4666443467140198,-0.005209601945243769,0.11628906591795385,0.3595815896987915,0.00039049728000000003,20.7604923248291,0.015132645,40.8236888885498,-24.589166283793748,20.0
59,12307,120832,9,17.6,-21.93613053,,,,,,,,,,,,,
60,12551,122880,9,16.82,-22.29849686,590,0.3,0.4903750419616699,-1.4097534477710725,-0.002128233339499275,0.02998698017618153,0.4156113266944885,0.00039033344,22.01729393005371,0.009001326,43.989566230773924,,
61,12774,124928,9,18.44,-19.82819026,600,0.3,0.49139344692230225,-1.4140263557434083,-0.002415404520197617,0.03335937614319846,0.38837069272994995,0.0003901696,22.870967864990234,0.014707172,44.090918159484865,,
62,13016,126976,9,16.32,-25.211843239999997,610,0.3,0.49204325675964355,-1.4174951791763306,-0.0010469749358344438,0.005768229250679724,0.44548702239990234,0.00039000576,23.462230682373047,0.0063285,46.349548721313475,,
63,13262,129024,9,16.38,-22.83655088,620,0.3,0.49295133352279663,-1.4204870522022248,-0.0024505065934499635,0.04932291817385703,0.38963836431503296,0.00038984192000000005,20.84681510925293,0.011940122,40.80562419891358,,
64,13506,131072,9,16.16,-24.199284719999994,630,0.3,0.49402981996536255,-1.4243856012821197,-0.0029369504527130717,0.02507812543772161,0.4089898467063904,0.00038967808,17.911422729492188,0.0065670125,36.81982135772705,,
65,13766,133120,9,17.69,-22.72852905,640,0.3,0.48030781745910645,-1.368692833185196,-0.005700901855016127,0.0512500008859206,0.4038696885108948,0.00038951424000000006,17.893945693969727,0.011416822,38.03693809509277,,
66,14000,135168,9,17.03,-22.51869312,650,0.3,0.48137134313583374,-1.3726050853729248,-0.004246578084421348,0.11485677286982536,0.46777820587158203,0.00038935040000000003,20.366647720336914,0.028702764,41.57041187286377,,
