train/learning_rate,train/critic_loss,time/fps,train/n_updates,time/total_timesteps,time/episodes,train/actor_loss,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
0.0003,7.9157915115356445,9,4195,4296,92,7.294289588928223,46.69565217391305,471,-111.22135454347826,,
0.0003,5.370782852172852,9,4379,4480,96,5.862760066986084,46.666666666666664,492,-107.19848223958331,,
0.0003,6.36241340637207,8,4490,4591,100,7.948451042175293,45.91,511,-104.31380056999998,,
0.0003,8.052684783935547,9,4713,4814,104,7.004732608795166,43.95,534,-85.26490919000001,,
0.0003,6.633821487426758,9,5088,5189,108,5.93661642074585,43.29,567,-76.25795846000001,,
0.0003,5.229829788208008,9,5332,5433,112,5.356950283050537,40.93,589,-56.85771111,,
0.0003,4.947032928466797,9,5526,5627,116,3.8516860008239746,39.23,607,-50.19121112,,
0.0003,5.1479644775390625,9,5798,5899,120,3.2262399196624756,39.53,632,-43.31199587000001,,
0.0003,4.764978885650635,9,6120,6221,124,2.3808975219726562,40.1,657,-29.113774499999998,,
0.0003,6.933848857879639,9,6283,6384,128,3.0714497566223145,39.67,680,-24.793986320000002,,
0.0003,4.774706840515137,9,6495,6596,132,1.7501789331436157,40.81,701,-24.371101190000005,,
0.0003,5.416934013366699,9,6724,6825,136,1.8290714025497437,41.33,724,-20.875801069999998,,
0.0003,5.047872543334961,9,6874,6975,140,1.5823156833648682,41.8,742,-19.612619089999995,,
0.0003,6.58124303817749,9,7086,7187,144,1.9280941486358643,42.11,766,-16.02573566,,
0.0003,4.879937171936035,9,7264,7365,148,0.6764726638793945,42.56,784,-14.82729285,,
0.0003,6.850423812866211,9,7525,7626,152,-0.08688032627105713,43.81,813,-13.46360772,,
0.0003,5.857371807098389,9,7848,7949,156,0.15077057480812073,45.93,840,-9.82809122,,
0.0003,7.2611236572265625,9,8138,8239,160,-0.21385905146598816,48.12,865,-9.082511250000001,,
0.0003,6.037302017211914,9,8543,8644,164,-1.6218531131744385,51.28,900,-6.4024727399999986,,
0.0003,7.906268119812012,9,8769,8870,168,-1.9262622594833374,52.6,920,-5.21215432,,
0.0003,7.999581336975098,9,9200,9301,172,-1.9552068710327148,56.03,956,-3.5846254000000015,,
0.0003,7.115329265594482,9,9547,9648,176,-1.980178952217102,58.94,991,-0.2639747700000005,,
0.0003,3.88061261177063,9,9696,9797,180,-3.680429220199585,59.23,1009,0.27519124999999917,,
0.0003,5.071969985961914,9,10081,10182,184,-3.602321147918701,61.88,1046,3.2144116299999985,,
0.0003,7.185574531555176,9,10347,10448,188,-3.53020977973938,63.35,1070,6.854169380000001,,
0.0003,6.999389171600342,9,10439,10540,192,-2.717154026031494,62.44,1079,7.776214789999999,,
0.0003,6.779259204864502,9,10672,10773,196,-3.2344846725463867,62.93,1105,10.34298224,,
0.0003,9.141212463378906,9,11023,11124,200,-4.777960777282715,65.33,1147,13.163971199999997,,
0.0003,8.260741233825684,9,11313,11414,204,-5.168705940246582,66.0,1172,10.615553599999998,,
0.0003,6.990233421325684,9,11694,11795,208,-4.399867057800293,66.06,1208,12.543187660000001,,
0.0003,5.945525169372559,9,12003,12104,212,-5.835343360900879,66.71,1242,14.264813160000003,,
0.0003,7.036880016326904,9,12298,12399,216,-4.325828552246094,67.72,1271,15.373173700000002,,
0.0003,6.880578994750977,9,12659,12760,220,-5.589188575744629,68.61,1305,19.638393100000002,,
0.0003,6.16170597076416,9,13087,13188,224,-6.380556583404541,69.67,1347,23.08433814,,
0.0003,8.829706192016602,9,13579,13680,228,-5.386627197265625,72.96,1397,27.99329487,,
